name,operator,state,county,sqft,lat,lon,type
Verizon,,New Jersey,Middlesex County,105786.0,40.54425557630532,-74.49652096447575,building
Google Data Center,Google,North Carolina,Caldwell County,3407194.0,35.89473769568106,-81.54651452543965,campus
Project Alluvion,Microsoft,Iowa,Polk County,11169421.0,41.51596683171199,-93.71182964871085,campus
Apple - Maiden Data Center,,North Carolina,Catawba County,5431080.0,35.588771360781784,-81.26180877040838,campus
HPC,Sandia National Laboratories,New Mexico,Bernalillo County,158463.0,35.04994198074902,-106.54282203991325,building
Meta Henrico Data Center,Meta,Virginia,Henrico County,4671056.0,37.482763284885785,-77.23645509442149,campus
Barclays Datacenter,Barclays,New Jersey,Union County,94373.0,40.64375303338713,-74.28548116880219,building
CyberNAP Glen Burnie,AiNET,Maryland,Anne Arundel County,89879.0,39.14024170717737,-76.60643112453295,building
Meta Huntsville Data Center,Meta,Alabama,Madison County,14435561.0,34.84424467802452,-86.62831680386925,campus
Dakota Carrier Network,,North Dakota,Cass County,25931.0,46.81509687104177,-96.84432644156146,building
Microsoft Data Center 1,Microsoft,Virginia,Prince William County,248706.0,38.8024111256264,-77.58237918867958,building
Meta Prineville Datacenter,Meta,Oregon,Crook County,17379079.0,44.29844323079028,-120.88638228128598,campus
Apple Prineville Datacenter,Apple,Oregon,Crook County,15637431.0,44.28455821302781,-120.86588333153831,campus
Cyxtera Dallas-Fort Worth Data Center,Cyxtera,Texas,Tarrant County,309104.0,32.83271789571454,-97.0410416432689,building
Equinix Infomart,Equinix,Texas,Dallas County,239835.0,32.800943222986994,-96.81951054637986,building
CoreSite BO1,,Massachusetts,Middlesex County,133960.0,42.37670588382176,-71.07975761756323,building
USPO Terminal Annex,United States Postal Service,California,Los Angeles County,99270.0,34.05810223824728,-118.23539293645688,building
DataBank,,Texas,Dallas County,43564.0,32.77830147632332,-96.79843729449848,building
CyrusOne Cincinnati-Mason CIN3,CyrusOne,Ohio,Warren County,82813.0,39.30389580661304,-84.31157999997258,building
LightEdge SAN1,,California,San Diego County,83576.0,32.827865524456854,-117.12993394622256,building
EdgeConneX San Diego,EdgeConneX,California,San Diego County,39204.0,32.842308661647536,-117.1693449894231,building
RagingWire CA2,NTT,California,Sacramento County,204702.0,38.6503995314376,-121.49194609960875,building
RagingWire CA1,NTT,California,Sacramento County,192302.0,38.65043183405982,-121.48918647250004,building
Hewlett-Packard,,Georgia,Fulton County,1294301.0,34.0822260639216,-84.26744994290632,campus
Equinix SV1,Equinix,California,Santa Clara County,135022.0,37.241586803667886,-121.7833201255276,building
Unknown,,Ohio,Hamilton County,13074.0,39.29404817733801,-84.41211321346512,building
Lumen Sunnyvale 1,Lumen Technologies,California,Santa Clara County,77132.0,37.37343914789955,-121.98781298697564,building
OpenColo,,California,Santa Clara County,65471.0,37.37881629201175,-121.95593725165452,building
Equinix Santa Clara SV2,Equinix,California,Santa Clara County,81106.0,37.378433690080165,-121.95499188020412,building
Layer42 Santa Clara,Layer42,California,Santa Clara County,25031.0,37.378039948434136,-121.95415110304296,building
Digital Realty Silicon Valley SJC34,Digital Realty,California,Santa Clara County,129242.0,37.37238819523252,-121.97361948715526,building
Csquare SFO1,Csquare,California,Santa Clara County,92193.0,37.371519049598696,-121.96969744738088,building
Unknown,Vantage,California,Santa Clara County,89293.0,37.37338590954395,-121.97269293993044,building
