state,county,fips,reason,priority,first_queued_utc,last_seen_utc,still_queued,reviewer_note
AL,Tuscaloosa County,01125,"priority 1 adjacency to Jefferson County, AL",1,2026-08-20T14:55:33Z,2026-09-04T11:44:33Z,1,
AZ,Pima County,04019,"priority 1 adjacency to Maricopa County, AZ",1,2026-08-22T07:18:17Z,2026-09-04T11:44:33Z,1,
FL,Hernando County,12053,"priority 1 adjacency to Citrus County, FL",1,2026-08-20T14:55:33Z,2026-09-04T11:44:33Z,1,
GA,Lee County,13177,"priority 1 adjacency to Dougherty County, GA",1,2026-08-20T14:55:33Z,2026-09-04T11:44:33Z,1,
IA,Emmet County,19063,"priority 1 adjacency to Dickinson County, IA",1,2026-08-28T19:00:57Z,2026-09-04T11:44:33Z,1,
IN,Elkhart County,18039,"priority 1 adjacency to Cass County, MI",1,2026-08-22T07:18:17Z,2026-09-04T11:44:33Z,1,
IN,St. Joseph County,18141,"priority 1 adjacency to Cass County, MI",1,2026-08-20T14:55:33Z,2026-09-04T11:44:33Z,1,
IN,Warrick County,18173,"priority 1 adjacency to Daviess County, KY",1,2026-08-20T14:55:33Z,2026-09-04T11:44:33Z,1,
KS,Leavenworth County,20103,"priority 1 adjacency to Douglas County, KS",1,2026-08-20T14:55:33Z,2026-09-04T11:44:33Z,1,
KS,Miami County,20121,"priority 1 adjacency to Johnson County, KS",1,2026-08-20T14:55:33Z,2026-09-04T11:44:33Z,1,
KS,Shawnee County,20177,"priority 1 adjacency to Douglas County, KS",1,2026-08-20T14:55:33Z,2026-09-04T11:44:33Z,1,
KY,Jefferson County,21111,"priority 1 adjacency to Floyd County, IN",1,2026-08-20T14:55:33Z,2026-09-04T11:44:33Z,1,
KY,Warren County,21227,"priority 1 adjacency to Barren County, KY",1,2026-08-20T14:55:33Z,2026-09-04T11:44:33Z,1,
MD,Calvert County,24009,"priority 1 adjacency to Prince George's County, MD",1,2026-08-21T07:27:46Z,2026-09-04T11:44:33Z,1,
MD,Harford County,24025,"priority 1 adjacency to Baltimore County, MD",1,2026-09-02T11:43:17Z,2026-09-04T11:44:33Z,1,
MI,Keweenaw County,26083,"priority 1 adjacency to Houghton County, MI",1,2026-08-21T07:27:46Z,2026-09-04T11:44:33Z,1,
MN,Nicollet County,27103,"priority 1 adjacency to Blue Earth County, MN",1,2026-08-20T14:55:33Z,2026-09-04T11:44:33Z,1,
MO,St. Louis County,29189,"priority 1 adjacency to St. Charles County, MO",1,2026-08-20T14:55:33Z,2026-09-04T11:44:33Z,1,
NC,Harnett County,37085,"priority 1 adjacency to Lee County, NC",1,2026-08-20T14:55:33Z,2026-09-04T11:44:33Z,1,
NC,Stokes County,37169,"priority 1 adjacency to Surry County, NC",1,2026-08-20T14:55:33Z,2026-09-04T11:44:33Z,1,
NC,Yadkin County,37197,"priority 1 adjacency to Surry County, NC",1,2026-08-21T07:27:46Z,2026-09-04T11:44:33Z,1,
NE,Cass County,31025,"priority 1 adjacency to Otoe County, NE",1,2026-08-20T14:55:33Z,2026-09-04T11:44:33Z,1,
NE,Lincoln County,31111,"priority 1 adjacency to Logan County, NE",1,2026-08-20T14:55:33Z,2026-09-04T11:44:33Z,1,
NJ,Gloucester County,34015,"priority 1 adjacency to Camden County, NJ",1,2026-08-20T14:55:33Z,2026-09-04T11:44:33Z,1,
NJ,Sussex County,34037,"priority 1 adjacency to Warren County, NJ",1,2026-08-20T14:55:33Z,2026-09-04T11:44:33Z,1,
OH,Portage County,39133,"priority 1 adjacency to Trumbull County, OH",1,2026-08-20T14:55:33Z,2026-09-04T11:44:33Z,1,
PA,Lehigh County,42077,"priority 1 adjacency to Montgomery County, PA",1,2026-08-20T14:55:33Z,2026-09-04T11:44:33Z,1,
SC,Chester County,45023,"priority 1 adjacency to York County, SC",1,2026-08-20T14:55:33Z,2026-09-04T11:44:33Z,1,
SC,Orangeburg County,45075,"priority 1 adjacency to Colleton County, SC",1,2026-08-20T14:55:33Z,2026-09-04T11:44:33Z,1,
TN,Moore County,47127,"priority 1 adjacency to Coffee County, TN",1,2026-08-22T07:18:17Z,2026-09-04T11:44:33Z,1,
TX,Falls County,48145,"priority 1 adjacency to Bell County, TX",1,2026-08-30T12:13:46Z,2026-09-04T11:44:33Z,1,
VA,New Kent County,51127,"priority 1 adjacency to Henrico County, VA",1,2026-08-20T14:55:33Z,2026-09-04T11:44:33Z,1,
VA,Orange County,51137,"priority 1 adjacency to Spotsylvania County, VA",1,2026-08-26T22:31:33Z,2026-09-04T11:44:33Z,1,
WA,Snohomish County,53061,"priority 1 adjacency to King County, WA",1,2026-08-20T14:55:33Z,2026-09-04T11:44:33Z,1,
WI,Milwaukee County,55079,"priority 1 adjacency to Ozaukee County, WI",1,2026-08-20T14:55:33Z,2026-09-04T11:44:33Z,1,
WI,Rock County,55105,"priority 1 adjacency to Dane County, WI",1,2026-08-20T14:55:33Z,2026-09-04T11:44:33Z,1,
WI,Shawano County,55115,"priority 1 adjacency to Marathon County, WI",1,2026-08-20T14:55:33Z,2026-09-04T11:44:33Z,1,
WI,Sheboygan County,55117,"priority 1 adjacency to Manitowoc County, WI",1,2026-08-20T14:55:33Z,2026-09-04T11:44:33Z,1,
WI,Winnebago County,55139,"priority 1 adjacency to Outagamie County, WI",1,2026-08-20T14:55:33Z,2026-09-04T11:44:33Z,1,
AZ,La Paz County,04012,"priority 2 adjacency to Riverside County, CA",2,2026-08-26T22:31:33Z,2026-09-04T11:44:33Z,1,
CA,Orange County,06059,"priority 2 adjacency to Riverside County, CA",2,2026-08-26T22:31:33Z,2026-09-04T11:44:33Z,1,
CA,San Diego County,06073,"priority 2 adjacency to Riverside County, CA",2,2026-08-26T22:31:33Z,2026-09-04T11:44:33Z,1,
CO,Adams County,08001,"priority 2 adjacency to Denver County, CO",2,2026-08-20T14:55:33Z,2026-09-04T11:44:33Z,1,
CO,Broomfield County,08014,"priority 2 adjacency to Boulder County, CO",2,2026-08-20T14:55:33Z,2026-09-04T11:44:33Z,1,
CO,Jefferson County,08059,"priority 2 adjacency to Teller County, CO",2,2026-08-26T22:31:33Z,2026-09-04T11:44:33Z,1,
DC,District of Columbia,11001,"priority 2 adjacency to Montgomery County, MD",2,2026-08-20T14:55:33Z,2026-09-04T11:44:33Z,1,
FL,Duval County,12031,"priority 2 adjacency to Clay County, FL",2,2026-08-20T14:55:33Z,2026-09-04T11:44:33Z,1,
GA,Baker County,13007,"priority 2 adjacency to Dougherty County, GA",2,2026-08-20T14:55:33Z,2026-09-04T11:44:33Z,1,
GA,Bartow County,13015,"priority 2 adjacency to Cherokee County, GA",2,2026-08-20T14:55:33Z,2026-09-04T11:44:33Z,1,
GA,Carroll County,13045,"priority 2 adjacency to Coweta County, GA",2,2026-08-20T14:55:33Z,2026-09-04T11:44:33Z,1,
GA,Dawson County,13085,"priority 2 adjacency to Cherokee County, GA",2,2026-08-20T14:55:33Z,2026-09-04T11:44:33Z,1,
GA,Gwinnett County,13135,"priority 2 adjacency to DeKalb County, GA",2,2026-08-20T14:55:33Z,2026-09-04T11:44:33Z,1,
GA,Meriwether County,13199,"priority 2 adjacency to Coweta County, GA",2,2026-08-20T14:55:33Z,2026-09-04T11:44:33Z,1,
GA,Mitchell County,13205,"priority 2 adjacency to Dougherty County, GA",2,2026-08-20T14:55:33Z,2026-09-04T11:44:33Z,1,
GA,Paulding County,13223,"priority 2 adjacency to Cobb County, GA",2,2026-08-20T14:55:33Z,2026-09-04T11:44:33Z,1,
GA,Pickens County,13227,"priority 2 adjacency to Cherokee County, GA",2,2026-08-20T14:55:33Z,2026-09-04T11:44:33Z,1,
GA,Whitfield County,13313,"priority 2 adjacency to Hamilton County, TN",2,2026-08-22T07:18:17Z,2026-09-04T11:44:33Z,1,
IA,Cedar County,19031,"priority 2 adjacency to Linn County, IA",2,2026-08-20T14:55:33Z,2026-09-04T11:44:33Z,1,
IA,Delaware County,19055,"priority 2 adjacency to Dubuque County, IA",2,2026-08-20T14:55:33Z,2026-09-04T11:44:33Z,1,
IA,Madison County,19121,"priority 2 adjacency to Adair County, IA",2,2026-08-20T14:55:33Z,2026-09-04T11:44:33Z,1,
IL,Cook County,17031,"priority 2 adjacency to Will County, IL",2,2026-08-25T17:57:22Z,2026-09-04T11:44:33Z,1,
IL,Ford County,17053,"priority 2 adjacency to McLean County, IL",2,2026-08-20T14:55:33Z,2026-09-04T11:44:33Z,1,
IL,Grundy County,17063,"priority 2 adjacency to Will County, IL",2,2026-08-22T07:18:17Z,2026-09-04T11:44:33Z,1,
IL,Jo Daviess County,17085,"priority 2 adjacency to Dubuque County, IA",2,2026-08-20T14:55:33Z,2026-09-04T11:44:33Z,1,
IL,Livingston County,17105,"priority 2 adjacency to McLean County, IL",2,2026-08-20T14:55:33Z,2026-09-04T11:44:33Z,1,
IL,Woodford County,17203,"priority 2 adjacency to McLean County, IL",2,2026-08-20T14:55:33Z,2026-09-04T11:44:33Z,1,
IN,Allen County,18003,"priority 2 adjacency to DeKalb County, IN",2,2026-08-20T14:55:33Z,2026-09-04T11:44:33Z,1,
IN,Delaware County,18035,"priority 2 adjacency to Madison County, IN",2,2026-08-20T14:55:33Z,2026-09-04T11:44:33Z,1,
IN,Hamilton County,18057,"priority 2 adjacency to Madison County, IN",2,2026-08-20T14:55:33Z,2026-09-04T11:44:33Z,1,
IN,Hancock County,18059,"priority 2 adjacency to Madison County, IN",2,2026-08-20T14:55:33Z,2026-09-04T11:44:33Z,1,
IN,Hendricks County,18063,"priority 2 adjacency to Boone County, IN",2,2026-08-20T14:55:33Z,2026-09-04T11:44:33Z,1,
IN,LaPorte County,18091,"priority 2 adjacency to Berrien County, MI",2,2026-08-25T17:57:22Z,2026-09-04T11:44:33Z,1,
IN,Miami County,18103,"priority 2 adjacency to Cass County, IN",2,2026-08-20T14:55:33Z,2026-09-04T11:44:33Z,1,
IN,Morgan County,18109,"priority 2 adjacency to Marion County, IN",2,2026-08-20T14:55:33Z,2026-09-04T11:44:33Z,1,
IN,Wells County,18179,"priority 2 adjacency to Jay County, IN",2,2026-08-20T14:55:33Z,2026-09-04T11:44:33Z,1,
KY,Allen County,21003,"priority 2 adjacency to Sumner County, TN",2,2026-08-22T07:18:17Z,2026-09-04T11:44:33Z,1,
KY,Jessamine County,21113,"priority 2 adjacency to Mercer County, KY",2,2026-08-20T14:55:33Z,2026-09-04T11:44:33Z,1,
KY,Logan County,21141,"priority 2 adjacency to Butler County, KY",2,2026-08-22T07:18:17Z,2026-09-04T11:44:33Z,1,
KY,Mason County,21161,"priority 2 adjacency to Adams County, OH",2,2026-08-22T07:18:17Z,2026-09-04T11:44:33Z,1,
KY,Ohio County,21183,"priority 2 adjacency to Butler County, KY",2,2026-08-20T14:55:33Z,2026-09-04T11:44:33Z,1,
MA,Worcester County,25027,"priority 2 adjacency to Hampden County, MA",2,2026-08-20T14:55:33Z,2026-09-04T11:44:33Z,1,
MD,Anne Arundel County,24003,"priority 2 adjacency to Baltimore County, MD",2,2026-08-20T14:55:33Z,2026-09-04T11:44:33Z,1,
MD,Charles County,24017,"priority 2 adjacency to Prince George's County, MD",2,2026-08-22T07:18:17Z,2026-09-04T11:44:33Z,1,
MI,Barry County,26015,"priority 2 adjacency to Kent County, MI",2,2026-08-20T14:55:33Z,2026-09-04T11:44:33Z,1,
MI,Jackson County,26075,"priority 2 adjacency to Ingham County, MI",2,2026-08-20T14:55:33Z,2026-09-04T11:44:33Z,1,
MI,Lapeer County,26087,"priority 2 adjacency to Macomb County, MI",2,2026-08-20T14:55:33Z,2026-09-04T11:44:33Z,1,
MI,Shiawassee County,26155,"priority 2 adjacency to Ingham County, MI",2,2026-08-20T14:55:33Z,2026-09-04T11:44:33Z,1,
MI,Van Buren County,26159,"priority 2 adjacency to Cass County, MI",2,2026-08-20T14:55:33Z,2026-09-04T11:44:33Z,1,
MN,Ramsey County,27123,"priority 2 adjacency to Dakota County, MN",2,2026-08-20T14:55:33Z,2026-09-04T11:44:33Z,1,
MN,Scott County,27139,"priority 2 adjacency to Dakota County, MN",2,2026-08-20T14:55:33Z,2026-09-04T11:44:33Z,1,
MN,Sherburne County,27141,"priority 2 adjacency to Hennepin County, MN",2,2026-08-20T14:55:33Z,2026-09-04T11:44:33Z,1,
MO,Cass County,29037,"priority 2 adjacency to Jackson County, MO",2,2026-08-20T14:55:33Z,2026-09-04T11:44:33Z,1,
MO,Warren County,29219,"priority 2 adjacency to St. Charles County, MO",2,2026-08-22T07:18:17Z,2026-09-04T11:44:33Z,1,
NC,Gaston County,37071,"priority 2 adjacency to York County, SC",2,2026-08-20T14:55:33Z,2026-09-04T11:44:33Z,1,
NC,Granville County,37077,"priority 2 adjacency to Durham County, NC",2,2026-08-20T14:55:33Z,2026-09-04T11:44:33Z,1,
NC,Iredell County,37097,"priority 2 adjacency to Mecklenburg County, NC",2,2026-08-20T14:55:33Z,2026-09-04T11:44:33Z,1,
NC,Macon County,37113,"priority 2 adjacency to Swain County, NC",2,2026-08-22T07:18:17Z,2026-09-04T11:44:33Z,1,
NC,Moore County,37125,"priority 2 adjacency to Lee County, NC",2,2026-08-20T14:55:33Z,2026-09-04T11:44:33Z,1,
NC,Person County,37145,"priority 2 adjacency to Orange County, NC",2,2026-08-20T14:55:33Z,2026-09-04T11:44:33Z,1,
ND,McLean County,38055,"priority 2 adjacency to Dunn County, ND",2,2026-08-20T14:55:33Z,2026-09-04T11:44:33Z,1,
ND,Stark County,38089,"priority 2 adjacency to Dunn County, ND",2,2026-08-20T14:55:33Z,2026-09-04T11:44:33Z,1,
NJ,Atlantic County,34001,"priority 2 adjacency to Camden County, NJ",2,2026-08-20T14:55:33Z,2026-09-04T11:44:33Z,1,
NJ,Hunterdon County,34019,"priority 2 adjacency to Somerset County, NJ",2,2026-08-20T14:55:33Z,2026-09-04T11:44:33Z,1,
