priority,priority_reason,state,county,fips,enacted_neighbors,enacted_neighbor_fips,nearest_seed_county,nearest_seed_state,nearest_seed_fips,nearest_seed_date,days_since_nearest_seed,fresh_trigger,cross_state_seed,stale_nonterminal_records,tracker_restrictive_records,existing_dc_count,n_projects_tracked,n_opposition_events,population,small_jurisdiction,meeting_source,calibrated_score,score_decile,evidence_status
1,a neighbour enacted inside the trigger window and this county already carries a non-terminal restrictive record; one primary source resolves it,PA,Lehigh County,42077,4,42017;42025;42091;42107,Montgomery County,PA,42091,2026-07-27,32,1,0,2,2,2,5,5,375408,0,none,0.5235,10,search_prompt_only
1,a neighbour enacted inside the trigger window and this county already carries a non-terminal restrictive record; one primary source resolves it,MO,St. Louis County,29189,3,17119;29071;29183,St. Charles County,MO,29183,2026-07-14,45,1,1,2,3,0,1,1,996618,0,ambiguous,0.7443,10,search_prompt_only
1,a neighbour enacted inside the trigger window and this county already carries a non-terminal restrictive record; one primary source resolves it,IN,Elkhart County,18039,2,18099;26027,Cass County,MI,26027,2026-05-12,108,1,1,2,3,0,1,5,206868,0,none,0.4038,10,search_prompt_only
1,a neighbour enacted inside the trigger window and this county already carries a non-terminal restrictive record; one primary source resolves it,MD,Calvert County,24009,1,24033,Prince George's County,MD,24033,2026-07-07,52,1,0,2,3,0,0,3,93791,1,none,0.1514,9,search_prompt_only
1,a neighbour enacted inside the trigger window and this county already carries a non-terminal restrictive record; one primary source resolves it,WI,Winnebago County,55139,1,55087,Outagamie County,WI,55087,2026-07-07,52,1,0,2,2,0,0,2,171357,0,ambiguous,0.1533,9,search_prompt_only
1,a neighbour enacted inside the trigger window and this county already carries a non-terminal restrictive record; one primary source resolves it,NC,Harnett County,37085,4,37037;37051;37105;37183,Lee County,NC,37105,2026-07-16,43,1,0,1,1,0,0,1,136503,0,none,0.1222,8,search_prompt_only
1,a neighbour enacted inside the trigger window and this county already carries a non-terminal restrictive record; one primary source resolves it,IN,St. Joseph County,18141,4,18099;18149;26021;26027,Cass County,MI,26027,2026-05-12,108,1,1,1,2,0,4,3,272574,0,none,0.835,10,search_prompt_only
1,a neighbour enacted inside the trigger window and this county already carries a non-terminal restrictive record; one primary source resolves it,NJ,Gloucester County,34015,3,10003;34007;34011,Camden County,NJ,34007,2026-07-28,31,1,1,1,1,1,3,2,304504,0,none,0.4463,10,search_prompt_only
1,a neighbour enacted inside the trigger window and this county already carries a non-terminal restrictive record; one primary source resolves it,KY,Warren County,21227,3,21009;21031;21213,Barren County,KY,21009,2026-07-20,39,1,0,1,1,0,0,1,137549,0,ambiguous,0.1631,9,search_prompt_only
1,a neighbour enacted inside the trigger window and this county already carries a non-terminal restrictive record; one primary source resolves it,OH,Portage County,39133,3,39151;39153;39155,Trumbull County,OH,39155,2026-06-16,73,1,0,1,1,0,0,1,161421,0,none,0.1658,9,search_prompt_only
1,a neighbour enacted inside the trigger window and this county already carries a non-terminal restrictive record; one primary source resolves it,VA,Orange County,51137,2,51047;51177,Spotsylvania County,VA,51177,2026-08-12,16,1,0,1,1,0,0,1,37208,1,unprobed,0.0644,6,search_prompt_only
1,a neighbour enacted inside the trigger window and this county already carries a non-terminal restrictive record; one primary source resolves it,NE,Lincoln County,31111,2,31041;31113,Logan County,NE,31113,2026-07-16,43,1,0,1,1,0,0,1,34122,1,ambiguous,0.064,6,search_prompt_only
1,a neighbour enacted inside the trigger window and this county already carries a non-terminal restrictive record; one primary source resolves it,KS,Leavenworth County,20103,2,20045;20091,Douglas County,KS,20045,2026-07-14,45,1,0,1,1,0,0,1,82493,1,none,0.1568,9,search_prompt_only
1,a neighbour enacted inside the trigger window and this county already carries a non-terminal restrictive record; one primary source resolves it,WI,Shawano County,55115,2,55073;55087,Marathon County,WI,55073,2026-07-14,45,1,0,1,1,0,0,1,40927,1,none,0.0592,5,search_prompt_only
1,a neighbour enacted inside the trigger window and this county already carries a non-terminal restrictive record; one primary source resolves it,KY,Jefferson County,21111,2,18043;21185,Floyd County,IN,18043,2026-07-08,51,1,1,1,2,2,3,3,777392,0,ambiguous,0.4825,10,search_prompt_only
1,a neighbour enacted inside the trigger window and this county already carries a non-terminal restrictive record; one primary source resolves it,AZ,Pima County,04019,2,04003;04013,Maricopa County,AZ,04013,2026-07-06,53,1,0,1,2,1,1,6,1049947,0,none,0.2412,10,search_prompt_only
1,a neighbour enacted inside the trigger window and this county already carries a non-terminal restrictive record; one primary source resolves it,WA,Snohomish County,53061,2,53007;53033,King County,WA,53033,2026-06-09,80,1,0,1,1,4,4,1,834648,0,none,0.3511,10,search_prompt_only
1,a neighbour enacted inside the trigger window and this county already carries a non-terminal restrictive record; one primary source resolves it,WI,Rock County,55105,2,17201;55025,Dane County,WI,55025,2026-06-04,85,1,1,1,1,0,0,4,163944,0,none,0.1241,8,search_prompt_only
1,a neighbour enacted inside the trigger window and this county already carries a non-terminal restrictive record; one primary source resolves it,WI,Sheboygan County,55117,2,55071;55089,Manitowoc County,WI,55071,2026-04-28,122,1,0,1,1,0,0,2,117783,0,none,0.1187,8,search_prompt_only
1,a neighbour enacted inside the trigger window and this county already carries a non-terminal restrictive record; one primary source resolves it,GA,Lee County,13177,1,13095,Dougherty County,GA,13095,2026-07-21,38,1,0,1,1,0,0,1,33337,1,ambiguous,0.0867,7,search_prompt_only
1,a neighbour enacted inside the trigger window and this county already carries a non-terminal restrictive record; one primary source resolves it,NC,Stokes County,37169,1,37171,Surry County,NC,37171,2026-07-21,38,1,0,1,2,0,1,2,44889,1,none,0.1813,9,search_prompt_only
1,a neighbour enacted inside the trigger window and this county already carries a non-terminal restrictive record; one primary source resolves it,NC,Yadkin County,37197,1,37171,Surry County,NC,37171,2026-07-21,38,1,0,1,1,0,0,1,37419,1,none,0.0658,6,search_prompt_only
1,a neighbour enacted inside the trigger window and this county already carries a non-terminal restrictive record; one primary source resolves it,KS,Shawnee County,20177,1,20045,Douglas County,KS,20045,2026-07-14,45,1,0,1,1,0,0,1,178315,0,none,0.192,9,search_prompt_only
1,a neighbour enacted inside the trigger window and this county already carries a non-terminal restrictive record; one primary source resolves it,AL,Tuscaloosa County,01125,1,01073,Jefferson County,AL,01073,2026-07-13,46,1,0,1,1,0,0,1,234036,0,none,0.1496,9,search_prompt_only
1,a neighbour enacted inside the trigger window and this county already carries a non-terminal restrictive record; one primary source resolves it,MN,Nicollet County,27103,1,27013,Blue Earth County,MN,27013,2026-07-13,46,1,0,1,1,0,0,2,34350,1,none,0.0881,7,search_prompt_only
