record_id,tier,source,name,state,county,capacity_mw,opposed_flag,lifecycle_outcome,origin_date,origin_precision,end_date,end_kind,span_days,event_observed,source_url
prj_1,internal,proposals_opposed,Project Nebius,AL,jefferson,300.0,yes,pending,2026-01-01,month,2026-04-22,censored_pending,111,0,
prj_2,internal,proposals_opposed,Project Marvel,AL,jefferson,1.2,yes,pending,2025-01-01,day,2026-04-15,censored_pending,469,0,
prj_3,internal,proposals_opposed,Meta Platforms Montgomery Data Center,AL,montgomery,227.0,yes,advanced_confirmed,2024-05-01,month,2026-04-15,decided_undated,714,0,
prj_4,internal,proposals_unopposed,DC BLOX Montgomery,AL,montgomery,40.0,no,pending,2024-11-01,month,2026-05-02,censored_pending,547,0,
prj_5,internal,proposals_opposed,DC BLOX Birmingham,AL,jefferson,40.0,yes,advanced_confirmed,2026-01-01,day,2026-05-02,decided_undated,121,0,
prj_6,internal,proposals_unopposed,AUBix + Core Scientific Data Center,AL,lee,16.0,no,advanced_confirmed,2025-01-01,day,2026-04-15,decided_undated,469,0,
prj_7,internal,proposals_opposed,Childersburg Data Center,AL,talladega,,yes,pending,2025-01-01,day,2026-04-22,censored_pending,476,0,
prj_8,internal,proposals_unopposed,Tallassee Mill Data Center,AL,elmore,10.0,no,pending,2026-04-01,month,2026-04-30,censored_pending,29,0,
prj_9,internal,proposals_unopposed,Project Red Clay,AL,lowndes,,no,pending,2026-04-01,month,2026-05-05,censored_pending,34,0,
prj_10,internal,proposals_unopposed,Edged Energy Prichard Data Center,AL,mobile,,no,pending,2026-04-01,month,2026-05-05,censored_pending,34,0,
prj_11,internal,proposals_opposed,Columbiana Mining Facility and Data Center,AL,shelby,55.0,yes,advanced_confirmed,2022-01-01,day,2026-05-05,decided_undated,1585,0,
prj_12,internal,proposals_opposed,Project Leo,AR,pulaski,1000.0,yes,pending,2026-01-01,month,2026-03-21,censored_pending,79,0,
prj_13,internal,proposals_opposed,Project Pyramid,AR,crittenden,,yes,advanced_confirmed,2025-10-01,month,2026-03-21,decided_undated,171,0,
prj_14,internal,proposals_opposed,Clarksville Data Center,AR,johnson,,yes,advanced_confirmed,2025-01-01,day,2026-04-11,decided_undated,465,0,
