source,as_of,name,state,announced_date,county,capacity_mw,decision_date,status,source_url,operator
loudoun_lola,2026-08-18,IAD 12 & IAD 13 Data Center,VA,2023-08-23,,,,Approved,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query,
loudoun_lola,2026-08-18,ACC-10 DATA CENTER LOUDOUN CENTER,VA,2017-01-20,,,,Approved,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query,
loudoun_lola,2026-08-18,VANTAGE DATA CENTERS VA2 LLC,VA,2022-04-26,,,,Approved,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query,
loudoun_lola,2026-08-18,H5 DATA CENTER,VA,2023-01-19,,,,Approved,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query,
loudoun_lola,2026-08-18,VANTAGE DATA CENTERS VA2,VA,2023-01-30,,,,Approved,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query,
loudoun_lola,2026-08-18,Manekin Plaza,VA,2023-03-30,,,,Approved,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query,
loudoun_lola,2026-08-18,RACEFIELD SUBSTATION,VA,2023-12-13,,,,Approved,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query,
loudoun_lola,2026-08-18,Loudoun Business Park,VA,2025-07-09,,,,In Review,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query,
loudoun_lola,2026-08-18,Loudoun Business Park,VA,2026-03-05,,,,In Review,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query,
loudoun_lola,2026-08-18,Data Center Standards and Locations Phase 1,VA,2024-01-31,,,,Approved,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query,
loudoun_lola,2026-08-18,Data Center Standards and Locations Phase 2,VA,2025-09-19,,,,In Review,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query,
loudoun_lola,2026-08-18,TRUE NORTH DATA- SYCOLIN RD,VA,2017-08-18,,,,Approved,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query,
loudoun_lola,2026-08-18,606 DATA CENTER,VA,2018-01-26,,,,Approved,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query,
loudoun_lola,2026-08-18,TRUE NORTH DATA - SWM,VA,2018-03-26,,,,Approved,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query,
loudoun_lola,2026-08-18,AREP BEAUMEADE DATA CENTER,VA,2021-02-25,,,,Approved,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query,
loudoun_lola,2026-08-18,606 DATA CENTER,VA,2018-05-01,,,,Approved,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query,
loudoun_lola,2026-08-18,606 DATA CENTER,VA,2018-12-07,,,,Approved,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query,
loudoun_lola,2026-08-18,AREP BEAUMEADE DATA CENTER,VA,2021-12-14,,,,Approved,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query,
loudoun_lola,2026-08-18,LOUDOUN METRO DATA CENTERS LM3 & LM4,VA,2015-02-05,,,,Approved,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query,
loudoun_lola,2026-08-18,WAXPOOL INTXN IMPRO ASB ASHBRN DATA CEN,VA,2015-05-18,,,,Approved,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query,
loudoun_lola,2026-08-18,DARVISH DATA CENTER,VA,2022-03-02,,,,In Review,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query,
loudoun_lola,2026-08-18,RIDGETOP DATA CENTER,VA,2023-07-21,,,,In Review,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query,
loudoun_lola,2026-08-18,INOVA Health System Phase 1,VA,2023-08-21,,,,Approved,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query,
loudoun_lola,2026-08-18,H5 Data Center,VA,2023-09-20,,,,Approved,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query,
loudoun_lola,2026-08-18,Ashburn East Phase 1 & 2,VA,2023-09-25,,,,Approved,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query,
loudoun_lola,2026-08-18,1501 Moran Road - AS02,VA,2023-09-29,,,,Approved,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query,
loudoun_lola,2026-08-18,Allegro North Campus - Building 2A,VA,2023-10-27,,,,In Review,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query,
loudoun_lola,2026-08-18,Project Motion - Phase 3,VA,2023-11-09,,,,Approved,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query,
loudoun_lola,2026-08-18,JK TECHNOLOGY PARK #3,VA,2023-11-20,,,,In Review,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query,
loudoun_lola,2026-08-18,Pacific Corporate Park,VA,2023-11-21,,,,Approved,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query,
loudoun_lola,2026-08-18,JK Technology Park #2,VA,2023-12-01,,,,In Review,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query,
loudoun_lola,2026-08-18,Project Aspen,VA,2023-12-07,,,,Approved,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query,
loudoun_lola,2026-08-18,Allegro North Campus - Building 2B-2E Site Plan,VA,2023-12-08,,,,In Review,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query,
loudoun_lola,2026-08-18,Vantage VA16,VA,2023-12-08,,,,Approved,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query,
loudoun_lola,2026-08-18,Stack Ashburn Data Center,VA,2023-12-20,,,,Approved,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query,
loudoun_lola,2026-08-18,Prologis - Erin's Run Drive,VA,2024-04-02,,,,In Review,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query,
loudoun_lola,2026-08-18,Thayer Rd,VA,2024-05-08,,,,In Review,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query,
loudoun_lola,2026-08-18,TUSCARORA CROSSING LANDBAY 7,VA,2024-05-08,,,,Approved,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query,
loudoun_lola,2026-08-18,Digital Dulles Phase III,VA,2024-05-08,,,,In Review,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query,
loudoun_lola,2026-08-18,Digital Filigree,VA,2024-05-13,,,,Approved,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query,
loudoun_lola,2026-08-18,Loudoun Center LC3 Data Center SPAM,VA,2024-05-31,,,,Approved,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query,
loudoun_lola,2026-08-18,Ashburn Data Center,VA,2024-06-17,,,,In Review,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query,
loudoun_lola,2026-08-18,Dulles Design,VA,2024-06-20,,,,In Review,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query,
loudoun_lola,2026-08-18,IAD03 Relocation Drive Phase II,VA,2024-06-21,,,,Approved,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query,
loudoun_lola,2026-08-18,Dulles Berry LC8 Data Center,VA,2024-07-12,,,,Approved,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query,
loudoun_lola,2026-08-18,110 Terminal Drive Data Center,VA,2024-08-01,,,,In Review,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query,
loudoun_lola,2026-08-18,Data Centers at Compass Creek,VA,2024-08-14,,,,Approved,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query,
loudoun_lola,2026-08-18,Site Plan Amendment for EPLAN-2023-0128,VA,2024-09-20,,,,Approved,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query,
loudoun_lola,2026-08-18,Dulles Electric Data Centers,VA,2024-10-16,,,,In Review,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query,
loudoun_lola,2026-08-18,ME-DC Pacific,VA,2024-10-17,,,,In Review,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query,
loudoun_lola,2026-08-18,Mercure Business Park Lot 22,VA,2024-10-30,,,,In Review,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query,
loudoun_lola,2026-08-18,Mercure Business Park Lot 19 & LOT 20,VA,2024-10-30,,,,In Review,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query,
loudoun_lola,2026-08-18,Clintmar,VA,2024-11-01,,,,In Review,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query,
loudoun_lola,2026-08-18,22990 Indian Creek Drive,VA,2024-11-11,,,,In Review,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query,
loudoun_lola,2026-08-18,44122 Mercure Circle,VA,2024-11-14,,,,In Review,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query,
loudoun_lola,2026-08-18,44112 Mercure Circle,VA,2024-11-14,,,,In Review,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query,
loudoun_lola,2026-08-18,Farah-Naples Data Center Site Plan,VA,2024-11-19,,,,In Review,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query,
loudoun_lola,2026-08-18,NTT VA6 AND VA7 SITE PLAN AMENDMENT 2024,VA,2024-11-21,,,,Approved,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query,
loudoun_lola,2026-08-18,ParagonPark III Technology Park,VA,2024-12-11,,,,In Review,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query,
loudoun_lola,2026-08-18,Tech Park at Dulles,VA,2024-12-20,,,,In Review,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query,
loudoun_lola,2026-08-18,Compass Creek Section 4,VA,2024-12-23,,,,Approved,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query,
loudoun_lola,2026-08-18,Samuels Mill Assemblage,VA,2024-12-30,,,,In Review,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query,
loudoun_lola,2026-08-18,Project Motion - Phase 4,VA,2024-12-31,,,,In Review,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query,
loudoun_lola,2026-08-18,Parcel J at Ashburn Center,VA,2025-01-03,,,,Approved,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query,
loudoun_lola,2026-08-18,H&M Property,VA,2025-01-24,,,,Approved,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query,
loudoun_lola,2026-08-18,Allegro North Campus- Building 2F Site Plan,VA,2025-02-07,,,,In Review,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query,
loudoun_lola,2026-08-18,Sterling Technology Park,VA,2025-02-12,,,,In Review,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query,
loudoun_lola,2026-08-18,Ashburn Shallow Bay,VA,2025-02-12,,,,In Review,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query,
loudoun_lola,2026-08-18,Ashbrook Tech Center,VA,2025-03-21,,,,In Review,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query,
loudoun_lola,2026-08-18,AREP BEAUMEADE DATA CENTER,VA,2025-04-17,,,,Approved,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query,
loudoun_lola,2026-08-18,Prologis Park Building 4,VA,2025-06-18,,,,In Review,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query,
loudoun_lola,2026-08-18,CyrusOne Sterling 11 Data Center Phase 2,VA,2025-07-31,,,,Approved,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query,
