severity,flag,opp_id,state,identifier,recorded_status,recorded_normalized,stage,correct_outcome,stage_date,stage_evidence,possible_sine_die,openstates_url,incident,date,note
HIGH,recorded_blocked_but_enacted,opp_d9eaf5d58d8e,CO,SB 26,defeated,Blocked,Signed into law,Approved,2026-04-20,executive-signature: Governor Signed,,https://openstates.org/co/bills/2026A/SB26/,Colorado General Assembly (HB26-1030 + SB26-102 both died in committee),2026-05-11,
HIGH,recorded_blocked_but_enacted,opp_51503be68e34,FL,SB 484,defeated,Blocked,Signed into law,Approved,2026-05-07,executive-signature: Approved by Governor,,https://openstates.org/fl/bills/2026/SB484/,Florida,2026-03-13,
HIGH,recorded_blocked_but_enacted,opp_42b15cf3e0c3,KS,SB 98,dead,Blocked,Signed into law,Approved,2025-04-11,"executive-signature: Approved by Governor on Thursday, April 24, 2025",,https://openstates.org/ks/bills/2025-2026/SB98/,Kansas (statewide),2026-03-04,
HIGH,recorded_blocked_but_enacted,opp_6244df945467,KY,SB 197,died,Blocked,Signed into law,Approved,2026-04-27,became-law: delivered to Secretary of State (Acts Ch. 202),,https://openstates.org/ky/bills/2026RS/SB197/,Kentucky (statewide),2026-02-01,
HIGH,recorded_blocked_but_enacted,opp_46fdb3396312,MD,HB 1532,died,Blocked,Signed into law,Approved,2026-05-12,executive-signature: Approved by the Governor - Chapter 353,,https://openstates.org/md/bills/2026/HB1532/,Baltimore City (Baltimore Peninsula TIF ban),2026-03-01,
HIGH,milestone_coded_as_enacted,opp_e132fa0f497a,MD,SB 596,passed,Approved,Introduced,Pending,2026-02-05,"introduction: First Reading Education, Energy, and the Environment",,https://openstates.org/md/bills/2026/SB596/,Maryland (statewide),2026-04-15,
HIGH,recorded_approved_but_terminal_blocked,opp_7ca5891e8026,ME,LD 307,passed,Approved,Failed floor vote,Blocked,2026-04-29,failure: Placed in the Legislative Files. (DEAD),,https://openstates.org/me/bills/132/LD307/,Maine,2026-04-24,
HIGH,milestone_coded_as_enacted,opp_f7640b49cd6b,MN,HF 16,passed,Approved,Passed committee only,Pending,2025-03-13,"committee-passage: Committee report, to adopt and re-refer to Elections Finance and Government Operations",,https://openstates.org/mn/bills/2025-2026/HF16/,Minnesota (HF 16),2025-06-14,
HIGH,milestone_coded_as_enacted,opp_59b45da5fc73,NJ,A 2757,passed,Approved,Passed one chamber,Pending,2026-06-30,passage in upper,,https://openstates.org/nj/bills/222/A2757/,New Jersey General Assembly (S4390/A5165 AI/data center tax credit clawback),2026-06-30,
HIGH,milestone_coded_as_enacted,opp_59b45da5fc73,NJ,A 5165,passed,Approved,Passed committee only,Pending,2026-06-28,"committee-passage: Reported out of Assembly Committee, 2nd Reading",,https://openstates.org/nj/bills/222/A5165/,New Jersey General Assembly (S4390/A5165 AI/data center tax credit clawback),2026-06-30,
HIGH,recorded_blocked_but_enacted,opp_e68cad835453,NJ,A 5462,defeated,Blocked,Passed both chambers,Approved,2026-01-12,passage recorded in 2 chambers,,https://openstates.org/nj/bills/221/A5462/,New Jersey (A5462 Conditional Veto),2026-01-21,
HIGH,milestone_coded_as_enacted,opp_c3f8ec3f6a51,NJ,A 796,passed,Approved,Passed one chamber,Pending,2026-06-30,passage in lower,,https://openstates.org/nj/bills/222/A796/,New Jersey (A796 Assembly passage),2026-03-23,
HIGH,milestone_coded_as_enacted,opp_6f4f6d13b784,NJ,A 796,passed,Approved,Passed one chamber,Pending,2026-06-30,passage in lower,,https://openstates.org/nj/bills/222/A796/,State of New Jersey (S731/A796 'Data Center Fair Share Act' signed),2026-07-07,
HIGH,milestone_coded_as_enacted,opp_59b45da5fc73,NJ,A 796,passed,Approved,Passed one chamber,Pending,2026-06-30,passage in lower,,https://openstates.org/nj/bills/222/A796/,New Jersey General Assembly (S4390/A5165 AI/data center tax credit clawback),2026-06-30,
HIGH,milestone_coded_as_enacted,opp_59b45da5fc73,NJ,S 1673,passed,Approved,Introduced,Pending,2026-01-13,"introduction: Introduced in the Senate, Referred to Senate Economic Growth Committee",,https://openstates.org/nj/bills/222/S1673/,New Jersey General Assembly (S4390/A5165 AI/data center tax credit clawback),2026-06-30,
HIGH,milestone_coded_as_enacted,opp_59b45da5fc73,NJ,S 4390,passed,Approved,Passed one chamber,Pending,2026-06-30,passage in lower,,https://openstates.org/nj/bills/222/S4390/,New Jersey General Assembly (S4390/A5165 AI/data center tax credit clawback),2026-06-30,
