opp_id,state,identifier,lookup_status,candidates,session,title,stage,stage_date,stage_evidence,correct_outcome,latest_action_date,openstates_url,incident,date
opp_1e51e4931d42,CT,SB 245,ambiguous_session,10,2026,AN ACT ELIMINATING CERTAIN TAX INCENTIVES FOR DATA CENTERS.,Passed committee only,2026-03-17,committee-passage: Joint Favorable Change of Reference FIN,Pending,2026-03-23,https://openstates.org/ct/bills/2026/SB245/,Connecticut (statewide),2026-02-04
opp_de1ee11155ca,ND,HB 1579,matched,1,69,AN ACT to provide for a legislative management study relating to the impact of large energy consumers on the state's electrical grid.,Signed into law,2025-04-29,executive-signature: Signed by Governor 04/28,Approved,2025-04-30,https://openstates.org/nd/bills/69/HB1579/,North Dakota (HB 1579),2025-01-01
opp_2f1153a6f830,NC,HB 1002,matched,20,2025,Rate Payer Protection Act.,Introduced,2025-04-14,"introduction: Ref To Com On Rules, Calendar, and Operations of the House",Pending,2025-04-14,https://openstates.org/nc/bills/2025/HB1002/,North Carolina (statewide HB 1002),2026-02-01
opp_5d1c237068fa,WV,HB 5590,matched,2,2026,Create a limited and predictable water-quantity review framework for High Impact Data Centers (HIDCs) in West Virginia.,Introduced,2026-02-16,introduction: Filed for introduction,Pending,2026-02-16,https://openstates.org/wv/bills/2026/HB5590/,West Virginia (statewide),2026-01-01
opp_5d1c237068fa,WV,HB 5620,matched,2,2026,To restore local control in the decision making process in regard to data centers,Introduced,2026-02-16,introduction: Filed for introduction,Pending,2026-02-16,https://openstates.org/wv/bills/2026/HB5620/,West Virginia (statewide),2026-01-01
opp_5d1c237068fa,WV,HB 4983,matched,2,2026,Authorizing the Department of Commerce to promulgate a legislative rule relating to certification of a microgrid district or certification as a high impact data,Signed into law,2026-03-30,executive-signature: Approved by Governor 3/27/2026,Approved,2026-06-29,https://openstates.org/wv/bills/2026/HB4983/,West Virginia (statewide),2026-01-01
opp_5d1c237068fa,WV,HB 2014,matched,4,2025,Certified Microgrid Program,Signed into law,2025-04-12,executive-signature: Approved by Governor 4/30/2025 - Senate Journal,Approved,2025-07-30,https://openstates.org/wv/bills/2025/HB2014/,West Virginia (statewide),2026-01-01
opp_2b8c76fed856,OR,HB 3546,matched,2,2025R1,Relating to large energy use facilities; and declaring an emergency.,Signed into law,2025-06-16,executive-signature: Governor signed.,Approved,2025-07-07,https://openstates.org/or/bills/2025R1/HB3546/,Oregon (statewide),2025-06-05
opp_f7640b49cd6b,MN,HF 16,ambiguous_session,16,2025-2026,"Immigration law enforcement noncooperation ordinances and policies prohibited, use of immigration-related data provided, and county attorneys required to notify",Passed committee only,2025-03-13,"committee-passage: Committee report, to adopt and re-refer to Elections Finance and Government Operations",Pending,2026-03-16,https://openstates.org/mn/bills/2025-2026/HF16/,Minnesota (HF 16),2025-06-14
opp_7bd467275f0e,TX,SB 6,ambiguous_session,14,891,"Relating to abortion, including civil liability for the manufacture and provision of abortion-inducing drugs, exemptions from the Texas Citizens Participation A",Passed one chamber,2025-08-12,passage in upper,Pending,2025-08-12,https://openstates.org/tx/bills/891/SB6/,Texas (statewide SB 6),2025-06-20
opp_ec76fb0ac2f1,DE,HB 233,http_429,0,,,,,,,,,Delaware (statewide),2025-09-29
opp_bbaf2eee64a2,CA,SB 57,http_429,0,,,,,,,,,California (SB 57),2025-10-11
opp_e68cad835453,NJ,A 5462,http_429,0,,,,,,,,,New Jersey (A5462 Conditional Veto),2026-01-21
opp_e68cad835453,NJ,S 731,http_429,0,,,,,,,,,New Jersey (A5462 Conditional Veto),2026-01-21
opp_e68cad835453,NJ,A 796,http_429,0,,,,,,,,,New Jersey (A5462 Conditional Veto),2026-01-21
opp_b670d873b817,AK,HB 259,http_429,0,,,,,,,,,Alaska (statewide),2026-01-01
opp_b670d873b817,AK,SB 250,http_429,0,,,,,,,,,Alaska (statewide),2026-01-01
opp_42b15cf3e0c3,KS,SB 526,http_429,0,,,,,,,,,Kansas (statewide),2026-03-04
opp_42b15cf3e0c3,KS,SB 98,http_429,0,,,,,,,,,Kansas (statewide),2026-03-04
opp_65677bb0b311,GA,SB 436,http_429,0,,,,,,,,,Georgia (statewide),2026-02-09
opp_65677bb0b311,GA,SB 410,http_429,0,,,,,,,,,Georgia (statewide),2026-02-09
opp_65677bb0b311,GA,HB 1063,http_429,0,,,,,,,,,Georgia (statewide),2026-02-09
opp_e132fa0f497a,MD,HB 1532,http_429,0,,,,,,,,,Maryland (statewide),2026-04-15
opp_e132fa0f497a,MD,SB 596,http_429,0,,,,,,,,,Maryland (statewide),2026-04-15
opp_a22d34ea887a,VA,SB 253,http_429,0,,,,,,,,,Virginia (statewide),2026-04-16
opp_a22d34ea887a,VA,HB 1393,http_429,0,,,,,,,,,Virginia (statewide),2026-04-16
opp_4954abc08ca0,OK,HB 299,http_429,0,,,,,,,,,Oklahoma (statewide),2026-03-01
opp_f885917b8d19,WA,SB 6231,http_429,0,,,,,,,,,Washington (SB 6231),2026-01-01
opp_8ac39cf790db,MD,HB 560,http_429,0,,,,,,,,,Maryland (HB 560),2026-01-01
opp_548024876132,VA,SB 619,http_429,0,,,,,,,,,Virginia (SB 619 / HB 155),2026-01-01
opp_548024876132,VA,HB 155,http_429,0,,,,,,,,,Virginia (SB 619 / HB 155),2026-01-01
opp_968f4eba3c4e,CA,AB 1577,http_429,0,,,,,,,,,California (AB 1577),2026-01-12
opp_3a101d4c333b,CA,AB 222,http_429,0,,,,,,,,,California (statewide),2025-01-15
opp_3dc49c9a8133,SC,HB 4583,http_429,0,,,,,,,,,South Carolina (HB 4583),2026-01-13
opp_05dd8f8b80d3,MD,HB 120,http_429,0,,,,,,,,,Maryland (statewide HB 120),2026-01-14
opp_72caa70f9964,NM,SB 235,http_429,0,,,,,,,,,New Mexico (statewide),2026-01-14
opp_5f5df06bfaaf,UT,HB 76,http_429,0,,,,,,,,,Utah (statewide),2026-01-15
opp_068678987d3f,NE,LB 1111,http_429,0,,,,,,,,,Nebraska (statewide),2026-01-16
opp_2509e4a89095,GA,HB 1012,matched,7,2025_26,Local government; construction or development of  new data centers for a specified time; prohibit,Introduced,2026-01-16,introduction: House Hopper,Pending,2026-01-28,https://openstates.org/ga/bills/2025_26/HB1012/,Georgia (statewide HB 1012),2026-01-16
opp_2509e4a89095,GA,HB 1059,matched,7,2025_26,Data Center Impact Assessment and Development Moratorium Act of 2026; enact,Introduced,2026-01-28,introduction: House Hopper,Pending,2026-02-02,https://openstates.org/ga/bills/2025_26/HB1059/,Georgia (statewide HB 1012),2026-01-16
opp_a7892e08eaeb,SD,SB 135,ambiguous_session,9,2026,protect residents from increased utility costs and utility shortages caused by data centers and clarify authority to regulate data centers.,Signed into law,2026-03-30,executive-signature: Signed by the Governor on 2026-03-30 S.J. 549,Approved,2026-03-30,https://openstates.org/sd/bills/2026/SB135/,South Dakota (statewide),2026-03-24
opp_a7892e08eaeb,SD,HB 1038,ambiguous_session,9,2026,allow the Public Utilities Commission to assess actual costs to data centers that are customers of public utilities.,Signed into law,2026-03-30,executive-signature: Signed by the Governor on 2026-03-30 H.J. 579,Approved,2026-03-30,https://openstates.org/sd/bills/2026/HB1038/,South Dakota (statewide),2026-03-24
opp_d6c554af93b0,IN,HB 1333,ambiguous_session,10,2026,Land use and development.,Failed floor vote,2026-01-29,"failure: Amendment #1 (Pryor) failed; Roll Call 157: yeas 24, nays 65",Blocked,2026-02-05,https://openstates.org/in/bills/2026/HB1333/,Indiana (statewide),2026-01-27
opp_b0c2e1b40d11,VA,HB 1515,ambiguous_session,7,2027,Local approval of data centers; temporary moratorium.,Introduced,2026-01-23,introduction: Presented and ordered printed 26105789D,Pending,2026-07-21,https://openstates.org/va/bills/2027/HB1515/,Virginia (statewide HB 1515 moratorium),2026-02-01
opp_423d4766b0e9,TN,SB 2128,matched,5,114,"Computers and Electronic Processing - As enacted, generally prohibits a municipality or electric utility to pay or absorb the cost of electrical infrastructure ",Introduced,2026-01-22,introduction: Filed for introduction,Pending,2026-05-18,https://openstates.org/tn/bills/114/SB2128/,Tennessee (statewide),2026-02-01
opp_423d4766b0e9,TN,SB 2653,matched,5,114,"Business and Commerce - As introduced, creates the ""Tennessee Data Center Impact Review Act."" - Amends TCA Title 5; Title 6; Title 7; Title 10; Title 62; Title ",Introduced,2026-02-02,"introduction: Introduced, Passed on First Consideration",Pending,2026-04-07,https://openstates.org/tn/bills/114/SB2653/,Tennessee (statewide),2026-02-01
opp_423d4766b0e9,TN,SB 1999,matched,5,114,"Energy - As introduced, enacts the ""Data Center, Artificial Intelligence, and Clean Transition Tariff Accountability Act."" - Amends TCA Title 7 and Title 65.",Introduced,2026-01-22,introduction: Filed for introduction,Pending,2026-03-10,https://openstates.org/tn/bills/114/SB1999/,Tennessee (statewide),2026-02-01
opp_423d4766b0e9,TN,SB 2584,matched,5,114,"Taxes, Sales - As introduced, authorizes a qualified data center that applies for job tax credits to certify electronically that it has not, within the previous",Introduced,2026-02-02,"introduction: Introduced, Passed on First Consideration",Pending,2026-04-20,https://openstates.org/tn/bills/114/SB2584/,Tennessee (statewide),2026-02-01
opp_423d4766b0e9,TN,HB 2047,http_429,0,,,,,,,,,Tennessee (statewide),2026-02-01
opp_32a96eb7865e,AZ,HB 2756,http_429,0,,,,,,,,,Arizona (statewide HB 2756),2026-02-01
opp_32a96eb7865e,AZ,HB 2795,http_429,0,,,,,,,,,Arizona (statewide HB 2756),2026-02-01
opp_32a96eb7865e,AZ,HB 2452,http_429,0,,,,,,,,,Arizona (statewide HB 2756),2026-02-01
opp_32a96eb7865e,AZ,HB 4009,http_429,0,,,,,,,,,Arizona (statewide HB 2756),2026-02-01
opp_32a96eb7865e,AZ,HB 2457,http_429,0,,,,,,,,,Arizona (statewide HB 2756),2026-02-01
opp_6244df945467,KY,HB 544,http_429,0,,,,,,,,,Kentucky (statewide),2026-02-01
opp_6244df945467,KY,SB 197,http_429,0,,,,,,,,,Kentucky (statewide),2026-02-01
opp_bfd506616d8c,IL,SB 4004,http_429,0,,,,,,,,,Illinois (SB 4004),2026-02-01
opp_1763a86c026b,SD,SB 232,http_429,0,,,,,,,,,South Dakota (SB 232),2026-02-18
opp_1763a86c026b,SD,SB 135,ambiguous_session,9,2026,protect residents from increased utility costs and utility shortages caused by data centers and clarify authority to regulate data centers.,Signed into law,2026-03-30,executive-signature: Signed by the Governor on 2026-03-30 S.J. 549,Approved,2026-03-30,https://openstates.org/sd/bills/2026/SB135/,South Dakota (SB 232),2026-02-18
opp_f5dab8062f21,AL,SB 270,http_429,0,,,,,,,,,Alabama (statewide SB 270),2026-02-05
opp_0e3b862642cd,NY,S 9144,http_429,0,,,,,,,,,New York State,2026-02-06
opp_0e3b862642cd,NY,A 10141,http_429,0,,,,,,,,,New York State,2026-02-06
opp_4cf11bae103b,ID,HB 609,http_429,0,,,,,,,,,Idaho (statewide),2026-02-09
opp_4cf11bae103b,ID,HB 756,http_429,0,,,,,,,,,Idaho (statewide),2026-02-09
opp_585738332a95,VA,SB 253,http_429,0,,,,,,,,,Virginia (statewide SB 253 rate shift),2026-02-10
opp_1ea05e5b34c9,WA,HB 2515,http_429,0,,,,,,,,,Washington (statewide),2026-02-11
opp_1ea05e5b34c9,WA,SB 5982,http_429,0,,,,,,,,,Washington (statewide),2026-02-11
opp_af594b40ea68,NH,HB 1265,http_429,0,,,,,,,,,New Hampshire (statewide),2026-02-11
opp_f8021bc23d73,ME,LD 307,http_429,0,,,,,,,,,Maine (statewide),2026-04-24
opp_39e08a527448,CO,SB 26,http_429,0,,,,,,,,,Colorado (statewide),2026-02-12
opp_39e08a527448,CO,HB 26,http_429,0,,,,,,,,,Colorado (statewide),2026-02-12
opp_71bcf73ea023,WI,SB 1061,http_429,0,,,,,,,,,Wisconsin (statewide moratorium bill),2026-02-12
opp_71bcf73ea023,WI,AB 1099,http_429,0,,,,,,,,,Wisconsin (statewide moratorium bill),2026-02-12
opp_4f824b8f6f0f,KY,HB 593,http_429,0,,,,,,,,,Kentucky (statewide HB 593),2026-02-12
opp_4f824b8f6f0f,KY,HB 544,http_429,0,,,,,,,,,Kentucky (statewide HB 593),2026-02-12
opp_23023943734f,OH,HB 706,matched,5,136,Impose certain minimum requirements on data center customers,Introduced,2026-02-17,introduction: Introduced,Pending,2026-02-25,https://openstates.org/oh/bills/136/HB706/,Ohio (statewide),2026-02-17
opp_81019607ff66,OR,SB 1586,matched,3,2026R1,Relating to economic development; prescribing an effective date.,Introduced,2026-02-02,introduction: Introduction and first reading. Referred to President's desk.,Pending,2026-03-07,https://openstates.org/or/bills/2026R1/SB1586/,Hillsboro (SB 1586),2026-02-17
opp_cc77c8b45ade,IA,HF 2447,matched,5,2025-2026,"A bill for an act relating to water and energy use for data centers, including reporting and tariff requirements, and including effective date provisions.",Passed committee only,2026-02-17,committee-passage: Subcommittee recommends passage.,Pending,2026-02-23,https://openstates.org/ia/bills/2025-2026/HF2447/,Iowa (statewide),2026-02-19
opp_7146943d67ee,OH,SR 37,matched,5,136,Honoring The Ohio State University spirit team on securing a 2025 UCA & UDA College Cheerleading and Dance Team National crown.,Passed one chamber,2025-02-14,passage in upper,Pending,2025-02-14,https://openstates.org/oh/bills/136/SR37/,Sunbury,2026-04-15
opp_7146943d67ee,OH,HB 646,network_error:The read operation timed out,0,,,,,,,,,Sunbury,2026-04-15
opp_2b5062d71994,SD,SB 232,matched,1,2026,impose a one-year moratorium on the construction or expansion of hyperscale data centers.,Introduced,2026-02-05,introduction: Referred to Senate State Affairs S.J. 199,Pending,2026-02-18,https://openstates.org/sd/bills/2026/SB232/,South Dakota (moratorium/incentive defeat),2026-02-24
opp_2b5062d71994,SD,HB 1005,ambiguous_session,9,2026,provide a sales and use tax exemption for goods and services related to data center operations.,Introduced,2026-01-13,introduction: First read in House and referred to House State Affairs H.J. 15,Pending,2026-02-04,https://openstates.org/sd/bills/2026/HB1005/,South Dakota (moratorium/incentive defeat),2026-02-24
opp_2b5062d71994,SD,SB 135,ambiguous_session,9,2026,protect residents from increased utility costs and utility shortages caused by data centers and clarify authority to regulate data centers.,Signed into law,2026-03-30,executive-signature: Signed by the Governor on 2026-03-30 S.J. 549,Approved,2026-03-30,https://openstates.org/sd/bills/2026/SB135/,South Dakota (moratorium/incentive defeat),2026-02-24
opp_c4d2b92dc5bc,IN,HB 1245,ambiguous_session,10,2026,IURC study of data centers.,Introduced,2026-01-05,"introduction: First reading: referred to Committee on Utilities, Energy and Telecommunications",Pending,2026-01-05,https://openstates.org/in/bills/2026/HB1245/,Indiana (statewide rally/moratorium push),2026-02-24
opp_021c2c472697,WV,HB 2014,matched,4,2025,Certified Microgrid Program,Signed into law,2025-04-12,executive-signature: Approved by Governor 4/30/2025 - Senate Journal,Approved,2025-07-30,https://openstates.org/wv/bills/2025/HB2014/,Berkeley County,2026-02-26
opp_f92916918afc,MO,HB 3362,matched,1,2026,Creates new provisions for industrial utility users,Introduced,2026-02-19,introduction: Introduced and Read First Time (H),Pending,2026-03-30,https://openstates.org/mo/bills/2026/HB3362/,Missouri (statewide legislation),2026-02-26
opp_f92916918afc,MO,HB 3364,matched,1,2026,Creates new provisions for industrial utility users,Introduced,2026-02-19,introduction: Introduced and Read First Time (H),Pending,2026-03-30,https://openstates.org/mo/bills/2026/HB3364/,Missouri (statewide legislation),2026-02-26
opp_760001b8a3c1,MO,HB 3362,matched,1,2026,Creates new provisions for industrial utility users,Introduced,2026-02-19,introduction: Introduced and Read First Time (H),Pending,2026-03-30,https://openstates.org/mo/bills/2026/HB3362/,Missouri (AI Infrastructure Act),2026-02-26
