bill_key,state,identifier,title,title_truncated,session,stage,stage_date,lookup_status,openstates_url,reach,reach_basis,reach_evidence,instrument,instrument_basis,direction,stance_eligible,in_frame_via,incident_id,flags
AK:HB 259,AK,HB 259,An Act relating to large energy use facilities; relating to electric and gas utilities; relating to community benefit agreements with municipalities; and relati,1,34,Introduced,2026-01-20,matched,https://openstates.org/ak/bills/34/HB259/,large_load_class,title_class_term,large energy use,unclassified,,unclassified,1,Mandate renewable energy for data center operations in AK,opp_b670d873b817,title_truncated
AK:SB 250,AK,SB 250,An Act relating to data centers; and relating to utility service for data centers.,0,34,Passed one chamber,2026-05-16,matched,https://openstates.org/ak/bills/34/SB250/,data_center_specific,title_term,data center,unclassified,,unclassified,1,Mandate renewable energy for data center operations in AK,opp_b670d873b817,
AL:HB 399,AL,HB 399,"Tax abatements for data processing centers, exemption period limited, collection of certain taxes on purchases required, sunset date extended",0,2026rs,Signed into law,2026-04-17,ambiguous_session,https://openstates.org/al/bills/2026rs/HB399/,sector_vehicle,incident_corroborated:taxation,taxation,unclassified,,unclassified,0,Limit data center tax abatements to 20 years and require 100MW+ sales tax payments (HB 399),opp_77773af2c60a,
AL:SB 265,AL,SB 265,,0,,,,http_429,,unestablished,title_unavailable,,unclassified,,unclassified,0,Limit data center tax abatements to 20 years and require 100MW+ sales tax payments (HB 399),opp_77773af2c60a,
AL:SB 270,AL,SB 270,Electric Utilities; review by Public Service Commission of certain contracts with large load data centers further provided for,0,2026rs,Signed into law,2026-04-17,ambiguous_session,https://openstates.org/al/bills/2026rs/SB270/,data_center_specific,title_term,data center,unclassified,,unclassified,1,Shield ratepayers from data center costs via SB270,opp_f5dab8062f21,
AL:SB 354,AL,SB 354,,0,,,,http_429,,unestablished,title_unavailable,,moratorium_prohibition,incident_objective,unclassified,0,Impose one-year moratorium on large-scale solar facilities tied to data center expansion in Alabama,opp_946200962f07,
AZ:HB 2452,AZ,HB 2452,comprehensive plans; data centers; nuclear,0,57th-2nd-regular,Failed floor vote,2026-02-25,ambiguous_session,https://openstates.org/az/bills/57th-2nd-regular/HB2452/,data_center_specific,title_term,data center,ratepayer_cost_allocation,incident_objective,restrictive,1,Require data centers to fund grid upgrades via HB 2756,opp_32a96eb7865e,
AZ:HB 2457,AZ,HB 2457,public utilities; plant construction; colocation,0,57th-2nd-regular,Failed floor vote,2026-02-25,ambiguous_session,https://openstates.org/az/bills/57th-2nd-regular/HB2457/,sector_vehicle,incident_corroborated:energy_utility,energy_utility,supply_enablement,title,unclassified,0,Require data centers to fund grid upgrades via HB 2756,opp_32a96eb7865e,
AZ:HB 2631,AZ,HB 2631,,0,,,,http_429,,unestablished,title_unavailable,,incentive_repeal,incident_objective,unclassified,0,Repeal Arizona data center transaction privilege and use tax exemptions,opp_19a4b2d5163e,
AZ:HB 2756,AZ,HB 2756,utilities; high load factor customers,0,57th-2nd-regular,Signed into law,2026-06-04,ambiguous_session,https://openstates.org/az/bills/57th-2nd-regular/HB2756/,large_load_class,title_class_term,high load factor,ratepayer_cost_allocation,incident_objective,restrictive,1,Require data centers to fund grid upgrades via HB 2756,opp_32a96eb7865e,
AZ:HB 2795,AZ,HB 2795,small modular reactors; zoning; approval,0,57th-2nd-regular,Failed floor vote,2026-04-08,ambiguous_session,https://openstates.org/az/bills/57th-2nd-regular/HB2795/,sector_vehicle,incident_corroborated:energy_utility,energy_utility,siting_zoning,title,unclassified,0,Allow SMR colocation with data centers in Arizona counties,opp_32a96eb7865e,
AZ:HB 4009,AZ,HB 4009,data centers; state lands; map,0,57th-2nd-regular,Failed floor vote,2026-02-26,matched,https://openstates.org/az/bills/57th-2nd-regular/HB4009/,data_center_specific,title_term,data center,ratepayer_cost_allocation,incident_objective,restrictive,1,Require data centers to fund grid upgrades via HB 2756,opp_32a96eb7865e,
AZ:SB 1463,AZ,SB 1463,data centers; tax relief; repeal..,0,57th-2nd-regular,Introduced,2026-01-29,ambiguous_session,https://openstates.org/az/bills/57th-2nd-regular/SB1463/,data_center_specific,title_term,data center,incentive_repeal,title,restrictive,1,Repeal Arizona data center tax exemption program via SB 1463,opp_706b1cd73daf,
CA:AB 1577,CA,AB 1577,Data centers: reporting.,0,20252026,Passed both chambers,2026-08-26,matched,https://openstates.org/ca/bills/20252026/AB1577/,data_center_specific,title_term,Data center,disclosure_reporting,title,disclosure,1,Require data center energy and water reports in CA,opp_968f4eba3c4e,
CA:AB 222,CA,AB 222,Data centers: power usage effectiveness: cost shifts.,0,20252026,Passed one chamber,2025-06-02,ambiguous_session,https://openstates.org/ca/bills/20252026/AB222/,data_center_specific,title_term,Data center,ratepayer_cost_allocation,title,restrictive,1,Mandate data center PUE and AI energy consumption reporting to California Energy Commission,opp_3a101d4c333b,
CA:AB 2619,CA,AB 2619,,0,,,,http_429,,unestablished,title_unavailable,,disclosure_reporting,incident_objective,unclassified,0,Mandate data center water usage disclosure in CA,opp_d574c87d8160,
CA:SB 1168,CA,SB 1168,Data centers: rate structures.,0,20252026,Withdrawn,2026-04-23,matched,https://openstates.org/ca/bills/20252026/SB1168/,data_center_specific,title_term,Data center,unclassified,,unclassified,1,Impose energy surcharges on data centers to fund rate relief,opp_4b66e43a0859,
CA:SB 57,CA,SB 57,Electrical corporations: data centers: report.,0,20252026,Signed into law,2025-10-11,ambiguous_session,https://openstates.org/ca/bills/20252026/SB57/,data_center_specific,title_term,data center,disclosure_reporting,title,disclosure,1,Prevent data center cost pass-through to residential rates in CA,opp_bbaf2eee64a2,
CA:SB 887,CA,SB 887,,0,,,,http_429,,unestablished,title_unavailable,,unclassified,,unclassified,0,Remove CEQA exemptions and mandate 100% zero-carbon electricity for data centers in California,opp_d0cbe42e9ced,
CA:SB 978,CA,SB 978,,0,,,,http_429,,unestablished,title_unavailable,,unclassified,,unclassified,0,Shield residential ratepayers from data center costs in CA,opp_07116373e586,
CO:HB 1030,CO,HB 1030,,0,,,,http_429,,unestablished,title_unavailable,,incentive_grant,incident_objective,unclassified,0,Offer 100% sales tax exemption for data centers investing $250M+ in Colorado,opp_a281e96ef800,
CO:HB 26,CO,HB 26,,0,,,,http_429,,unestablished,incident_names_another_bill,,unclassified,,unclassified,0,Ban data center development NDAs via SB 26,opp_39e08a527448,
CO:SB 24,CO,SB 24,,0,,,,http_429,,unestablished,incident_names_another_bill,,incentive_grant,incident_objective,unclassified,0,Offer 100% sales tax exemption for data centers investing $250M+ in Colorado,opp_a281e96ef800,
CO:SB 26,CO,SB 26,Weight for Vehicles with Child Restraint System,0,2026A,Signed into law,2026-04-20,matched,https://openstates.org/co/bills/2026A/SB26/,lookup_suspect,title_domain_incompatible,vehicles_transport,unclassified,,unclassified,0,Ban data center development NDAs via SB 26,opp_d9eaf5d58d8e,verify_bill_identity
CT:HB 5469,CT,HB 5469,,0,,,,http_429,,unestablished,title_unavailable,,unclassified,,unclassified,0,Codify bring-your-own-power mandate for data centers in Connecticut,opp_6f976138d90c,
CT:SB 245,CT,SB 245,AN ACT ELIMINATING CERTAIN TAX INCENTIVES FOR DATA CENTERS.,0,2026,Passed committee only,2026-03-17,ambiguous_session,https://openstates.org/ct/bills/2026/SB245/,data_center_specific,title_term,DATA CENTER,incentive_repeal,title,restrictive,1,Repeal data center tax exemptions in CT,opp_1e51e4931d42,
DC:HR 6984,DC,HR 6984,,0,,,,not_found,,unestablished,title_unavailable,,disclosure_reporting,incident_objective,unclassified,0,Require EPA quarterly water reporting and EIA biannual energy reporting from all US data centers,opp_f6da4fb2ee55,
DE:HB 233,DE,HB 233,AN ACT TO AMEND TITLE 30 OF THE DELAWARE CODE RELATING TO PERSONAL INCOME TAX.,0,152,Introduced,2023-06-16,matched,https://openstates.org/de/bills/152/HB233/,sector_vehicle,incident_corroborated:taxation,taxation,ratepayer_cost_allocation,incident_objective,unclassified,0,Limit ratepayer exposure to data center energy costs and require DE data centers to self-supply power,opp_323cf409c293,
