timestamp,model,n,n_positive,base_rate,brier,brier_baseline,brier_skill_score,ece,discrimination_ok,verdict,reason
2026-07-15T16:44:29Z,outcome_model,78,24,0.3077,0.1913,0.213,0.1022,0.1348,True,PROMOTE,"PASSED: ECE 0.135 <= 0.15, Brier skill 0.102 >= 0.05, discrimination ok"
2026-07-20T10:10:20Z,outcome_model,83,26,0.3133,0.1861,0.2151,0.1351,0.1265,True,PROMOTE,"PASSED: ECE 0.127 <= 0.15, Brier skill 0.135 >= 0.05, discrimination ok"
2026-07-23T21:13:42Z,outcome_model,85,26,0.3059,0.1872,0.2123,0.1183,0.1262,True,PROMOTE,"PASSED: ECE 0.126 <= 0.15, Brier skill 0.118 >= 0.05, discrimination ok"
2026-07-24T00:30:53Z,outcome_model,85,26,0.3059,0.1872,0.2123,0.1183,0.1262,True,PROMOTE,"PASSED: ECE 0.126 <= 0.15, Brier skill 0.118 >= 0.05, discrimination ok"
2026-07-27T10:42:41Z,outcome_model,85,26,0.3059,0.1872,0.2123,0.1183,0.1262,True,PROMOTE,"PASSED: ECE 0.126 <= 0.15, Brier skill 0.118 >= 0.05, discrimination ok"
2026-08-03T10:42:43Z,outcome_model,86,27,0.314,0.1733,0.2154,0.1954,0.1155,True,PROMOTE,"PASSED: ECE 0.115 <= 0.15, Brier skill 0.195 >= 0.05, discrimination ok"
2026-08-10T08:26:37Z,outcome_model,86,27,0.314,0.1733,0.2154,0.1954,0.1155,True,PROMOTE,"PASSED: ECE 0.115 <= 0.15, Brier skill 0.195 >= 0.05, discrimination ok"
2026-08-12T18:05:06Z,outcome_model,87,27,0.3103,0.165,0.214,0.2292,0.0853,True,PROMOTE,"PASSED: ECE 0.085 <= 0.15, Brier skill 0.229 >= 0.05, discrimination ok"
2026-08-17T07:52:37Z,outcome_model,88,27,0.3068,0.1776,0.2127,0.1651,0.1389,True,PROMOTE,"PASSED: ECE 0.139 <= 0.15, Brier skill 0.165 >= 0.05, discrimination ok"
2026-08-24T07:58:02Z,outcome_model,89,27,0.3034,0.1676,0.2113,0.2068,0.0726,True,PROMOTE,"PASSED: ECE 0.073 <= 0.15, Brier skill 0.207 >= 0.05, discrimination ok"
2026-08-31T14:52:14Z,outcome_model,89,27,0.3034,0.1677,0.2113,0.2063,0.0725,True,PROMOTE,"PASSED: ECE 0.073 <= 0.15, Brier skill 0.206 >= 0.05, discrimination ok"
2026-09-02T18:39:51Z,outcome_model,87,26,0.2989,0.162,0.2095,0.227,0.1103,True,PROMOTE,"PASSED: ECE 0.110 <= 0.15, Brier skill 0.227 >= 0.05, discrimination ok"
2026-09-02T21:48:19Z,outcome_model,87,26,0.2989,0.162,0.2095,0.227,0.1103,True,PROMOTE,"PASSED: ECE 0.110 <= 0.15, Brier skill 0.227 >= 0.05, discrimination ok"
