decided_at,state,county,census_status,date_enacted,decision,reason,confidence_tier,upstream_seen,batch_verdict,source
2026-09-21,AR,Carroll County,active,2026-06-16,hold,upstream verify tag,,206,batch_ok,"moratorium-nation:ar-carroll-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,AR,Union County,active,2026-06-30,hold,upstream verify tag,,206,batch_ok,"moratorium-nation:ar-union-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,CA,Imperial County,extended,2026-06-17,promote,,corroborated,206,batch_ok,"moratorium-nation:ca-imperial-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,CO,Archuleta County,active,2026-06-16,hold,upstream verify tag,,206,batch_ok,"moratorium-nation:co-archuleta-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,CO,Boulder County,active,2026-06-02,hold,upstream verify tag,,206,batch_ok,"moratorium-nation:co-boulder-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,CO,Delta County,active,2026-07-07,promote,,thin,206,batch_ok,"moratorium-nation:co-delta-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,CO,Jefferson County,active,2026-05-19,promote,,thin,206,batch_ok,"moratorium-nation:co-jefferson-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,FL,Citrus County,active,2026-05-26,promote,,corroborated,206,batch_ok,"moratorium-nation:fl-citrus-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,FL,Clay County,active,2026-06-23,promote,,corroborated,206,batch_ok,"moratorium-nation:fl-clay-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,FL,Hernando County,active,2026-06-23,promote,,thin,206,batch_ok,"moratorium-nation:fl-hernando-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,FL,Madison County,active,2026-07-22,hold,upstream verify tag,,206,batch_ok,"moratorium-nation:fl-madison-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,FL,Nassau County,active,2026-06-08,promote,,corroborated,206,batch_ok,"moratorium-nation:fl-nassau-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,FL,Palm Beach County,active,2026-07-07,hold,upstream verify tag,,206,batch_ok,"moratorium-nation:fl-palm-beach-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,FL,Pasco County,active,2026-07-14,hold,upstream verify tag,,206,batch_ok,"moratorium-nation:fl-pasco-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,FL,Santa Rosa County,active,2026-07-23,hold,upstream verify tag,,206,batch_ok,"moratorium-nation:fl-santa-rosa-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,FL,Sarasota County,active,2026-07-08,hold,upstream verify tag,,206,batch_ok,"moratorium-nation:fl-sarasota-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,GA,Augusta-Richmond County,extended,2026-06-02,hold,does not join county frame,,206,batch_ok,"moratorium-nation:ga-augusta-richmond-county-undated (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,GA,Camden County,active,2026-05,hold,upstream verify tag,,206,batch_ok,"moratorium-nation:ga-camden-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,GA,Carroll County,extended,2026-03-03,promote,,thin,206,batch_ok,"moratorium-nation:ga-carroll-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,GA,Cherokee County,active,2026-07-22,promote,,corroborated,206,batch_ok,"moratorium-nation:ga-cherokee-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,GA,Dougherty County,active,2026-07-21,promote,,corroborated,206,batch_ok,"moratorium-nation:ga-dougherty-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,GA,Gordon County,extended,,hold,no ISO date,,206,batch_ok,"moratorium-nation:ga-gordon-county-undated (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,GA,Hart County,active,2026-05-26,promote,,thin,206,batch_ok,"moratorium-nation:ga-hart-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,GA,Lee County,extended,,hold,no ISO date,,206,batch_ok,"moratorium-nation:ga-lee-county-undated (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,GA,Paulding County,active,2026-07-28,promote,,thin,206,batch_ok,"moratorium-nation:ga-paulding-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,GA,Rockdale County,extended,,hold,no ISO date,,206,batch_ok,"moratorium-nation:ga-rockdale-county-undated (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,GA,Stephens County,extended,,hold,no ISO date,,206,batch_ok,"moratorium-nation:ga-stephens-county-undated (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,IL,La Salle County,active,2026-06-08,hold,does not join county frame,,206,batch_ok,"moratorium-nation:il-la-salle-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,IN,Fayette County,active,2026-05-05,hold,upstream verify tag,,206,batch_ok,"moratorium-nation:in-fayette-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,IN,Miami County,active,2026-05-04,promote,,thin,206,batch_ok,"moratorium-nation:in-miami-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,IN,Warrick County,pending,,hold,"pending, not enacted",,206,batch_ok,"moratorium-nation:in-warrick-county-undated (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,IA,Audubon County,active,2026-05-05,promote,,thin,206,batch_ok,"moratorium-nation:ia-audubon-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,IA,Cedar County,active,2026-05-26,hold,upstream verify tag,,206,batch_ok,"moratorium-nation:ia-cedar-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,IA,Des Moines County,active,2026-05-19,promote,,thin,206,batch_ok,"moratorium-nation:ia-des-moines-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,IA,Dickinson County,active,2026-05-12,promote,,corroborated,206,batch_ok,"moratorium-nation:ia-dickinson-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,IA,Dubuque County,active,2026-05-26,promote,,corroborated,206,batch_ok,"moratorium-nation:ia-dubuque-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,IA,Ida County,active,2026-06-30,hold,upstream verify tag,,206,batch_ok,"moratorium-nation:ia-ida-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,IA,Lee County,active,2026-06-16,promote,,thin,206,batch_ok,"moratorium-nation:ia-lee-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,IA,Linn County,active,2026-07-01,promote,,corroborated,206,batch_ok,"moratorium-nation:ia-linn-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,IA,Madison County,active,2026-05,hold,upstream verify tag,,206,batch_ok,"moratorium-nation:ia-madison-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,IA,Palo Alto County,active,2026-07-08,promote,,thin,206,batch_ok,"moratorium-nation:ia-palo-alto-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,IA,Plymouth County,active,2026-06-16,promote,,thin,206,batch_ok,"moratorium-nation:ia-plymouth-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,IA,Sioux County,active,2026-06-16,promote,,thin,206,batch_ok,"moratorium-nation:ia-sioux-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,IA,Taylor County,active,2026-05-07,hold,upstream verify tag,,206,batch_ok,"moratorium-nation:ia-taylor-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,IA,Woodbury County,active,2026-06-23,promote,,corroborated,206,batch_ok,"moratorium-nation:ia-woodbury-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,KS,Geary County,active,2026-06-22,promote,,thin,206,batch_ok,"moratorium-nation:ks-geary-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,KS,Lyon County,active,2026-07-23,promote,,corroborated,206,batch_ok,"moratorium-nation:ks-lyon-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,KY,Bell County,active,2026-07-02,hold,upstream verify tag,,206,batch_ok,"moratorium-nation:ky-bell-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,KY,Boyle County,active,2026-06-09,promote,,thin,206,batch_ok,"moratorium-nation:ky-boyle-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,KY,Bullitt County,active,2026-07-21,hold,upstream verify tag,,206,batch_ok,"moratorium-nation:ky-bullitt-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,KY,Daviess County,active,2026-05-28,hold,upstream verify tag,,206,batch_ok,"moratorium-nation:ky-daviess-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,KY,Edmonson County,active,2026-06-08,promote,,thin,206,batch_ok,"moratorium-nation:ky-edmonson-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,KY,Mercer County Fiscal Court,pending,,hold,does not join county frame,,206,batch_ok,"moratorium-nation:ky-mercer-county-fiscal-court-undated (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,KY,Nelson County,active,2026-07-07,promote,,thin,206,batch_ok,"moratorium-nation:ky-nelson-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,LA,St. Charles Parish,replaced,,hold,no ISO date,,206,batch_ok,"moratorium-nation:la-st-charles-parish-undated (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,MD,Frederick County,active,2026-07-01,promote,,corroborated,206,batch_ok,"moratorium-nation:md-frederick-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,MD,Howard County,pending,2026-06-01,hold,"pending, not enacted",,206,batch_ok,"moratorium-nation:md-howard-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,MD,Montgomery County,active,2026-07-28,promote,,corroborated,206,batch_ok,"moratorium-nation:md-montgomery-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,MD,Washington County,active,2026-06-30,promote,,thin,206,batch_ok,"moratorium-nation:md-washington-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,MD,Worcester County,pending,2026-07-07,hold,"pending, not enacted",,206,batch_ok,"moratorium-nation:md-worcester-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,MI,Delta County,active,2026-07-21,hold,upstream verify tag,,206,batch_ok,"moratorium-nation:mi-delta-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,MI,Huron County,active,2026-05-27,hold,upstream verify tag,,206,batch_ok,"moratorium-nation:mi-huron-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,MN,Le Sueur County,active,2026-05-26,promote,,thin,206,batch_ok,"moratorium-nation:mn-le-sueur-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,MN,Wright County,active,2026-05-19,promote,,corroborated,206,batch_ok,"moratorium-nation:mn-wright-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,MO,Marion County,active,2026-06-15,hold,upstream verify tag,,206,batch_ok,"moratorium-nation:mo-marion-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,MO,Nodaway County,active,2026-07-21,promote,,thin,206,batch_ok,"moratorium-nation:mo-nodaway-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,MO,St. Charles County,active,2026-07-13,promote,,corroborated,206,batch_ok,"moratorium-nation:mo-st-charles-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,MO,Webster County,active,2026-06-16,promote,,thin,206,batch_ok,"moratorium-nation:mo-webster-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,MT,Missoula County,active,2026-07-09,promote,,corroborated,206,batch_ok,"moratorium-nation:mt-missoula-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,NE,Cherry County,active,2026-07-14,promote,,thin,206,batch_ok,"moratorium-nation:ne-cherry-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,NE,Logan County,active,2026-07-15,promote,,corroborated,206,batch_ok,"moratorium-nation:ne-logan-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
