incident,state,date,near_block,block_date
Fairfax County,VA,2024-09-10,Fauquier County (Catlett Station),2024-07-15
Oliver County,ND,2024-12-12,Morton County,2024-09-01
North Dakota (HB 1579),ND,2025-01-01,Morton County,2024-09-01
Minnesota (statewide moratorium proposal),MN,2026-02-20,City of Eagan,2026-02-17
Reno (Moratorium Rejection),NV,2025-02-05,Reno,2025-01-22
Loudoun County,VA,2025-03-01,Fauquier County (Catlett Station),2024-07-15
Town of Burns Harbor,IN,2025-05-05,Town of Chesterton,2024-06-01
Reno (StoneGate Rezoning),NV,2025-05-21,Reno,2025-01-22
Commercial Point / Scioto Township (Pickaway County),OH,2026-03-01,Ashville (Pickaway County),2026-02-02
City of Johnson City,TN,2026-05-22,City of Bristol,2025-10-07
Town of Warrenton,VA,2025-07-08,Fauquier County (Catlett Station),2024-07-15
Monrovia (Morgan County),IN,2025-07-01,Hancock County,2025-06-01
New Jersey (statewide),NJ,2026-04-08,Conshohocken / Plymouth Township,2025-10-01
St. Charles (Permanent Ban),MO,2026-05-19,St. Louis,2026-04-21
Bessemer,AL,2026-07-13,Birmingham,2026-03-03
Lebanon (Boone County),IN,2025-08-01,Hancock County,2025-06-01
Statesville,NC,2025-09-08,Matthews,2025-09-01
St. Louis,MO,2026-04-21,Pacific,2026-02-25
Griffin (Spalding County),GA,2026-01-13,Social Circle,2025-09-18
Franklin Township (Indianapolis),IN,2025-09-22,Hancock County,2025-06-01
City of South Fulton,GA,2025-09-22,Social Circle,2025-09-18
Village of Yorkville,WI,2025-12-08,Village of Caledonia,2025-10-09
Jones County,GA,2025-10-22,Social Circle,2025-09-18
City of Trenton,OH,2026-03-30,Preble County,2025-10-01
Mason County,KY,2026-03-27,Mt. Orab,2026-02-04
Plainfield,IN,2025-10-01,Hancock County,2025-06-01
Lordstown,OH,2025-10-01,Perry Township,2025-07-01
Cleveland / Brook Park,OH,2025-10-01,Perry Township,2025-07-01
Saline Township,MI,2025-10-01,Middleton Township,2025-04-01
Milan (Augusta Township),MI,2025-10-01,Middleton Township,2025-04-01
Temple,TX,2026-04-21,Hutto,2026-04-17
Gordon County,GA,2026-02-04,Roswell,2026-01-12
Dundee Township,MI,2025-10-02,Middleton Township,2025-04-01
Fredonia/Saukville,WI,2025-10-10,Village of Caledonia,2025-10-09
Pine Island,MN,2025-10-16,Hampton,2025-08-01
New Jersey (A5462 Conditional Veto),NJ,2026-01-21,Conshohocken / Plymouth Township,2025-10-01
Putnam County,IN,2025-11-01,Franklin Township (Indianapolis),2025-09-22
Foristell,MO,2026-03-16,Pacific,2026-02-25
York County,SC,2026-07-13,Spartanburg County (NorthMark/Project Spero),2026-02-27
Kokomo (Howard County),IN,2025-11-01,Hancock County,2025-06-01
Lyon County (Silver Springs),NV,2025-11-01,Reno,2025-01-22
Jonesborough,TN,2025-11-03,City of Bristol,2025-10-07
Farmington,MN,2025-11-07,Hampton,2025-08-01
Barberton,OH,2025-11-10,Norton,2025-11-03
City of Hamilton,OH,2025-11-12,Preble County,2025-10-01
Montana (statewide),MT,2025-11-18,Montana (SB 212),2025-04-17
Sullivan County,TN,2025-11-20,City of Bristol,2025-10-07
Marshall County,IN,2026-04-20,Starke County,2025-12-04
Wilmington,OH,2025-11-26,Preble County,2025-10-01
Monroe County,GA,2025-12-01,Social Circle,2025-09-18
Athens-Clarke County,GA,2026-04-09,Social Circle,2025-09-18
Edgecombe County,NC,2026-07-14,"Northampton County Commissioners, NC",2026-05-04
Decatur Township (Indianapolis),IN,2026-04-20,Hancock County,2025-06-01
Kenosha,WI,2025-12-01,Village of Caledonia,2025-10-09
Newport News,VA,2025-12-01,Charles City County,2025-08-01
Moorestown,NJ,2025-10-31,Conshohocken / Plymouth Township,2025-10-01
Monroe Township (Gloucester County),NJ,2026-04-08,Conshohocken / Plymouth Township,2025-10-01
Green Charter Township,MI,2025-12-09,Big Rapids Township,2025-12-01
St. Joseph County,IN,2025-12-10,Starke County,2025-12-04
Coweta County,GA,2026-06-16,Griffin (Spalding County),2026-01-13
DeKalb County,GA,2026-06-09,Griffin (Spalding County),2026-01-13
Waterville Township,OH,2025-12-17,Middleton Township,2025-04-01
South Bloomfield,OH,2025-12-19,Washington Township,2025-12-08
