fips,neighbor_fips,shared_edges
01001,01021,3
01001,01047,2
01001,01051,1
01001,01085,2
01001,01101,1
01003,01025,2
01003,01053,2
01003,01097,5
01003,01099,1
01003,01129,2
01003,12033,26
01005,01011,3
01005,01045,1
01005,01067,3
01005,01109,2
01005,01113,3
01005,13061,3
01005,13239,7
01005,13259,2
01007,01021,2
01007,01065,2
01007,01073,1
01007,01105,3
01007,01117,2
01007,01125,5
01009,01043,7
01009,01055,3
01009,01073,2
01009,01095,1
01009,01115,3
01009,01127,3
01011,01005,3
01011,01087,2
01011,01101,2
01011,01109,5
01011,01113,2
01013,01035,3
01013,01039,2
01013,01041,3
01013,01085,1
01013,01099,1
01013,01131,2
01015,01019,2
01015,01029,4
01015,01055,11
01015,01115,4
01015,01121,4
01017,01081,2
01017,01111,1
01017,01123,1
01017,13145,3
01017,13285,3
01019,01015,2
01019,01029,1
01019,01049,3
01019,01055,1
01019,13055,5
01019,13115,5
01019,13233,1
01021,01001,3
01021,01007,2
01021,01037,3
01021,01047,2
01021,01051,2
01021,01105,1
01021,01117,3
01023,01025,3
01023,01091,4
01023,01119,1
01023,01129,1
01023,28023,7
01023,28075,1
01023,28153,3
01025,01003,2
01025,01023,3
01025,01091,2
01025,01099,7
01025,01129,8
01025,01131,3
01027,01029,4
01027,01037,1
01027,01111,1
01027,01121,8
01027,01123,2
01029,01015,4
01029,01019,1
01029,01027,4
01029,01111,1
01029,01121,2
01029,13045,5
01029,13143,3
01029,13233,1
01031,01039,2
01031,01041,3
01031,01045,1
01031,01061,1
01031,01109,1
01033,01059,1
01033,01077,4
01033,01079,2
01033,28141,4
01035,01013,3
01035,01039,2
01035,01053,3
01035,01099,4
01037,01021,3
01037,01027,1
01037,01051,4
01037,01117,1
01037,01121,2
01037,01123,1
01039,01013,2
01039,01031,2
01039,01035,2
01039,01041,5
01039,01053,1
01039,01061,1
01039,12091,11
01039,12131,6
01041,01013,3
01041,01031,3
01041,01039,5
01041,01085,1
01041,01101,3
01041,01109,3
01043,01009,7
01043,01079,1
01043,01095,1
01043,01103,2
01043,01127,2
01043,01133,2
01045,01005,1
01045,01031,1
01045,01061,1
01045,01067,1
01045,01069,3
01045,01109,2
01047,01001,2
01047,01021,2
01047,01085,4
01047,01091,1
01047,01105,4
01047,01131,3
01049,01019,3
01049,01055,1
01049,01071,3
01049,01095,2
01049,13055,3
01049,13083,5
01049,13295,1
01051,01001,1
01051,01021,2
01051,01037,4
01051,01087,2
01051,01101,3
01051,01123,2
01053,01003,2
01053,01035,3
01053,01039,1
01053,01099,1
01053,12033,31
01053,12091,4
01053,12113,13
01055,01009,3
01055,01015,11
01055,01019,1
01055,01049,1
01055,01095,2
01055,01115,2
01057,01075,1
01057,01093,1
01057,01107,2
01057,01125,3
01057,01127,5
01059,01033,1
01059,01079,1
