fips,county_name,state,median_hh_income,population,pop_density_sqmi,pct_bachelors_plus,margin_2024,margin_2016,existing_dc_count,dc_presence,n_opposition_events,n_moratorium_events,n_zoning_events,n_legislation_events,n_lawsuit_events,n_enacted_restrictive,has_enacted_restrictive,land_sqmi,state_legislation_events,n_projects_tracked,n_projects_opposed,n_decided,n_blocked_confirmed,n_advanced_confirmed,n_restricted_conditional,median_days_to_decision
01001,"Autauga County, Alabama",AL,69841.0,59285.0,99.73,28.28,-0.4628,-0.4948,0,0,0,0,0,0,0,0,0,594.455,4,0,0,0,0,0,0,
01003,"Baldwin County, Alabama",AL,75019.0,239945.0,150.92,32.8,-0.5818,-0.5779,0,0,1,0,0,1,0,0,0,1589.863,4,0,0,0,0,0,0,
01005,"Barbour County, Alabama",AL,44290.0,24757.0,27.97,11.46,-0.1473,-0.0561,0,0,0,0,0,0,0,0,0,885.008,4,0,0,0,0,0,0,
01007,"Bibb County, Alabama",AL,51215.0,22152.0,35.59,11.47,-0.6442,-0.5554,0,0,0,0,0,0,0,0,0,622.47,4,0,0,0,0,0,0,
01009,"Blount County, Alabama",AL,61096.0,59292.0,91.94,15.58,-0.8102,-0.8138,0,0,0,0,0,0,0,0,0,644.891,4,0,0,0,0,0,0,
01011,"Bullock County, Alabama",AL,36723.0,10157.0,16.31,9.0,0.4584,0.5086,0,0,0,0,0,0,0,0,0,622.815,4,0,0,0,0,0,0,
01013,"Butler County, Alabama",AL,44881.0,18807.0,24.21,13.76,-0.2269,-0.1353,0,0,0,0,0,0,0,0,0,776.839,4,0,0,0,0,0,0,
01015,"Calhoun County, Alabama",AL,55826.0,116141.0,191.69,20.55,-0.4475,-0.4138,0,0,0,0,0,0,0,0,0,605.89,4,0,0,0,0,0,0,
01017,"Chambers County, Alabama",AL,49295.0,34450.0,57.75,14.59,-0.2325,-0.1481,0,0,0,0,0,0,0,0,0,596.554,4,0,0,0,0,0,0,
01019,"Cherokee County, Alabama",AL,50769.0,25224.0,45.57,15.95,-0.7552,-0.6936,0,0,0,0,0,0,0,0,0,553.524,4,0,0,0,0,0,0,
01021,"Chilton County, Alabama",AL,61873.0,45500.0,65.67,15.25,-0.7209,-0.6661,0,0,0,0,0,0,0,0,0,692.837,4,0,0,0,0,0,0,
01023,"Choctaw County, Alabama",AL,44483.0,12525.0,13.71,13.91,-0.2389,-0.1366,0,0,0,0,0,0,0,0,0,913.479,4,0,0,0,0,0,0,
01025,"Clarke County, Alabama",AL,49167.0,22802.0,18.41,15.43,-0.1706,-0.108,0,0,0,0,0,0,0,0,0,1238.42,4,0,0,0,0,0,0,
01027,"Clay County, Alabama",AL,51852.0,14188.0,23.49,15.24,-0.7016,-0.608,0,0,0,0,0,0,0,0,0,603.962,4,0,0,0,0,0,0,
01029,"Cleburne County, Alabama",AL,53319.0,15254.0,27.23,18.21,-0.8358,-0.7737,0,0,0,0,0,0,0,0,0,560.105,4,0,0,0,0,0,0,
01031,"Coffee County, Alabama",AL,64672.0,54231.0,79.87,21.53,-0.579,-0.567,0,0,0,0,0,0,0,0,0,678.986,4,0,0,0,0,0,0,
01033,"Colbert County, Alabama",AL,56736.0,57648.0,97.22,20.27,-0.4643,-0.3826,0,0,0,0,0,0,0,0,0,592.953,4,0,0,0,0,0,0,
01035,"Conecuh County, Alabama",AL,42266.0,11411.0,13.42,13.13,-0.1395,-0.0526,0,0,0,0,0,0,0,0,0,850.279,4,0,0,0,0,0,0,
01037,"Coosa County, Alabama",AL,57063.0,10323.0,15.86,14.87,-0.4331,-0.3056,0,0,0,0,0,0,0,0,0,650.909,4,0,0,0,0,0,0,
01039,"Covington County, Alabama",AL,50886.0,37647.0,36.53,17.18,-0.7242,-0.6855,0,0,0,0,0,0,0,0,0,1030.571,4,0,0,0,0,0,0,
01041,"Crenshaw County, Alabama",AL,49040.0,13144.0,21.59,16.81,-0.5468,-0.4555,0,0,0,0,0,0,0,0,0,608.865,4,0,0,0,0,0,0,
01043,"Cullman County, Alabama",AL,60916.0,89463.0,121.76,19.09,-0.8052,-0.778,0,0,1,1,0,0,0,1,1,734.739,4,0,0,0,0,0,0,
01045,"Dale County, Alabama",AL,53955.0,49516.0,88.25,19.33,-0.5231,-0.5044,0,0,0,0,0,0,0,0,0,561.113,4,0,0,0,0,0,0,
01047,"Dallas County, Alabama",AL,36810.0,37536.0,38.35,17.01,0.325,0.376,0,0,0,0,0,0,0,0,0,978.738,4,0,0,0,0,0,0,
01049,"DeKalb County, Alabama",AL,51149.0,71946.0,92.59,13.88,-0.7394,-0.6937,0,0,0,0,0,0,0,0,0,777.077,4,0,0,0,0,0,0,
01051,"Elmore County, Alabama",AL,75553.0,88669.0,143.36,24.39,-0.5206,-0.5198,0,1,0,0,0,0,0,0,0,618.516,4,1,0,0,0,0,0,
01053,"Escambia County, Alabama",AL,44447.0,36695.0,38.81,12.49,-0.4635,-0.3671,0,0,0,0,0,0,0,0,0,945.408,4,0,0,0,0,0,0,
01055,"Etowah County, Alabama",AL,53070.0,103208.0,192.87,17.48,-0.5568,-0.501,0,0,0,0,0,0,0,0,0,535.105,4,0,0,0,0,0,0,
01057,"Fayette County, Alabama",AL,50733.0,16173.0,25.77,15.6,-0.72,-0.6524,0,0,0,0,0,0,0,0,0,627.684,4,0,0,0,0,0,0,
01059,"Franklin County, Alabama",AL,51493.0,31978.0,50.44,14.89,-0.7327,-0.608,0,0,0,0,0,0,0,0,0,633.959,4,0,0,0,0,0,0,
01061,"Geneva County, Alabama",AL,50951.0,26726.0,46.52,13.32,-0.7698,-0.7243,0,0,0,0,0,0,0,0,0,574.485,4,0,0,0,0,0,0,
