fips,county_name,median_hh_income,population,land_sqmi,pop_density_sqmi,pct_bachelors_plus,acs_vintage,source
01001,"Autauga County, Alabama",69841,59285,594.455,99.73,28.28,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
01003,"Baldwin County, Alabama",75019,239945,1589.863,150.92,32.8,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
01005,"Barbour County, Alabama",44290,24757,885.008,27.97,11.46,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
01007,"Bibb County, Alabama",51215,22152,622.47,35.59,11.47,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
01009,"Blount County, Alabama",61096,59292,644.891,91.94,15.58,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
01011,"Bullock County, Alabama",36723,10157,622.815,16.31,9.0,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
01013,"Butler County, Alabama",44881,18807,776.839,24.21,13.76,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
01015,"Calhoun County, Alabama",55826,116141,605.89,191.69,20.55,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
01017,"Chambers County, Alabama",49295,34450,596.554,57.75,14.59,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
01019,"Cherokee County, Alabama",50769,25224,553.524,45.57,15.95,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
01021,"Chilton County, Alabama",61873,45500,692.837,65.67,15.25,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
01023,"Choctaw County, Alabama",44483,12525,913.479,13.71,13.91,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
01025,"Clarke County, Alabama",49167,22802,1238.42,18.41,15.43,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
01027,"Clay County, Alabama",51852,14188,603.962,23.49,15.24,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
01029,"Cleburne County, Alabama",53319,15254,560.105,27.23,18.21,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
01031,"Coffee County, Alabama",64672,54231,678.986,79.87,21.53,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
01033,"Colbert County, Alabama",56736,57648,592.953,97.22,20.27,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
01035,"Conecuh County, Alabama",42266,11411,850.279,13.42,13.13,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
01037,"Coosa County, Alabama",57063,10323,650.909,15.86,14.87,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
01039,"Covington County, Alabama",50886,37647,1030.571,36.53,17.18,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
01041,"Crenshaw County, Alabama",49040,13144,608.865,21.59,16.81,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
01043,"Cullman County, Alabama",60916,89463,734.739,121.76,19.09,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
01045,"Dale County, Alabama",53955,49516,561.113,88.25,19.33,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
01047,"Dallas County, Alabama",36810,37536,978.738,38.35,17.01,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
01049,"DeKalb County, Alabama",51149,71946,777.077,92.59,13.88,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
01051,"Elmore County, Alabama",75553,88669,618.516,143.36,24.39,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
01053,"Escambia County, Alabama",44447,36695,945.408,38.81,12.49,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
01055,"Etowah County, Alabama",53070,103208,535.105,192.87,17.48,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
01057,"Fayette County, Alabama",50733,16173,627.684,25.77,15.6,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
01059,"Franklin County, Alabama",51493,31978,633.959,50.44,14.89,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
01061,"Geneva County, Alabama",50951,26726,574.485,46.52,13.32,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
01063,"Greene County, Alabama",31495,7589,647.023,11.73,12.48,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
01065,"Hale County, Alabama",41325,14749,643.99,22.9,16.77,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
01067,"Henry County, Alabama",60135,17450,561.892,31.06,21.68,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
01069,"Houston County, Alabama",57531,107628,579.826,185.62,22.77,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
01071,"Jackson County, Alabama",49454,52839,1078.015,49.02,15.55,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
01073,"Jefferson County, Alabama",64589,669744,1111.54,602.54,35.94,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
01075,"Lamar County, Alabama",47447,13809,604.846,22.83,11.59,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
01077,"Lauderdale County, Alabama",59082,95037,668.018,142.27,27.08,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
01079,"Lawrence County, Alabama",60040,33182,690.684,48.04,15.62,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
01081,"Lee County, Alabama",61123,177663,607.545,292.43,41.33,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
01083,"Limestone County, Alabama",83534,107577,563.404,190.94,30.39,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
01085,"Lowndes County, Alabama",35160,10008,716.085,13.98,13.87,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
01087,"Macon County, Alabama",45951,18951,608.665,31.14,20.74,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
01089,"Madison County, Alabama",83528,397135,801.602,495.43,45.69,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
01091,"Marengo County, Alabama",44205,19027,976.898,19.48,20.41,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
01093,"Marion County, Alabama",50714,29190,742.342,39.32,12.83,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
01095,"Marshall County, Alabama",60946,98712,565.845,174.45,21.33,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
01097,"Mobile County, Alabama",58119,413162,1229.374,336.08,25.15,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
01099,"Monroe County, Alabama",40225,19580,1025.669,19.09,11.36,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
01101,"Montgomery County, Alabama",58153,227197,785.355,289.29,34.27,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
01103,"Morgan County, Alabama",64858,123742,579.669,213.47,23.24,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
01105,"Perry County, Alabama",34368,8231,719.67,11.44,16.85,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
01107,"Pickens County, Alabama",47014,18843,881.408,21.38,13.75,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
01109,"Pike County, Alabama",47961,32953,672.067,49.03,27.32,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
01111,"Randolph County, Alabama",51551,22310,580.55,38.43,20.52,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
01113,"Russell County, Alabama",50046,58858,641.182,91.8,16.85,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
01115,"St. Clair County, Alabama",78993,92903,631.57,147.1,19.94,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
01117,"Shelby County, Alabama",93543,226955,785.441,288.95,46.2,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
01119,"Sumter County, Alabama",37981,12020,903.826,13.3,19.03,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
01121,"Talladega County, Alabama",56249,81170,736.817,110.16,16.82,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
01123,"Tallapoosa County, Alabama",57185,41070,716.528,57.32,18.73,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
01125,"Tuscaloosa County, Alabama",63947,234036,1320.848,177.19,31.38,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
01127,"Walker County, Alabama",54509,64886,791.03,82.03,16.0,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
01129,"Washington County, Alabama",60503,15270,1080.255,14.14,16.2,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
01131,"Wilcox County, Alabama",42236,10347,887.858,11.65,12.34,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
01133,"Winston County, Alabama",48032,23637,612.998,38.56,13.37,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
02013,"Aleutians East Borough, Alaska",72692,3423,6986.254,0.49,18.14,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
02016,"Aleutians West Census Area, Alaska",107344,5178,4393.026,1.18,17.52,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
02020,"Anchorage Municipality, Alaska",98152,289069,1707.004,169.34,37.68,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
02050,"Bethel Census Area, Alaska",70616,18487,40638.578,0.45,10.39,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
02060,"Bristol Bay Borough, Alaska",100625,878,481.952,1.82,25.14,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
02063,"Chugach Census Area, Alaska",88565,6964,9530.193,0.73,29.58,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
02066,"Copper River Census Area, Alaska",75053,2626,24692.42,0.11,28.35,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
02068,"Denali Borough, Alaska",88935,2029,12641.049,0.16,23.63,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
02070,"Dillingham Census Area, Alaska",74250,4780,18333.994,0.26,19.35,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
02090,"Fairbanks North Star Borough, Alaska",84722,95555,7334.752,13.03,33.71,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
02100,"Haines Borough, Alaska",72607,2077,2343.605,0.89,36.94,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
02105,"Hoonah-Angoon Census Area, Alaska",62500,2313,6559.711,0.35,23.3,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
02110,"Juneau City and Borough, Alaska",100513,31969,2704.203,11.82,40.46,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
02122,"Kenai Peninsula Borough, Alaska",77722,59843,16017.53,3.74,29.39,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
02130,"Ketchikan Gateway Borough, Alaska",89155,13870,4857.02,2.86,26.97,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
02150,"Kodiak Island Borough, Alaska",83716,12878,6689.481,1.93,28.61,ACS5 2023 (2019-2023),api.census.gov acs/acs5 + 2023 Gazetteer
