project_id,name,state,county_original,county_resolved,fips,method,confidence,note
prj_14,Stak Energy Center,Alaska,,"North Slope Borough, Alaska",02185,census_reverse,high,
prj_15,Prudhoe Bay Data Center,Alaska,,"North Slope Borough, Alaska",02185,census_reverse,high,
prj_23,NE Edge Groton Data Center,Connecticut,New London County,"Southeastern Connecticut Planning Region, Connecticut",09180,census_reverse,high,"lookup returned 09011, which is not in the current county universe; treated as unresolved"
prj_24,Wallingford Data Center,Connecticut,New Haven County,"South Central Connecticut Planning Region, Connecticut",09170,census_reverse,high,"lookup returned 09009, which is not in the current county universe; treated as unresolved"
prj_25,Bloomfield Data Center Proposal,Connecticut,Hartford County,"Capitol Planning Region, Connecticut",09110,census_reverse,high,"lookup returned 09003, which is not in the current county universe; treated as unresolved"
prj_26,Trumbull Data Center Investment,Connecticut,Fairfield County,"Greater Bridgeport Planning Region, Connecticut",09120,census_reverse,high,"lookup returned 09001, which is not in the current county universe; treated as unresolved"
prj_27,Bristol Technology Center,Connecticut,Hartford County,"Naugatuck Valley Planning Region, Connecticut",09140,census_reverse,high,"lookup returned 09003, which is not in the current county universe; treated as unresolved"
prj_35,Martindale Indianapolis Metrobloks Data Center,Indiana,Marlon County,"Marion County, Indiana",18097,census_reverse,high,
prj_42,Project Maize,Indiana,La Porte County,"LaPorte County, Indiana",18091,lookup_normalized,high,
prj_123,xAI MACROHARDRR,Mississippi,BDeSoto County,"DeSoto County, Mississippi",28033,census_reverse,high,
prj_178,Natelli Investments New Hill Digital Campus,North Carolina,,"Wake County, North Carolina",37183,census_reverse,high,
prj_189,Microsoft — Catawba County Campus Cluster (Lyle Creek / Boyd Farm / Hickory / Stover North),North Carolina,,"Catawba County, North Carolina",37035,name_extract,medium,
prj_279,Tobyhanna Township / Blakeslee Data Center,Pennsylvania,alleMonroe County,"Monroe County, Pennsylvania",42089,census_reverse,high,
