fips,calibrated_score,has_enacted_restrictive,va_p_lower,va_p_upper,va_width,set_90,set_80,covered_90,covered_80
01001,0.0859,0,0.0743,0.1765,0.1022,none_supported,none_supported,1,1
01003,0.1328,0,0.1707,0.2589,0.0882,none_supported,none_supported,1,1
01005,0.0663,0,0.0234,0.0833,0.0599,none_supported,none_supported,1,1
01007,0.0501,0,0.0106,0.0721,0.0615,none_supported,none_supported,1,1
01009,0.0739,0,0.0661,0.1212,0.0551,none_supported,none_supported,1,1
01011,0.0607,0,0.0234,0.0769,0.0535,none_supported,none_supported,1,1
01013,0.0579,0,0.0234,0.0761,0.0527,none_supported,none_supported,1,1
01015,0.1153,0,0.1304,0.2589,0.1285,none_supported,none_supported,1,1
01017,0.0781,0,0.0465,0.1224,0.0759,none_supported,none_supported,1,1
01019,0.0524,0,0.0106,0.0721,0.0615,none_supported,none_supported,1,1
01021,0.0724,0,0.0465,0.0833,0.0368,none_supported,none_supported,1,1
01023,0.046,0,0.0106,0.0721,0.0615,none_supported,none_supported,1,1
01025,0.058,0,0.0234,0.0787,0.0553,none_supported,none_supported,1,1
01027,0.0388,0,0.0106,0.0718,0.0611,none_supported,none_supported,1,1
01029,0.0415,0,0.0082,0.0708,0.0626,none_supported,none_supported,1,1
01031,0.0813,0,0.0743,0.125,0.0507,none_supported,none_supported,1,1
01033,0.0892,0,0.0743,0.1731,0.0988,none_supported,none_supported,1,1
01035,0.0466,0,0.0106,0.0721,0.0615,none_supported,none_supported,1,1
01037,0.0407,0,0.0,0.0571,0.0571,none_supported,none_supported,1,1
01039,0.0601,0,0.0234,0.08,0.0566,none_supported,none_supported,1,1
01041,0.042,0,0.0106,0.0721,0.0615,none_supported,none_supported,1,1
01043,0.0915,1,0.0743,0.1765,0.1022,none_supported,none_supported,0,0
01045,0.0811,0,0.0743,0.125,0.0507,none_supported,none_supported,1,1
01047,0.0973,0,0.0743,0.1591,0.0848,none_supported,none_supported,1,1
01049,0.0812,0,0.0743,0.1667,0.0924,none_supported,none_supported,1,1
01051,0.3077,0,0.1735,0.5294,0.3559,none_supported,atypical,1,0
01053,0.0662,0,0.0234,0.0833,0.0599,none_supported,none_supported,1,1
01055,0.1142,0,0.0889,0.1875,0.0986,none_supported,none_supported,1,1
01057,0.0434,0,0.0106,0.0721,0.0615,none_supported,none_supported,1,1
01059,0.0608,0,0.0234,0.08,0.0566,none_supported,none_supported,1,1
01061,0.0563,0,0.0106,0.0721,0.0615,none_supported,none_supported,1,1
01063,0.0502,0,0.0234,0.0761,0.0527,none_supported,none_supported,1,1
01065,0.0569,0,0.0234,0.0761,0.0527,none_supported,none_supported,1,1
01067,0.0508,0,0.0106,0.0721,0.0615,none_supported,none_supported,1,1
01069,0.1284,0,0.1667,0.2589,0.0923,none_supported,none_supported,1,1
01071,0.0945,0,0.0743,0.1765,0.1022,none_supported,none_supported,1,1
01073,0.6822,1,0.3333,1.0,0.6667,enacted_supported,atypical,1,0
01075,0.0425,0,0.0082,0.0588,0.0506,none_supported,none_supported,1,1
01077,0.1031,0,0.0743,0.1786,0.1043,none_supported,none_supported,1,1
01079,0.0599,0,0.0234,0.08,0.0566,none_supported,none_supported,1,1
01081,0.3792,0,0.2623,0.5652,0.3029,none_supported,atypical,1,0
01083,0.1168,0,0.1304,0.2589,0.1285,none_supported,none_supported,1,1
01085,0.1772,0,0.1714,0.2787,0.1073,none_supported,none_supported,1,1
01087,0.0806,0,0.0234,0.15,0.1266,none_supported,none_supported,1,1
01089,0.2799,0,0.2,0.4,0.2,none_supported,atypical,1,0
01091,0.0575,0,0.0234,0.0778,0.0544,none_supported,none_supported,1,1
01093,0.0536,0,0.0106,0.0721,0.0615,none_supported,none_supported,1,1
01095,0.0979,0,0.0743,0.1765,0.1022,none_supported,none_supported,1,1
01097,0.506,0,0.2647,0.5652,0.3005,none_supported,atypical,1,0
01099,0.0561,0,0.0234,0.0744,0.051,none_supported,none_supported,1,1
01101,0.6964,0,0.3333,0.8,0.4667,enacted_supported,atypical,0,0
01103,0.1144,0,0.1304,0.2589,0.1285,none_supported,none_supported,1,1
01105,0.0509,0,0.0234,0.0761,0.0527,none_supported,none_supported,1,1
01107,0.057,0,0.0234,0.0744,0.051,none_supported,none_supported,1,1
01109,0.0745,0,0.0465,0.1176,0.0711,none_supported,none_supported,1,1
01111,0.0557,0,0.0106,0.0721,0.0615,none_supported,none_supported,1,1
01113,0.105,0,0.0743,0.2195,0.1452,none_supported,none_supported,1,1
01115,0.0953,0,0.0743,0.1765,0.1022,none_supported,none_supported,1,1
01117,0.4213,1,0.2623,0.5652,0.3029,none_supported,atypical,0,0
01119,0.0559,0,0.0234,0.0854,0.062,none_supported,none_supported,1,1
01121,0.2946,0,0.1735,0.5294,0.3559,none_supported,atypical,1,0
01123,0.0758,0,0.0465,0.1139,0.0674,none_supported,none_supported,1,1
01125,0.1598,0,0.1714,0.2589,0.0875,none_supported,none_supported,1,1
01127,0.0842,0,0.0743,0.125,0.0507,none_supported,none_supported,1,1
01129,0.0435,0,0.0106,0.0721,0.0615,none_supported,none_supported,1,1
01131,0.0551,0,0.0234,0.0761,0.0527,none_supported,none_supported,1,1
01133,0.0533,0,0.0106,0.0721,0.0615,none_supported,none_supported,1,1
02013,0.0226,0,0.0,0.0208,0.0208,none_supported,none_supported,1,1
02016,0.0287,0,0.0,0.0341,0.0341,none_supported,none_supported,1,1
02020,0.1972,1,0.1714,0.2787,0.1073,none_supported,atypical,0,0
02050,0.0319,0,0.0,0.039,0.039,none_supported,none_supported,1,1
02060,0.0139,0,0.0,0.0187,0.0187,none_supported,none_supported,1,1
02063,0.0224,0,0.0,0.0256,0.0256,none_supported,none_supported,1,1
02066,0.0122,0,0.0,0.0187,0.0187,none_supported,none_supported,1,1
02068,0.0095,0,0.0,0.0187,0.0187,none_supported,none_supported,1,1
02070,0.0184,0,0.0,0.0187,0.0187,none_supported,none_supported,1,1
02090,0.0784,0,0.0743,0.1212,0.0469,none_supported,none_supported,1,1
02100,0.0167,0,0.0,0.0187,0.0187,none_supported,none_supported,1,1
02105,0.0143,0,0.0,0.0187,0.0187,none_supported,none_supported,1,1
02110,0.0561,0,0.0234,0.0744,0.051,none_supported,none_supported,1,1
02122,0.0646,0,0.0234,0.08,0.0566,none_supported,none_supported,1,1
02130,0.0352,0,0.0,0.05,0.05,none_supported,none_supported,1,1
02150,0.0359,0,0.0,0.039,0.039,none_supported,none_supported,1,1
02158,0.0209,0,0.0,0.026,0.026,none_supported,none_supported,1,1
02164,0.0083,0,0.0,0.0184,0.0184,none_supported,none_supported,1,1
02170,0.0768,0,0.0465,0.1,0.0535,none_supported,none_supported,1,1
02180,0.0275,0,0.0,0.0294,0.0294,none_supported,none_supported,1,1
02185,0.0214,0,0.0,0.0238,0.0238,none_supported,none_supported,1,1
02188,0.0193,0,0.0,0.0208,0.0208,none_supported,none_supported,1,1
02195,0.0188,0,0.0,0.0196,0.0196,none_supported,none_supported,1,1
02198,0.0244,0,0.0,0.0253,0.0253,none_supported,none_supported,1,1
