state,county,census_instrument,census_status,census_episodes,census_statuses,census_date,census_source,tracker_mechanism,tracker_outcome,tracker_date,model_label,join_status,gap_class,label_check,label_false_negative
CO,Larimer County,moratorium,extended,1,extended,2026-01-27,"moratorium-nation:co-larimer-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",moratorium,pending,2026-01-27,1,joined,covered_unconfirmed,agree,0
CO,Logan County,moratorium,replaced,1,replaced,2025-10-21,"moratorium-nation:co-logan-county-2025 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",moratorium,blocked_unverified,2025-10-21,1,joined,covered_unconfirmed,agree,0
GA,Athens-Clarke County,moratorium,replaced,1,replaced,2025-12-02,"moratorium-nation:ga-athens-clarke-county-2025 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",moratorium,blocked_confirmed,2026-04-09,1,joined,covered_confirmed,agree,0
GA,Brooks County,moratorium,active,1,active,2026-02-02,"moratorium-nation:ga-brooks-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",moratorium,blocked_unverified,2026-02-02,1,joined,covered_unconfirmed,agree,0
GA,Bulloch County,moratorium,active,1,active,2026-02-17,"moratorium-nation:ga-bulloch-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",ban,blocked_confirmed,2026-05-05,1,joined,covered_confirmed,agree,0
GA,Clayton County,moratorium,extended,1,extended,2025-09-03,"moratorium-nation:ga-clayton-county-2025 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",moratorium,blocked_unverified,2025-09-01,1,joined,covered_unconfirmed,agree,0
GA,Cobb County,moratorium,active,1,active,2026-02-24,"moratorium-nation:ga-cobb-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",moratorium,pending,2026-02-24,1,joined,covered_unconfirmed,agree,0
GA,Coweta County,moratorium,replaced,1,replaced,2025-05,"moratorium-nation:ga-coweta-county-2025 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",moratorium,mixed,2026-06-16,1,joined,covered_unconfirmed,agree,0
GA,DeKalb County,moratorium,extended,1,extended,2025-06-25,"moratorium-nation:ga-dekalb-county-2025 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",moratorium,blocked_confirmed,2026-06-09,1,joined,covered_confirmed,agree,0
GA,Decatur County,moratorium,active,1,active,2026-04-14,"moratorium-nation:ga-decatur-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",moratorium,blocked_unverified,2026-04-14,1,joined,covered_unconfirmed,agree,0
GA,Douglas County,moratorium,expired,1,expired,2025,"moratorium-nation:ga-douglas-county-2025 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",moratorium,mixed,2025-10-22,1,joined,covered_unconfirmed,agree,0
GA,Hall County,moratorium,active,1,active,2026-02-26,"moratorium-nation:ga-hall-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",moratorium,pending,2026-02-26,1,joined,covered_unconfirmed,agree,0
GA,Jones County,moratorium,rescinded,1,rescinded,2025-09-16,"moratorium-nation:ga-jones-county-2025 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",moratorium,blocked_confirmed,2025-10-22,1,joined,census_pending_out_of_scope,out_of_scope,0
GA,Lamar County,moratorium,active,1,active,2025-09,"moratorium-nation:ga-lamar-county-2025 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",moratorium,blocked_unverified,2025-09-01,1,joined,covered_unconfirmed,agree,0
GA,Monroe County,moratorium,expired,1,expired,2025-12-02,"moratorium-nation:ga-monroe-county-2025 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",moratorium,blocked_confirmed,2025-12-01,1,joined,covered_confirmed,agree,0
GA,Newton County,moratorium,extended,1,extended,2026-02-17,"moratorium-nation:ga-newton-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",moratorium,blocked_confirmed,2026-01-20,1,joined,covered_confirmed,agree,0
GA,Pike County,moratorium,active,1,active,2025-09,"moratorium-nation:ga-pike-county-2025 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",moratorium,blocked_unverified,2025-09-01,1,joined,covered_unconfirmed,agree,0
GA,Polk County,moratorium,active,1,active,2026-03-03,"moratorium-nation:ga-polk-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",moratorium,blocked_unverified,2026-03-03,1,joined,covered_unconfirmed,agree,0
GA,Thomas County,moratorium,active,1,active,2026-01-20,"moratorium-nation:ga-thomas-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",moratorium,blocked_confirmed,2026-01-20,1,joined,covered_confirmed,agree,0
GA,Troup County,moratorium,expired,1,expired,2025-09-16,"moratorium-nation:ga-troup-county-2025 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",moratorium,pending,2025-11-26,1,joined,covered_unconfirmed,agree,0
IA,Adair County,moratorium,active,1,active,2026-03-18,"moratorium-nation:ia-adair-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",conditional_zoning,pending,2024-04-24,1,joined,covered_unconfirmed,agree,0
