state,county,instrument,census_status,date_enacted,source
CO,Larimer County,moratorium,extended,2026-01-27,"moratorium-nation:co-larimer-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
CO,Logan County,moratorium,replaced,2025-10-21,"moratorium-nation:co-logan-county-2025 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
GA,Athens-Clarke County,moratorium,replaced,2025-12-02,"moratorium-nation:ga-athens-clarke-county-2025 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
GA,Brooks County,moratorium,active,2026-02-02,"moratorium-nation:ga-brooks-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
GA,Bulloch County,moratorium,active,2026-02-17,"moratorium-nation:ga-bulloch-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
GA,Clayton County,moratorium,extended,2025-09-03,"moratorium-nation:ga-clayton-county-2025 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
GA,Cobb County,moratorium,active,2026-02-24,"moratorium-nation:ga-cobb-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
GA,Coweta County,moratorium,replaced,2025-05,"moratorium-nation:ga-coweta-county-2025 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
GA,DeKalb County,moratorium,extended,2025-06-25,"moratorium-nation:ga-dekalb-county-2025 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
GA,Decatur County,moratorium,active,2026-04-14,"moratorium-nation:ga-decatur-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
GA,Douglas County,moratorium,expired,2025,"moratorium-nation:ga-douglas-county-2025 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
GA,Hall County,moratorium,active,2026-02-26,"moratorium-nation:ga-hall-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
GA,Jones County,moratorium,rescinded,2025-09-16,"moratorium-nation:ga-jones-county-2025 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
GA,Lamar County,moratorium,active,2025-09,"moratorium-nation:ga-lamar-county-2025 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
GA,Monroe County,moratorium,expired,2025-12-02,"moratorium-nation:ga-monroe-county-2025 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
