state,county,instrument,census_status,date_enacted,source
AR,Carroll County,moratorium,active,2026-06-16,"moratorium-nation:ar-carroll-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
AR,Union County,moratorium,active,2026-06-30,"moratorium-nation:ar-union-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
CA,Imperial County,moratorium,extended,2026-06-17,"moratorium-nation:ca-imperial-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
CO,Archuleta County,moratorium,active,2026-06-16,"moratorium-nation:co-archuleta-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
CO,Boulder County,moratorium,active,2026-06-02,"moratorium-nation:co-boulder-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
CO,Delta County,moratorium,active,2026-07-07,"moratorium-nation:co-delta-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
CO,Jefferson County,moratorium,active,2026-05-19,"moratorium-nation:co-jefferson-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
FL,Citrus County,moratorium,active,2026-05-26,"moratorium-nation:fl-citrus-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
FL,Clay County,moratorium,active,2026-06-23,"moratorium-nation:fl-clay-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
FL,Hernando County,moratorium,active,2026-06-23,"moratorium-nation:fl-hernando-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
FL,Madison County,moratorium,active,2026-07-22,"moratorium-nation:fl-madison-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
FL,Nassau County,moratorium,active,2026-06-08,"moratorium-nation:fl-nassau-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
FL,Palm Beach County,moratorium,active,2026-07-07,"moratorium-nation:fl-palm-beach-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
FL,Pasco County,moratorium,active,2026-07-14,"moratorium-nation:fl-pasco-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
FL,Santa Rosa County,moratorium,active,2026-07-23,"moratorium-nation:fl-santa-rosa-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
FL,Sarasota County,moratorium,active,2026-07-08,"moratorium-nation:fl-sarasota-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
GA,Augusta-Richmond County,moratorium,extended,2026-06-02,"moratorium-nation:ga-augusta-richmond-county-undated (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
GA,Camden County,moratorium,active,2026-05,"moratorium-nation:ga-camden-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
GA,Carroll County,moratorium,extended,2026-03-03,"moratorium-nation:ga-carroll-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
GA,Cherokee County,moratorium,active,2026-07-22,"moratorium-nation:ga-cherokee-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
GA,Dougherty County,moratorium,active,2026-07-21,"moratorium-nation:ga-dougherty-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
GA,Gordon County,moratorium,extended,,"moratorium-nation:ga-gordon-county-undated (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
GA,Hart County,moratorium,active,2026-05-26,"moratorium-nation:ga-hart-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
GA,Lee County,moratorium,extended,,"moratorium-nation:ga-lee-county-undated (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
GA,Paulding County,moratorium,active,2026-07-28,"moratorium-nation:ga-paulding-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
GA,Rockdale County,moratorium,extended,,"moratorium-nation:ga-rockdale-county-undated (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
GA,Stephens County,moratorium,extended,,"moratorium-nation:ga-stephens-county-undated (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
