seen_date,facility_signal,title,domain,url,county,state,location_confidence,harvested_on
2026-08-26,announcement,Ken Paxton Unveils Plan to Prevent  Negative Impact  of AI Data Centers on Texas,breitbart.com,https://www.breitbart.com/politics/2026/08/25/ken-paxton-unveils-plan-to-prevent-negative-impact-of-ai-data-centers-on-texas/,Texas,,low,2026-08-27
2026-08-26,announcement,Ken Paxton Unveils Plan to Prevent  Negative Impact  of AI Data Centers on Texas,breitbart.com,https://www.breitbart.com/tech/2026/08/25/ken-paxton-unveils-plan-to-prevent-negative-impact-of-ai-data-centers-on-texas/,Texas,,low,2026-08-27
2026-08-26,expansion,"How Temple , Texas Is Tightening Rules On Data Center Expansion",mykiss1031.com,https://mykiss1031.com/ixp/514/p/temple-data-center-expansion-rules/,Texas,,low,2026-08-27
2026-08-26,expansion,"How Temple , Texas Is Tightening Rules On Data Center Expansion",kbat.com,https://kbat.com/ixp/514/p/temple-data-center-expansion-rules/,Texas,,low,2026-08-27
2026-08-26,expansion,"How Temple , Texas Is Tightening Rules On Data Center Expansion",us105fm.com,https://us105fm.com/temple-data-center-expansion-rules/,Texas,,low,2026-08-27
2026-08-26,expansion,"How Temple , Texas Is Tightening Rules On Data Center Expansion",b93.net,https://b93.net/ixp/514/p/temple-data-center-expansion-rules/,Texas,,low,2026-08-27
2026-08-26,expansion,"How Temple , Texas Is Tightening Rules On Data Center Expansion",myb106.com,https://myb106.com/ixp/514/p/temple-data-center-expansion-rules/,Texas,,low,2026-08-27
2026-08-25,operational,Loudoun County to host open houses on data center standards | Loudoun,insidenova.com,https://www.insidenova.com/news/loudoun/loudoun-county-to-host-open-houses-on-data-center-standards-in-september/article_af4d3a08-c23e-4afb-9303-488009edb1d1.html,Loudoun,VA,medium,2026-08-27
2026-08-24,announcement,Paxton Unveils Plan to Regulate Texas Data Centers,theepochtimes.com,https://www.theepochtimes.com/us/paxton-unveils-plan-to-regulate-texas-data-centers-6078967,Texas,,low,2026-08-27
2026-08-24,announcement,AG Ken Paxton Unveils Four - Point Texas Data Center Plan,klif.com,https://www.klif.com/2026/08/24/ag-ken-paxton-unveils-four-point-texas-data-center-plan/,Texas,,low,2026-08-27
