osm_type,osm_id,name,operator,state,county,lat,lon,signal,evidence_url,tags,seen_date
way,408012357,George C. Wallace Alabama Supercomputer Center,Alabama Supercomputer Authority,AL,,34.736540,-86.673102,operational,https://www.openstreetmap.org/way/408012357,"{""addr:city"": ""Huntsville"", ""addr:housenumber"": ""686"", ""addr:postcode"": ""35806"", ""addr:state"": ""AL"", ""addr:street"": ""Discovery Drive Northwest"", ""building"": ""government_office"", ""name"": ""George C. Wallace Alabama Supercomputer Center"", ""name:etymology:wikidata"": ""Q313776"", ""operator"": ""Alabama Supercomputer Authority"", ""telecom"": ""data_center""}",2026-09-06
way,626281456,AngelTrax Data Center,AngelTrax Mobile Video Surveillance Solutions,AL,,31.231899,-85.455834,operational,https://www.openstreetmap.org/way/626281456,"{""addr:city"": ""Dothan"", ""addr:housenumber"": ""118"", ""addr:postcode"": ""36305"", ""addr:state"": ""AL"", ""addr:street"": ""South Woodburn Drive"", ""building"": ""yes"", ""description"": ""Cloud based services data center for AngelTrax Mobile Video Surveillance Solutions."", ""image"": ""https://imgur.com/a/t7toVNS"", ""name"": ""AngelTrax Data Center"", ""operator"": ""AngelTrax Mobile Video Surveillance Solutions"", ""phone"": ""+1-334-692-4600"", ""telecom"": ""data_center"", ""website"": ""https://www.angeltrax.com/""}",2026-09-06
way,714889192,Google Jackson County Data Center,Google LLC,AL,,34.914665,-85.748372,operational,https://www.openstreetmap.org/way/714889192,"{""landuse"": ""industrial"", ""name"": ""Google Jackson County Data Center"", ""not:operator:wikidata"": ""Q95"", ""operator"": ""Google LLC"", ""start_date"": ""2018"", ""telecom"": ""data_center"", ""website"": ""https://www.google.com/about/datacenters/locations/jackson-county/""}",2026-09-06
way,836908998,Sungard Systems International,,AL,,33.404776,-86.911565,operational,https://www.openstreetmap.org/way/836908998,"{""landuse"": ""industrial"", ""name"": ""Sungard Systems International"", ""telecom"": ""data_center""}",2026-09-06
way,844371952,Google,Google,AL,,34.913667,-85.747422,operational,https://www.openstreetmap.org/way/844371952,"{""building"": ""data"", ""name"": ""Google"", ""operator"": ""Google"", ""operator:wikidata"": ""Q95"", ""telecom"": ""data_center""}",2026-09-06
way,844371953,Google,Google,AL,,34.913641,-85.745924,operational,https://www.openstreetmap.org/way/844371953,"{""building"": ""data"", ""name"": ""Google"", ""operator"": ""Google"", ""operator:wikidata"": ""Q95"", ""telecom"": ""data_center""}",2026-09-06
way,961071564,SimpleHelix,,AL,,34.745431,-86.691883,operational,https://www.openstreetmap.org/way/961071564,"{""addr:city"": ""Huntsville"", ""addr:housenumber"": ""165"", ""addr:postcode"": ""35806"", ""addr:state"": ""AL"", ""addr:street"": ""West Park Loop Northwest"", ""building"": ""yes"", ""name"": ""SimpleHelix"", ""source"": ""microsoft/BuildingFootprints"", ""telecom"": ""data_center"", ""website"": ""https://simplehelix.com/facility/""}",2026-09-06
way,1019816009,DC Blox Data Center,,AL,,33.500675,-86.820831,operational,https://www.openstreetmap.org/way/1019816009,"{""addr:city"": ""Birmingham"", ""addr:housenumber"": ""433"", ""addr:postcode"": ""35233"", ""addr:state"": ""AL"", ""addr:street"": ""6th Street South"", ""building"": ""data_center"", ""check_date"": ""2026-06-18"", ""name"": ""DC Blox Data Center"", ""phone"": ""+1 877-590-1684"", ""telecom"": ""data_center"", ""website"": ""https://www.dcblox.com/data-centers/birmingham/""}",2026-09-06
way,1160814413,Meta Huntsville Data center,Meta,AL,,34.847324,-86.626919,operational,https://www.openstreetmap.org/way/1160814413,"{""building"": ""industrial"", ""name"": ""Meta Huntsville Data center"", ""operator"": ""Meta"", ""operator:wikidata"": ""Q380"", ""telecom"": ""data_center""}",2026-09-06
way,1160814415,Meta Huntsville Data center,Meta,AL,,34.843482,-86.628856,operational,https://www.openstreetmap.org/way/1160814415,"{""building"": ""industrial"", ""name"": ""Meta Huntsville Data center"", ""operator"": ""Meta"", ""operator:wikidata"": ""Q380"", ""telecom"": ""data_center""}",2026-09-06
way,1160814416,Meta Huntsville Data center,Meta,AL,,34.840441,-86.628825,operational,https://www.openstreetmap.org/way/1160814416,"{""building"": ""industrial"", ""name"": ""Meta Huntsville Data center"", ""operator"": ""Meta"", ""operator:wikidata"": ""Q380"", ""telecom"": ""data_center""}",2026-09-06
way,1540172608,,,AL,,34.857615,-86.622169,operational,https://www.openstreetmap.org/way/1540172608,"{""building"": ""yes"", ""telecom"": ""data_center""}",2026-09-06
way,1540172612,,,AL,,34.851077,-86.626173,operational,https://www.openstreetmap.org/way/1540172612,"{""building"": ""yes"", ""telecom"": ""data_center""}",2026-09-06
way,388148510,TierPoint Little Rock,,AR,,34.756240,-92.444723,operational,https://www.openstreetmap.org/way/388148510,"{""building"": ""yes"", ""name"": ""TierPoint Little Rock"", ""telecom"": ""data_center"", ""website"": ""https://www.tierpoint.com/data-centers/arkansas/little-rock/""}",2026-09-06
way,1020721870,Searcy Information Technologies,City of Searcy,AR,,35.249216,-91.740906,operational,https://www.openstreetmap.org/way/1020721870,"{""addr:city"": ""Searcy"", ""addr:housenumber"": ""101"", ""addr:postcode"": ""72143"", ""addr:state"": ""AR"", ""addr:street"": ""North Elm Street"", ""building"": ""yes"", ""name"": ""Searcy Information Technologies"", ""operator"": ""City of Searcy"", ""telecom"": ""data_center""}",2026-09-06
node,7557854384,OptimumHQ,,AZ,,33.380415,-111.752668,operational,https://www.openstreetmap.org/node/7557854384,"{""addr:city"": ""Mesa"", ""addr:housenumber"": ""1955"", ""addr:postcode"": ""85206"", ""addr:state"": ""AZ"", ""addr:street"": ""South Val Vista Drive"", ""name"": ""OptimumHQ"", ""source"": ""esri/USA_NAD_Addresses"", ""telecom"": ""data_center""}",2026-09-06
node,7557868585,The Chatfield Group,,AZ,,33.380601,-111.752889,operational,https://www.openstreetmap.org/node/7557868585,"{""addr:city"": ""Mesa"", ""addr:housenumber"": ""1955"", ""addr:postcode"": ""85206"", ""addr:state"": ""AZ"", ""addr:street"": ""South Val Vista Drive"", ""name"": ""The Chatfield Group"", ""source"": ""esri/USA_NAD_Addresses"", ""telecom"": ""data_center""}",2026-09-06
node,7578821329,All About Serving Process Server,,AZ,,33.319916,-111.809686,operational,https://www.openstreetmap.org/node/7578821329,"{""addr:city"": ""Chandler"", ""addr:housenumber"": ""1909"", ""addr:postcode"": ""85225"", ""addr:state"": ""AZ"", ""addr:street"": ""East Ray Road"", ""name"": ""All About Serving Process Server"", ""source"": ""esri/USA_NAD_Addresses"", ""telecom"": ""data_center""}",2026-09-06
node,7737996606,Emailage,,AZ,,33.302965,-111.840539,operational,https://www.openstreetmap.org/node/7737996606,"{""name"": ""Emailage"", ""telecom"": ""data_center""}",2026-09-06
node,7821940847,Alliance Technology,,AZ,,33.379986,-111.728405,operational,https://www.openstreetmap.org/node/7821940847,"{""addr:city"": ""Mesa"", ""addr:housenumber"": ""4850"", ""addr:postcode"": ""85206"", ""addr:state"": ""AZ"", ""addr:street"": ""East Baseline Road"", ""name"": ""Alliance Technology"", ""source"": ""esri/USA_NAD_Addresses"", ""telecom"": ""data_center""}",2026-09-06
node,10796113031,VaultLogix,,AZ,,33.627367,-111.901703,operational,https://www.openstreetmap.org/node/10796113031,"{""name"": ""VaultLogix"", ""telecom"": ""data_center""}",2026-09-06
node,10796113033,Profit Finder Pro Software,,AZ,,33.627248,-111.902048,operational,https://www.openstreetmap.org/node/10796113033,"{""name"": ""Profit Finder Pro Software"", ""telecom"": ""data_center""}",2026-09-06
node,10798644674,DataPro USA Web Development,,AZ,,33.611662,-111.913983,operational,https://www.openstreetmap.org/node/10798644674,"{""name"": ""DataPro USA Web Development"", ""telecom"": ""data_center""}",2026-09-06
node,10938672218,K-Motion Interactive,,AZ,,33.634484,-111.884346,operational,https://www.openstreetmap.org/node/10938672218,"{""name"": ""K-Motion Interactive"", ""telecom"": ""data_center""}",2026-09-06
node,11018926315,Iron Mountain Data Centers AZS-1,,AZ,,33.644666,-111.896098,operational,https://www.openstreetmap.org/node/11018926315,"{""name"": ""Iron Mountain Data Centers AZS-1"", ""telecom"": ""data_center""}",2026-09-06
node,11113161710,Accelera Data Systems,,AZ,,33.664746,-112.111714,operational,https://www.openstreetmap.org/node/11113161710,"{""name"": ""Accelera Data Systems"", ""telecom"": ""data_center""}",2026-09-06
node,11938614120,"Alembic Computer Services, Inc.",,AZ,,33.405131,-111.977335,operational,https://www.openstreetmap.org/node/11938614120,"{""name"": ""Alembic Computer Services, Inc."", ""telecom"": ""data_center""}",2026-09-06
node,11938631189,J-Curve Technologies,,AZ,,33.413186,-111.971154,operational,https://www.openstreetmap.org/node/11938631189,"{""name"": ""J-Curve Technologies"", ""telecom"": ""data_center""}",2026-09-06
