facility_id,cluster_id,source_id,name,operator,state,county,lat,lon,sqft,capacity_mw,status,evidence_url,first_seen,last_seen
fac_6a0d4c4eff,clu_6a0d4c4eff,epoch_frontier,Stream Phoenix,,,,33.4484,-112.074,,0.0,operating,"- [Official page for the data center.](https://www.streamdatacenters.com/locations/phoenix/)
- [Official pre-construction planning document.](https://www.streamdatacenters.com/wp-content/uploads/2026/01/SDC-Goodyear-CaseStudy-251218.pdf)",2026-08-26,2026-08-26
fac_fd859e71a3,clu_fd859e71a3,epoch_frontier,Microsoft Goodyear,Microsoft #confident,AZ,,33.4089905,-112.3647996,,263.0,operating,"- [Maricopa County map](https://gis.maricopa.gov/aqd/recordsviewer/#) showing PHX-10 and PHX-11 buildings owned by Microsoft
- [Dust control permit](https://edms.maricopa.gov/aq/api/Document/AQizTh7Ek3Odb1UYnAFQc%C3%81Z0k59aCsu4%C3%890gw6xcPqnhTfYtG7scD%C3%89BewWyX4qdzXFk%C3%81xL9%C3%89VthN71ODAxZuKKeU%3D/) for project titled ""MICROSOFT CORPORATION PHX10-11 DATA CENTER OFFSITE IMPROVEMENTS""
- [SemiAnalysis article](https://newsletter.semianalysis.com/p/microsofts-ai-strategy-deconstructed) that includes similar estimates and associates the data center with OpenAI",2026-08-26,2026-08-26
fac_89101602b0,clu_89101602b0,epoch_frontier,Vantage TX1,,AZ,,32.8998,-97.0403,,44.8,operating,"- [Construction Permitting for TX11](https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024007561)
- [Construction Permitting for TX12](https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026001234)
- [Air quality permitting that references TX13](https://drive.google.com/file/d/1rbF-RT5Sq-iZ26hK5cKzbM2K4Vq2vObY/view?usp=sharing)",2026-08-26,2026-08-26
fac_4a8972a47f,clu_4a8972a47f,osti_im3_atlas,AngelTrax Data Center,AngelTrax Mobile Video Surveillance Solutions,Alabama,Houston County,31.231904196338384,-85.45584883805839,10736.0,,operating,,2026-08-26,2026-08-26
fac_1144629a16,clu_1144629a16,osti_im3_atlas,George C. Wallace Alabama Supercomputer Center,Alabama Supercomputer Authority,Alabama,Madison County,34.73654090277783,-86.67309882783594,14919.0,,operating,,2026-08-26,2026-08-26
fac_68350c4386,clu_68350c4386,osti_im3_atlas,Google,Google,Alabama,Jackson County,34.9136919358168,-85.74742813692481,144996.0,,operating,,2026-08-26,2026-08-26
fac_f6a2f747d9,clu_68350c4386,osti_im3_atlas,Google,Google,Alabama,Jackson County,34.91367641738197,-85.74593535678355,141947.0,,operating,,2026-08-26,2026-08-26
fac_78c2474b68,clu_68350c4386,osti_im3_atlas,Google Jackson County Data Center,Google LLC,Alabama,Jackson County,34.914333709146234,-85.74826082398661,7582142.0,,operating,,2026-08-26,2026-08-26
fac_09d4faf419,clu_09d4faf419,osti_im3_atlas,Meta Huntsville Data Center,Meta,Alabama,Madison County,34.84424467802452,-86.62831680386925,14435561.0,,operating,,2026-08-26,2026-08-26
fac_2e93fa7476,clu_09d4faf419,osti_im3_atlas,Meta Huntsville Data center,Meta,Alabama,Madison County,34.84043160671047,-86.62884123942305,857148.0,,operating,,2026-08-26,2026-08-26
fac_762f2746d1,clu_09d4faf419,osti_im3_atlas,Meta Huntsville Data center,Meta,Alabama,Madison County,34.843182229068525,-86.62886566493462,352651.0,,operating,,2026-08-26,2026-08-26
fac_d5bbe26203,clu_09d4faf419,osti_im3_atlas,Meta Huntsville Data center,Meta,Alabama,Madison County,34.847333791994075,-86.6269185980179,578342.0,,operating,,2026-08-26,2026-08-26
fac_3358b46e2c,clu_3358b46e2c,osti_im3_atlas,SimpleHelix,,Alabama,Madison County,34.7454310001572,-86.69188299975418,16411.0,,operating,,2026-08-26,2026-08-26
fac_229a5cd892,clu_229a5cd892,osti_im3_atlas,Sungard Systems International,,Alabama,Jefferson County,33.40471562419184,-86.91145719083487,665569.0,,operating,,2026-08-26,2026-08-26
fac_85685bbd9a,clu_85685bbd9a,osti_im3_atlas,AZ Labs,,Arizona,Maricopa County,33.30627197658142,-111.67170030901956,31625.0,,operating,,2026-08-26,2026-08-26
fac_804eb1c3ba,clu_804eb1c3ba,osti_im3_atlas,Accelera Data Systems,,Arizona,Maricopa County,33.664745499999945,-112.1117142,0.0,,operating,,2026-08-26,2026-08-26
fac_503b8d81cd,clu_503b8d81cd,osti_im3_atlas,"Alembic Computer Services, Inc.",,Arizona,Maricopa County,33.40513069999998,-111.9773353,0.0,,operating,,2026-08-26,2026-08-26
fac_c6e58120d9,clu_c6e58120d9,osti_im3_atlas,Aligned Energy Data Center,,Arizona,Maricopa County,33.65904093265778,-112.11116815143932,512814.0,,operating,,2026-08-26,2026-08-26
fac_7e3eb8a205,clu_7e3eb8a205,osti_im3_atlas,All About Serving Process Server,,Arizona,Maricopa County,33.31991570000004,-111.809686,0.0,,operating,,2026-08-26,2026-08-26
fac_41e2de04be,clu_41e2de04be,osti_im3_atlas,Alliance Technology,,Arizona,Maricopa County,33.37998619999999,-111.728405,0.0,,operating,,2026-08-26,2026-08-26
fac_71443d8b9e,clu_71443d8b9e,osti_im3_atlas,Apple Data Center,Apple Inc.,Arizona,Maricopa County,33.34701915860399,-111.60405623426205,1338261.0,,operating,,2026-08-26,2026-08-26
fac_c88c34c03b,clu_71443d8b9e,osti_im3_atlas,Apple Mesa Data Center,Apple,Arizona,Maricopa County,33.34679827603292,-111.60431805940924,3983906.0,,operating,,2026-08-26,2026-08-26
fac_cdf7c54c62,clu_cdf7c54c62,osti_im3_atlas,Centersquare: Phoenix - (PHX1 - Mesa),Centersquare,Arizona,Maricopa County,33.421284262350255,-111.85899423023751,57992.0,,operating,,2026-08-26,2026-08-26
fac_17a8c96ecc,clu_17a8c96ecc,osti_im3_atlas,Cogent Data Center,"Cogent Communications, Inc.",Arizona,Maricopa County,33.400255234990105,-112.04789988122732,51675.0,,operating,,2026-08-26,2026-08-26
fac_a30a3b24a4,clu_a30a3b24a4,osti_im3_atlas,Comarch,,Arizona,Maricopa County,33.35667870000003,-111.6352356,0.0,,operating,,2026-08-26,2026-08-26
fac_7373e8c4c9,clu_24196bc455,osti_im3_atlas,CyrusOne PHX1,CyrusOne,Arizona,Maricopa County,33.27085532906607,-111.88191152923802,137355.0,,operating,,2026-08-26,2026-08-26
fac_6a378db743,clu_24196bc455,osti_im3_atlas,CyrusOne PHX3,,Arizona,Maricopa County,33.27196805840212,-111.88162712790565,107618.0,,operating,,2026-08-26,2026-08-26
fac_b69ecaaec1,clu_24196bc455,osti_im3_atlas,CyrusOne PHX4,CyrusOne,Arizona,Maricopa County,33.2687661963882,-111.88251618115731,103008.0,,operating,,2026-08-26,2026-08-26
