state,county,instrument,date,data_source,action,reason
NC,Cherokee County,moratorium,,coverage_audit_worklist,held,"no usable date: a dateless row is held out of the clean feed as incomplete, stranding the label"
NC,Cherokee County,moratorium,,coverage_audit_worklist,held,"no usable date: a dateless row is held out of the clean feed as incomplete, stranding the label"
NC,Cherokee County,moratorium,,coverage_audit_worklist,held,"no usable date: a dateless row is held out of the clean feed as incomplete, stranding the label"
NC,Cherokee County,moratorium,,coverage_audit_worklist,held,"no usable date: a dateless row is held out of the clean feed as incomplete, stranding the label"
NC,Cherokee County,moratorium,,coverage_audit_worklist,held,"no usable date: a dateless row is held out of the clean feed as incomplete, stranding the label"
CO,Delta County,moratorium,2026-07-07,moratorium_nation_ingest,promoted,
CO,Jefferson County,moratorium,2026-05-19,moratorium_nation_ingest,promoted,
GA,Hart County,moratorium,2026-05-26,moratorium_nation_ingest,promoted,
GA,Paulding County,moratorium,2026-07-28,moratorium_nation_ingest,promoted,
IN,Miami County,moratorium,2026-05-04,moratorium_nation_ingest,promoted,
IA,Audubon County,moratorium,2026-05-05,moratorium_nation_ingest,promoted,
IA,Des Moines County,moratorium,2026-05-19,moratorium_nation_ingest,promoted,
IA,Lee County,moratorium,2026-06-16,moratorium_nation_ingest,promoted,
IA,Palo Alto County,moratorium,2026-07-08,moratorium_nation_ingest,promoted,
IA,Plymouth County,moratorium,2026-06-16,moratorium_nation_ingest,promoted,
IA,Sioux County,moratorium,2026-06-16,moratorium_nation_ingest,promoted,
KS,Geary County,moratorium,2026-06-22,moratorium_nation_ingest,promoted,
KY,Boyle County,moratorium,2026-06-09,moratorium_nation_ingest,promoted,
KY,Edmonson County,moratorium,2026-06-08,moratorium_nation_ingest,promoted,
KY,Nelson County,moratorium,2026-07-07,moratorium_nation_ingest,promoted,
MD,Washington County,moratorium,2026-06-30,moratorium_nation_ingest,promoted,
MN,Le Sueur County,moratorium,2026-05-26,moratorium_nation_ingest,promoted,
MO,Nodaway County,moratorium,2026-07-21,moratorium_nation_ingest,promoted,
MO,Webster County,moratorium,2026-06-16,moratorium_nation_ingest,promoted,
NE,Cherry County,moratorium,2026-07-14,moratorium_nation_ingest,promoted,
NV,Humboldt County,moratorium,2026-07-06,moratorium_nation_ingest,promoted,
NV,Nye County,moratorium,2026-06-02,moratorium_nation_ingest,promoted,
NC,Pasquotank County,moratorium,2026-05-18,moratorium_nation_ingest,promoted,
ND,Barnes County,moratorium,2026-05-19,moratorium_nation_ingest,promoted,
SC,Chesterfield County,moratorium,2026-06-01,moratorium_nation_ingest,promoted,
TN,Cumberland County,moratorium,2026-06-15,moratorium_nation_ingest,promoted,
UT,Wayne County,moratorium,2026-07-08,moratorium_nation_ingest,promoted,
WA,Skagit County,moratorium,2026-06-01,moratorium_nation_ingest,promoted,
WI,Green County,moratorium,2026-07-14,moratorium_nation_ingest,promoted,
WI,Monroe County,moratorium,2026-07-21,moratorium_nation_ingest,promoted,
