request_key,kind,fips,county_name,lat,lon,status
"rev:41.31040,-72.16759",reverse,09180,Southeastern Connecticut Planning Region,41.31039607,-72.16759273,ok
"rev:41.49794,-72.79220",reverse,09170,South Central Connecticut Planning Region,41.49793857,-72.79219892,ok
"rev:41.88592,-72.74416",reverse,09110,Capitol Planning Region,41.88592351,-72.74415945,ok
"rev:41.24086,-73.14738",reverse,09120,Greater Bridgeport Planning Region,41.24085718,-73.14738295,ok
"rev:41.66990,-72.93474",reverse,09140,Naugatuck Valley Planning Region,41.66989773,-72.93474147,ok
"rev:39.80391,-86.10003",reverse,18097,Marion County,39.80391442,-86.10002644,ok
"rev:35.65265,-78.95610",reverse,37183,Wake County,35.65264621,-78.95610019,ok
"fwd:unknown location, northern pennsylvania, pennsylvania",forward,,,,,no_match
"fwd:northern pennsylvania, pennsylvania",forward,,,,,no_match
"rev:69.90071,-148.81477",reverse,02185,North Slope Borough,69.9007143,-148.81477,ok
"rev:70.18478,-148.44000",reverse,02185,North Slope Borough,70.1847756,-148.44,ok
"rev:41.13227,-75.61027",reverse,42089,Monroe County,41.13227151,-75.61026733,ok
"rev:34.30650,-92.40450",reverse,05053,Grant County,34.3065,-92.4045,ok
