canonical_id,canonical_name,states,n_variants,n_incidents,variants,flags,n_flags,detail,client_safe
G0001,Michiganders Against Data Centers,MI,1,26,Michiganders Against Data Centers,,0,,1
G0002,Piedmont Environmental Council,VA,1,22,Piedmont Environmental Council,,0,,1
G0003,Sierra Club,CA; GA; IL; LA; NY; OR; TN; US; VA; WA; WV,1,21,Sierra Club,,0,,1
G0004,Earthjustice,CO; LA; MI; MS; MT; TN; TX; US,2,19,EarthJustice; Earthjustice,,0,,1
G0005,Virginia Data Center Reform Coalition,VA,1,18,Virginia Data Center Reform Coalition,,0,,1
G0006,Southern Environmental Law Center,AL; GA; MS; NC; SC; TN; VA,1,17,Southern Environmental Law Center,,0,,1
G0007,Citizens Action Coalition,IN,1,16,Citizens Action Coalition,,0,,1
G0008,Sierra Club Georgia Chapter,GA,1,16,Sierra Club Georgia Chapter,,0,,1
G0009,NAACP,AL; MS; TN,1,15,NAACP,,0,,1
G0010,SELC,TN,1,12,SELC,,0,,1
G0011,Food & Water Watch,MD; NJ; NY; OH; PA; US,1,11,Food & Water Watch,,0,,1
G0012,Great Lakes Neighbors United,WI,1,10,Great Lakes Neighbors United,,0,,1
G0013,Coalition Against Data Centers in South Ohio,OH,1,10,Coalition Against Data Centers in South Ohio,,0,,1
G0014,Stop Saline Data Center,MI,1,10,Stop Saline Data Center,,0,,1
G0015,Minnesota Center for Environmental Advocacy,MN,2,7,Minnesota Center for Environmental Advocacy; Minnesota Center for Environmental Advocacy (MCEA),,0,,1
G0016,Honor the Earth,MT; NY; OK,1,9,Honor the Earth,,0,,1
G0017,Young Gifted & Green,MS; TN,1,9,Young Gifted & Green,,0,,1
G0018,Rural Michigan Defense Fund,MI,1,9,Rural Michigan Defense Fund,,0,,1
G0019,Economic Development Responsibility Alliance of Michigan,MI,1,8,Economic Development Responsibility Alliance of Michigan,,0,,1
G0020,Better Path Coalition,PA,1,8,Better Path Coalition,,0,,1
G0021,Coalition to Protect Prince William County,VA,1,8,Coalition to Protect Prince William County,,0,,1
G0022,MCAP,TN,1,8,MCAP,,0,,1
G0023,Alliance for Affordable Energy,LA,1,7,Alliance for Affordable Energy,,0,,1
G0024,Union of Concerned Scientists,LA,1,7,Union of Concerned Scientists,,0,,1
G0025,NRDC,CO; DC; MI; US,1,7,NRDC,,0,,1
G0026,Montana Environmental Information Center,MT,2,6,Montana Environmental Information Center; Montana Environmental Information Center (MEIC),,0,,1
G0027,Economic Development Responsibility Alliance of Michigan (EDRA of MI),MI,1,6,Economic Development Responsibility Alliance of Michigan (EDRA of MI),,0,,1
G0028,Sierra Club Michigan,MI,1,6,Sierra Club Michigan,,0,,1
G0029,Sierra Club Delta Chapter,DE; LA,2,6,Sierra Club Delaware Chapter; Sierra Club Delta Chapter,cross_state_merge,1,'Sierra Club Delaware Chapter' and 'Sierra Club Delta Chapter' merged across DE; LA,0
G0030,Science for Georgia,GA,1,5,Science for Georgia,,0,,1
G0031,Columbia Riverkeeper,OR; WA,1,5,Columbia Riverkeeper,,0,,1
G0032,NW Energy Coalition,MT; WA,1,5,NW Energy Coalition,,0,,1
G0033,West Virginia Highlands Conservancy,WV,1,5,West Virginia Highlands Conservancy,,0,,1
G0034,Public Citizen Texas,TX,2,4,Public Citizen (Texas); Public Citizen Texas,degenerate_rate,1,n_incidents=4 below floor 5,0
G0035,Citizens for Fauquier County,VA,1,5,Citizens for Fauquier County,,0,,1
G0036,Protect Fauquier,VA,1,5,Protect Fauquier,,0,,1
G0037,FLX Strong,NY,1,5,FLX Strong,,0,,1
G0038,Party for Socialism and Liberation (PSL),GA; MD; WI,3,5,Party for Socialism and Liberation; Party for Socialism and Liberation (PSL); Party for Socialism and Liberation DC,cross_state_merge,1,'Party for Socialism and Liberation' and 'Party for Socialism and Liberation (PSL)' merged across GA; MD; WI,0
G0039,Citizens Utility Board of Michigan,MI,1,5,Citizens Utility Board of Michigan,,0,,1
G0040,Clean Wisconsin,WI,1,5,Clean Wisconsin,,0,,1
G0041,Concerned Citizens of Montour County,PA,1,5,Concerned Citizens of Montour County,,0,,1
G0042,Safe and Sound Coalition,MS,1,5,Safe and Sound Coalition,,0,,1
G0043,MountainTrue,NC,1,4,MountainTrue,degenerate_rate,1,n_incidents=4 below floor 5,0
G0044,Sierra Club Virginia Chapter,VA,1,4,Sierra Club Virginia Chapter,,0,,1
G0045,No Desert Data Center Coalition,AZ,2,3,No Desert Data Center; No Desert Data Center Coalition,suffix_merge; degenerate_rate,2,'No Desert Data Center' and 'No Desert Data Center Coalition' merge only once the form word is stripped; n_incidents=3 below floor 5,0
G0046,Coalition for Responsible Data Center Development,MN,1,4,Coalition for Responsible Data Center Development,degenerate_rate,1,n_incidents=4 below floor 5,0
G0047,NC Environmental Justice Network,NC,1,4,NC Environmental Justice Network,,0,,1
G0048,Big Sky 55+,MT,1,4,Big Sky 55+,,0,,1
G0049,Golden Triangle Resource Council,MT,1,4,Golden Triangle Resource Council,,0,,1
G0050,Protect Fredonia Coalition,WI,1,4,Protect Fredonia Coalition,degenerate_rate,1,n_incidents=4 below floor 5,0
G0051,Sustainable Finger Lakes,NY,1,4,Sustainable Finger Lakes,,0,,1
G0052,No Data Center FLX,NY,1,4,No Data Center FLX,,0,,1
G0053,Mason County residents,AL; KY; SC,4,4,Madison County residents; Marion County residents; Mason County residents; Simpson County residents,cross_state_merge; placeholder; degenerate_rate,3,"'Madison County residents' and 'Marion County residents' merged across AL; KY; SC; descriptive label, not a named organization; n_incidents=4 below floor 5",0
G0054,Center for Coalfield Justice,PA,1,4,Center for Coalfield Justice,,0,,1
G0055,Butte Watchdogs for Social and Environmental Justice,MT,1,4,Butte Watchdogs for Social and Environmental Justice,,0,,1
G0056,Climate Smart Missoula,MT,1,4,Climate Smart Missoula,,0,,1
G0057,Protect Pickaway Alliance,OH,1,4,Protect Pickaway Alliance,degenerate_rate,1,n_incidents=4 below floor 5,0
G0058,Wood County Residents Against Data Centers,KY; MN; NC; OH,4,4,Meade County Residents Against Data Centers; Nobles County Residents Against Data Centers; Rowan County Residents Against Data Centers; Wood County Residents Against Data Centers,cross_state_merge,1,'Meade County Residents Against Data Centers' and 'Nobles County Residents Against Data Centers' merged across KY; MN; NC; OH,0
G0059,Michigan Environmental Council,MI,1,4,Michigan Environmental Council,degenerate_rate,1,n_incidents=4 below floor 5,0
G0060,Alliance to Stop the Line,PA,1,4,Alliance to Stop the Line,,0,,1
G0061,Michigan Economic Development Responsibility Alliance,MI,1,4,Michigan Economic Development Responsibility Alliance,degenerate_rate,1,n_incidents=4 below floor 5,0
G0062,Sierra Club Wisconsin,WI,1,4,Sierra Club Wisconsin,degenerate_rate,1,n_incidents=4 below floor 5,0
G0063,Friends of the Columbia Gorge,OR,1,3,Friends of the Columbia Gorge,degenerate_rate,1,n_incidents=3 below floor 5,0
G0064,Tonawanda Seneca Nation,NY,1,3,Tonawanda Seneca Nation,,0,,1
G0065,Stop Data Colonialism,NY; OK,1,3,Stop Data Colonialism,degenerate_rate,1,n_incidents=3 below floor 5,0
G0066,Sierra Club Toiyabe Chapter,NV,1,3,Sierra Club Toiyabe Chapter,degenerate_rate,1,n_incidents=3 below floor 5,0
G0067,Arkansas Grass Roots United,AR,1,3,Arkansas Grass Roots United,degenerate_rate,1,n_incidents=3 below floor 5,0
G0068,Stop the Data Center,MI,1,3,Stop the Data Center,degenerate_rate,1,n_incidents=3 below floor 5,0
G0069,Oregon Citizens Utility Board,OR,3,2,Oregon Citizens Utility Board; Oregon Citizens Utility Board (CUB); Oregon Citizens' Utility Board (CUB),,0,,1
G0070,Missouri Coalition for the Environment,MO,1,3,Missouri Coalition for the Environment,degenerate_rate,1,n_incidents=3 below floor 5,0
G0071,Protect Augusta Charter Township (PACT),MI,1,3,Protect Augusta Charter Township (PACT),degenerate_rate,1,n_incidents=3 below floor 5,0
G0072,Protect Wake County Coalition,NC,1,3,Protect Wake County Coalition,degenerate_rate,1,n_incidents=3 below floor 5,0
G0073,Protect Our Aquifer,TN,1,3,Protect Our Aquifer,,0,,1
G0074,Boxtown Neighborhood Association,TN,1,3,Boxtown Neighborhood Association,degenerate_rate,1,n_incidents=3 below floor 5,0
G0075,No Data Centers in Ozaukee County,WI,1,3,No Data Centers in Ozaukee County,degenerate_rate,1,n_incidents=3 below floor 5,0
G0076,New Mexico Environmental Law Center,NM,1,3,New Mexico Environmental Law Center,degenerate_rate,1,n_incidents=3 below floor 5,0
G0077,Troup County Anti-Data Center Coalition,GA,1,3,Troup County Anti-Data Center Coalition,,0,,1
G0078,Save Carbon County,PA,1,3,Save Carbon County,,0,,1
G0079,Cayuga Lake Environmental Action Now (CLEAN),NY,1,3,Cayuga Lake Environmental Action Now (CLEAN),,0,,1
G0080,No Data Centers in Jones County,GA; NC,3,2,No Data Center in Jones County GA; No Data Centers in Jones County; No Data Centers in Stokes County,cross_state_merge; degenerate_rate,2,'No Data Center in Jones County GA' and 'No Data Centers in Jones County' merged across GA; NC; n_incidents=2 below floor 5,0
G0081,Save Pennsylvania (NCDC),PA,2,2,Save Pennsylvania (NCDC); Save Pennsylvania: By NCDC,degenerate_rate,1,n_incidents=2 below floor 5,0
G0082,Responsible Energy Alliance,WI,1,3,Responsible Energy Alliance,,0,,1
G0083,Fayetteville Freedom for All,GA; NC,1,3,Fayetteville Freedom for All,,0,,1
G0084,Stop Project Baccara,AZ,2,2,Stop Project Baccara; Stop Project Baccara Coalition,suffix_merge; degenerate_rate,2,'Stop Project Baccara' and 'Stop Project Baccara Coalition' merge only once the form word is stripped; n_incidents=2 below floor 5,0
G0085,Helena Interfaith Climate Advocates,MT,1,3,Helena Interfaith Climate Advocates,,0,,1
G0086,Montana Public Interest Research Group,MT,1,3,Montana Public Interest Research Group,,0,,1
G0087,Pinelands Alliance,NJ,1,3,Pinelands Alliance,degenerate_rate,1,n_incidents=3 below floor 5,0
G0088,Frederick County Data Center Referendum Committee,MD,1,3,Frederick County Data Center Referendum Committee,degenerate_rate,1,n_incidents=3 below floor 5,0
G0089,EDRA of MI,MI,1,3,EDRA of MI,degenerate_rate,1,n_incidents=3 below floor 5,0
G0090,Clean Water for North Carolina,NC,1,3,Clean Water for North Carolina,degenerate_rate,1,n_incidents=3 below floor 5,0
G0091,Center for Biological Diversity,AL; NV; US,1,3,Center for Biological Diversity,degenerate_rate,1,n_incidents=3 below floor 5,0
G0092,WaterWatch of Oregon,OR,1,3,WaterWatch of Oregon,,0,,1
G0093,Stop the AI Data Center in Independence,MO,1,3,Stop the AI Data Center in Independence,degenerate_rate,1,n_incidents=3 below floor 5,0
G0094,Southern Environmental Law Center (SELC),GA; SC,1,3,Southern Environmental Law Center (SELC),degenerate_rate,1,n_incidents=3 below floor 5,0
G0095,Hoosier Action,IN,1,3,Hoosier Action,,0,,1
G0096,Stop Hanover Data Centers,VA,2,2,Stop Hanover Data Center VA; Stop Hanover Data Centers,degenerate_rate,1,n_incidents=2 below floor 5,0
G0097,Delaware Sierra Club,DE,1,3,Delaware Sierra Club,,0,,1
G0098,DE-CLEAR,DE,1,3,DE-CLEAR,,0,,1
G0099,Protect the Paluxy Valley,TX,3,2,"Protect The Paluxy Valley Inc; Protect The Paluxy Valley, Inc; Protect the Paluxy Valley",degenerate_rate,1,n_incidents=2 below floor 5,0
G0100,River Alliance of Wisconsin,WI,1,3,River Alliance of Wisconsin,degenerate_rate,1,n_incidents=3 below floor 5,0
G0101,Citizens Action Coalition of Indiana,IN,2,3,Citizens Action Coalition Indiana; Citizens Action Coalition of Indiana,degenerate_rate,1,n_incidents=3 below floor 5,0
G0102,Appalachian Voices,VA,1,3,Appalachian Voices,,0,,1
G0103,Ohioans for Responsible Development,OH,1,3,Ohioans for Responsible Development,degenerate_rate,1,n_incidents=3 below floor 5,0
G0104,FracTracker Alliance,PA,1,3,FracTracker Alliance,,0,,1
G0105,Mishicot-area residents and family farms (ad hoc coalition),WI,1,3,Mishicot-area residents and family farms (ad hoc coalition),placeholder,1,"descriptive label, not a named organization",0
G0106,Lyon County residents (ad hoc),GA; IL; NV,3,3,Early County residents (ad hoc); Logan County residents (ad hoc); Lyon County residents (ad hoc),cross_state_merge; placeholder; degenerate_rate,3,"'Early County residents (ad hoc)' and 'Logan County residents (ad hoc)' merged across GA; IL; NV; descriptive label, not a named organization; n_incidents=3 below floor 5",0
G0107,Save Bren Mar Coalition,VA,1,2,Save Bren Mar Coalition,degenerate_rate,1,n_incidents=2 below floor 5,0
G0108,Sierra Club New Jersey Chapter,NJ,2,2,Sierra Club (New Jersey Chapter); Sierra Club New Jersey Chapter,degenerate_rate,1,n_incidents=2 below floor 5,0
G0109,WV Citizen Action Group,WV,2,2,WV Citizen Action Group; WV Citizens Action Group,degenerate_rate,1,n_incidents=2 below floor 5,0
G0110,New Market Village residents,VA,1,2,New Market Village residents,placeholder,1,"descriptive label, not a named organization",0
G0111,Save Hancock County,IN,1,2,Save Hancock County,degenerate_rate,1,n_incidents=2 below floor 5,0
G0112,We Are Oldham County,KY,1,2,We Are Oldham County,,0,,1
G0113,Climate Solutions,OR,1,2,Climate Solutions,,0,,1
G0114,Protect Morgan County,IN,2,1,Protect Morgan County; Protect Morgan County IN,degenerate_rate,1,n_incidents=1 below floor 5,0
G0115,Stop the Data Center Construction in Perry Township,OH,1,2,Stop the Data Center Construction in Perry Township,degenerate_rate,1,n_incidents=2 below floor 5,0
G0116,Great Rivers Habitat Alliance,AL; MO,1,2,Great Rivers Habitat Alliance,degenerate_rate,1,n_incidents=2 below floor 5,0
G0117,Missouri Workers Center,MO,1,2,Missouri Workers Center,degenerate_rate,1,n_incidents=2 below floor 5,0
G0118,Sierra Club St. Louis,MO,1,2,Sierra Club St. Louis,degenerate_rate,1,n_incidents=2 below floor 5,0
G0119,Wake Up Jeffco,MO,1,2,Wake Up Jeffco,degenerate_rate,1,n_incidents=2 below floor 5,0
G0120,No Data Center in Festus,MO,1,2,No Data Center in Festus,degenerate_rate,1,n_incidents=2 below floor 5,0
G0121,No Data Center Festus MO,MO,1,2,No Data Center Festus MO,degenerate_rate,1,n_incidents=2 below floor 5,0
G0122,Alabama Rivers Alliance,AL,1,2,Alabama Rivers Alliance,degenerate_rate,1,n_incidents=2 below floor 5,0
G0123,The Alaska Center,AK,1,2,The Alaska Center,degenerate_rate,1,n_incidents=2 below floor 5,0
G0124,Empowerment Congress of Doña Ana County,NM,1,2,Empowerment Congress of Doña Ana County,degenerate_rate,1,n_incidents=2 below floor 5,0
G0125,Sierra Club Rio Grande Chapter,NM; US,1,2,Sierra Club Rio Grande Chapter,degenerate_rate,1,n_incidents=2 below floor 5,0
G0126,Renew DeKalb,GA,2,2,Renew DeKalb; Renew DeKalb Inc,suffix_merge; degenerate_rate,2,'Renew DeKalb' and 'Renew DeKalb Inc' merge only once the form word is stripped; n_incidents=2 below floor 5,0
G0127,No Data Center in Landover,MD,2,1,No Data Center in Landover; No Data Center in Landover coalition,suffix_merge,1,'No Data Center in Landover' and 'No Data Center in Landover coalition' merge only once the form word is stripped,0
G0128,Edgecombe Neighbors for Data Center Accountability,NC,1,2,Edgecombe Neighbors for Data Center Accountability,,0,,1
G0129,Protect Franklin Township,IN,1,2,Protect Franklin Township,degenerate_rate,1,n_incidents=2 below floor 5,0
G0130,HALT Taylor Data Centers,TX,2,2,HALT Taylor Data Centers; Halt Taylor Data Centers Coalition,suffix_merge; degenerate_rate,2,'HALT Taylor Data Centers' and 'Halt Taylor Data Centers Coalition' merge only once the form word is stripped; n_incidents=2 below floor 5,0
G0131,No Data Centers Hobart Indiana,IN,1,2,No Data Centers Hobart Indiana,,0,,1
G0132,Delaware Riverkeeper Network,PA,1,2,Delaware Riverkeeper Network,degenerate_rate,1,n_incidents=2 below floor 5,0
G0133,No Conshy Data Centers,PA,1,2,No Conshy Data Centers,degenerate_rate,1,n_incidents=2 below floor 5,0
G0134,Concerned Clifton Citizens,PA,1,2,Concerned Clifton Citizens,,0,,1
G0135,West Shreveport neighborhood residents,LA,1,2,West Shreveport neighborhood residents,placeholder; degenerate_rate,2,"descriptive label, not a named organization; n_incidents=2 below floor 5",0
G0136,Coalition of Little Rock Neighborhoods,AR,1,2,Coalition of Little Rock Neighborhoods,degenerate_rate,1,n_incidents=2 below floor 5,0
G0137,Stop Project Nova,WI,1,2,Stop Project Nova,degenerate_rate,1,n_incidents=2 below floor 5,0
G0138,Stop Archbald Data Centers,PA,1,2,Stop Archbald Data Centers,degenerate_rate,1,n_incidents=2 below floor 5,0
G0139,York County Citizens for Responsible Growth,SC; UT,2,2,Iron County Citizens for Responsible Growth; York County Citizens for Responsible Growth,cross_state_merge; degenerate_rate,2,'Iron County Citizens for Responsible Growth' and 'York County Citizens for Responsible Growth' merged across SC; UT; n_incidents=2 below floor 5,0
G0140,Fayetteville Rising Against Data Centers,GA; NC,2,2,Fayetteville Residents Against Data Centers; Fayetteville Rising Against Data Centers,cross_state_merge,1,'Fayetteville Residents Against Data Centers' and 'Fayetteville Rising Against Data Centers' merged across GA; NC,0
G0141,Wilmington Residents for Responsible Development (WRRD),OH,1,2,Wilmington Residents for Responsible Development (WRRD),degenerate_rate,1,n_incidents=2 below floor 5,0
G0142,Save High Falls Lake,GA,1,2,Save High Falls Lake,degenerate_rate,1,n_incidents=2 below floor 5,0
G0143,Stop the Data Center on Taylor Lane,TX,1,2,Stop the Data Center on Taylor Lane,,0,,1
G0144,No Janesville Data Center,WI,1,2,No Janesville Data Center,,0,,1
G0145,Citizens for Responsible Economic Development,IN,2,1,Citizens for Responsible Economic Development; Citizens for Responsible Economic Development (CRED),,0,,1
G0146,Coastal Conservation League,SC,1,2,Coastal Conservation League,,0,,1
G0147,Sugarloaf Alliance,MD,1,2,Sugarloaf Alliance,,0,,1
G0148,Envision Frederick County,MD,1,2,Envision Frederick County,placeholder,1,"descriptive label, not a named organization",0
G0149,No Data Center in DeForest,WI,1,2,No Data Center in DeForest,degenerate_rate,1,n_incidents=2 below floor 5,0
G0150,GASP (Greater Birmingham Alliance to Stop Pollution),AL,2,1,GASP (Greater Birmingham Alliance to Stop Pollution); GASP (Greater-Birmingham Alliance to Stop Pollution),degenerate_rate,1,n_incidents=1 below floor 5,0
G0151,Black Warrior Riverkeeper,AL,1,2,Black Warrior Riverkeeper,degenerate_rate,1,n_incidents=2 below floor 5,0
G0152,Stop Washington Township Data Center,MI,1,2,Stop Washington Township Data Center,degenerate_rate,1,n_incidents=2 below floor 5,0
G0153,Protect Sand Springs Alliance,OK,1,2,Protect Sand Springs Alliance,degenerate_rate,1,n_incidents=2 below floor 5,0
G0154,Oregon Wild,OR,1,2,Oregon Wild,,0,,1
G0155,Native Fish Society,OR,1,2,Native Fish Society,,0,,1
G0156,Georgia Interfaith Power & Light,GA,1,2,Georgia Interfaith Power & Light,degenerate_rate,1,n_incidents=2 below floor 5,0
G0157,Troy Residents for Responsible Growth,IL,1,2,Troy Residents for Responsible Growth,degenerate_rate,1,n_incidents=2 below floor 5,0
G0158,Conservation Colorado,CO,1,2,Conservation Colorado,,0,,1
G0159,Franklin Citizens for Responsible Development,KY,2,2,Franklin Citizens for Responsible Development; Franklin Citizens for Responsible Development Inc,,0,,1
G0160,Deep South Center for Environmental Justice,LA,2,1,Deep South Center for Environmental Justice; Deep South Center for Environmental Justice (DSCEJ),degenerate_rate,1,n_incidents=1 below floor 5,0
G0161,Goochland Residents Alliance,VA,2,2,Goochland Residents Alliance; Goochland residents coalition,suffix_merge; degenerate_rate,2,'Goochland Residents Alliance' and 'Goochland residents coalition' merge only once the form word is stripped; n_incidents=2 below floor 5,0
G0162,Hanover County residents,VA,1,2,Hanover County residents,placeholder; degenerate_rate,2,"descriptive label, not a named organization; n_incidents=2 below floor 5",0
