anchor,window_days,registered_window,n,n_blocked,n_not_blocked,floors_met,ceiling_n,ceiling_blocked,ceiling_not_blocked,ceiling_floors_met,pending_scoreable
anchor_opp,30,yes,5,0,5,no,81,27,54,yes,107
anchor_opp,60,yes,5,0,5,no,80,27,53,yes,107
anchor_opp,90,yes,2,0,2,no,74,26,48,yes,107
anchor_opp,120,yes,2,0,2,no,72,26,46,yes,104
anchor_opp,180,yes,1,0,1,no,62,20,42,yes,92
anchor_opp_no_outcome,30,yes,5,0,5,no,5,0,5,no,0
anchor_opp_no_outcome,60,yes,5,0,5,no,5,0,5,no,0
anchor_opp_no_outcome,90,yes,2,0,2,no,2,0,2,no,0
anchor_opp_no_outcome,120,yes,2,0,2,no,2,0,2,no,0
anchor_opp_no_outcome,180,yes,1,0,1,no,1,0,1,no,0
anchor_ann,30,yes,10,1,9,no,88,28,60,yes,107
anchor_ann,60,yes,10,1,9,no,88,28,60,yes,107
anchor_ann,90,yes,9,1,8,no,86,27,59,yes,107
anchor_ann,120,yes,8,0,8,no,85,26,59,yes,104
anchor_ann,180,yes,7,0,7,no,82,24,58,yes,92
anchor_ann,270,no,6,0,6,no,68,21,47,yes,64
anchor_ann,365,no,5,0,5,no,55,14,41,yes,45
