kind,opp_id,project_id,match_probability,project_name,opp_state,opp_date,opp_incident
rule_confirmed_low_score,opp_606f388b9a84,prj_277,0.040715,Colossus 2,,2025-09-25,U.S. Senate (Markey letter to EPA on NSR pre-construction)
rule_confirmed_low_score,opp_112e9c2fa247,prj_277,0.040715,Colossus 2,,2026-04-17,U.S. Senate EPW (Whitehouse xAI-specific probe)
rule_confirmed_low_score,opp_db2ce51b1acd,prj_277,0.040715,Colossus 2,,2026-02-13,U.S. House Rep. Steve Cohen (xAI emissions transparency)
rule_confirmed_low_score,opp_039ab1e1e6fd,prj_264,0.093407,Champion Data Center Project,PA,2026-03-12,West Finley Township
rule_confirmed_low_score,opp_ad6be939708d,prj_185,0.491955,Meta Bowling Green Data Center,OH,2026-02-18,Monclova Township
rule_confirmed_low_score,opp_e7274260072c,prj_185,0.491955,Meta Bowling Green Data Center,OH,2026-02-17,Richfield Township
rule_confirmed_low_score,opp_b0bb4faffd4d,prj_185,0.491955,Meta Bowling Green Data Center,OH,2026-02-02,Maumee
unlinked_high_score,opp_ee3e55ec561f,prj_321,1.000000,Harper Road Technology Park,MO,2024-10-01,City of Peculiar
unlinked_high_score,opp_b153f592db90,prj_331,1.000000,Howell Township Data Center (Project Splitrock),MI,2025-11-20,Howell Township
unlinked_high_score,opp_806dd9a6ccc5,prj_212,1.000000,AWS Keystone Trade Center Campus,PA,2026-07-14,Falls Township (Bucks County)
unlinked_high_score,opp_65d971d4be2c,prj_202,1.000000,AWS Salem Township Data Center,PA,2026-03-17,Salem Township
unlinked_high_score,opp_6e2a72621942,prj_5,1.000000,DC BLOX Birmingham,AL,2026-03-03,Birmingham
unlinked_high_score,opp_65d971d4be2c,prj_211,1.000000,QTS Salem Data Center,PA,2026-03-17,Salem Township
unlinked_high_score,opp_03cd61627883,prj_324,1.000000,Prado AI Industrial Campus,MS,2026-05-15,Ridgeland
unlinked_high_score,opp_78f2befc3676,prj_227,1.000000,Archbald I LLC Data Center Campuses,PA,2025-11-01,Archbald
unlinked_high_score,opp_e0c79dcb35b6,prj_330,1.000000,Project Sail Data Center,GA,2026-06-16,Coweta County
unlinked_high_score,opp_9821df442512,prj_276,1.000000,Colossus,TN,2025-08-01,Memphis
unlinked_high_score,opp_15719bc3d5d4,prj_332,1.000000,Natelli Vance County Data Center,NC,2026-04-20,Vance County
unlinked_high_score,opp_8ec0ed3f2568,prj_276,1.000000,Colossus,TN,2025-03-04,Memphis City Council (Colossus Water Recycle Plant land sale)
unlinked_high_score,opp_eebe9464f38a,prj_276,1.000000,Colossus,TN,2026-04-09,Memphis (xAI Colossus Water Recycle Plant indefinite pause)
unlinked_high_score,opp_56cafaa65c57,prj_276,1.000000,Colossus,TN,2026-03-03,Memphis & Shelby County Planning (xAI Tulane Rd construction permit)
unlinked_high_score,opp_ec4f6cfec3e8,prj_306,0.999999,Muskie Data Campus,KY,2026-06-02,"Boyd County (TeraWulf ""Muskie"" data campus opposition), KY"
unlinked_high_score,opp_358dc4dc4321,prj_287,0.999999,"Adams Fork Data Center Energy Campus, Wharncliffe",WV,2025-09-02,Logan County
unlinked_high_score,opp_b153f592db90,prj_76,0.999999,Project Splitrock,MI,2025-11-20,Howell Township
unlinked_high_score,opp_0f01cb4fa3f5,prj_195,0.999999,Killen Revitilization Project,OH,2026-02-24,Sprigg Township
unlinked_high_score,opp_0f01cb4fa3f5,prj_194,0.999999,J.M. Stuart Revitilization Project,OH,2026-02-24,Sprigg Township
unlinked_high_score,opp_cb00ae6654e0,prj_328,0.999999,Terra Nexus Custer Avenue Data Center,NC,2026-03-05,Fayetteville
unlinked_high_score,opp_50c9d721baa7,prj_1,0.999999,Project Nebius,AL,2026-07-13,Birmingham
unlinked_high_score,opp_2ace1e385353,prj_305,0.999998,Nashville DC Blox Data Center,TN,2025-09-09,Nashville
unlinked_high_score,opp_4178542bc45d,prj_207,0.999998,Project Boson,PA,2026-03-27,Archbald Borough
unlinked_high_score,opp_4916d5cd8858,prj_323,0.999998,Meta Hyperion,LA,2025-11-19,Holly Ridge / Richland Parish
unlinked_high_score,opp_d219396541c4,prj_209,0.999997,Project Gold,PA,2025-08-22,Clifton Township
unlinked_high_score,opp_254d8776189c,prj_276,0.999997,Colossus,TN,2026-05-01,"Memphis (Boxtown protest at xAI Colossus 1, 3231 Paul R. Lowry Rd), TN"
unlinked_high_score,opp_78f2befc3676,prj_321,0.999996,Harper Road Technology Park,PA,2025-11-01,Archbald
unlinked_high_score,opp_78f2befc3676,prj_207,0.999996,Project Boson,PA,2025-11-01,Archbald
unlinked_high_score,opp_78f2befc3676,prj_205,0.999996,Project Gravity,PA,2025-11-01,Archbald
