opposed_project_id,opposed_project_name,opposed_state,opposed_lifecycle_outcome,opposed_decided,opposed_capacity_mw,opposed_county_margin_2024,control_rank,control_universe_id,control_name,control_source,control_state,control_capacity_mw,control_county_margin_2024,match_distance,match_basis,match_relaxation,match_scope
prj_1,Project Nebius,AL,pending,no,300.0,0.1044,1,prj_144,Riverview Innovative and Technology Campus Data Center,proposals_unopposed,NY,,0.0968,1.5076,margin,national+caliper,national_fallback
prj_1,Project Nebius,AL,pending,no,300.0,0.1044,2,prj_78,Yankee Nuclear Power Plant Data Center,proposals_unopposed,ME,,0.1125,1.5081,margin,national+caliper,national_fallback
prj_1,Project Nebius,AL,pending,no,300.0,0.1044,3,prj_153,Rural Hall Data Center,proposals_unopposed,NC,,0.1317,1.5273,margin,national+caliper,national_fallback
prj_2,Project Marvel,AL,pending,no,1200.0,0.1044,1,prj_144,Riverview Innovative and Technology Campus Data Center,proposals_unopposed,NY,,0.0968,1.5076,margin,national+caliper,national_fallback
prj_2,Project Marvel,AL,pending,no,1200.0,0.1044,2,prj_78,Yankee Nuclear Power Plant Data Center,proposals_unopposed,ME,,0.1125,1.5081,margin,national+caliper,national_fallback
prj_2,Project Marvel,AL,pending,no,1200.0,0.1044,3,prj_153,Rural Hall Data Center,proposals_unopposed,NC,,0.1317,1.5273,margin,national+caliper,national_fallback
prj_3,Meta Platforms Montgomery Data Center,AL,advanced_confirmed,yes,100.0,0.3073,1,prj_10,Project Red Clay,proposals_unopposed,AL,,0.3731,0.0658,margin,state+tercile+caliper,in_state
prj_3,Meta Platforms Montgomery Data Center,AL,advanced_confirmed,yes,100.0,0.3073,2,prj_220,Morabito Slavic Village Data Center,proposals_unopposed,OH,,0.3147,1.5074,margin,national+caliper,national_fallback
prj_3,Meta Platforms Montgomery Data Center,AL,advanced_confirmed,yes,100.0,0.3073,3,prj_145,Albany Kenwood Data Center,proposals_unopposed,NY,,0.2584,1.5489,margin,national+caliper,national_fallback
prj_5,DC BLOX Birmingham,AL,advanced_confirmed,yes,40.0,0.1044,1,prj_144,Riverview Innovative and Technology Campus Data Center,proposals_unopposed,NY,,0.0968,1.5076,margin,national+caliper,national_fallback
prj_5,DC BLOX Birmingham,AL,advanced_confirmed,yes,40.0,0.1044,2,prj_78,Yankee Nuclear Power Plant Data Center,proposals_unopposed,ME,,0.1125,1.5081,margin,national+caliper,national_fallback
prj_5,DC BLOX Birmingham,AL,advanced_confirmed,yes,40.0,0.1044,3,prj_153,Rural Hall Data Center,proposals_unopposed,NC,,0.1317,1.5273,margin,national+caliper,national_fallback
prj_8,Columbiana Mining Facility and Data Center,AL,advanced_confirmed,yes,55.0,-0.4084,1,atl_00556,AngelTrax Data Center,atlas,AL,,-0.4778,0.7694,margin,state+tercile+caliper,in_state
prj_8,Columbiana Mining Facility and Data Center,AL,advanced_confirmed,yes,55.0,-0.4084,2,prj_211,Akron Data Center Expansion,proposals_unopposed,OH,,-0.4240,1.5156,margin,national+caliper,national_fallback
prj_8,Columbiana Mining Facility and Data Center,AL,advanced_confirmed,yes,55.0,-0.4084,3,prj_188,Aurum Capital Ventures Bismarck,proposals_unopposed,ND,,-0.4323,1.5239,margin,national+caliper,national_fallback
prj_9,Childersburg Data Center,AL,pending,no,500.0,-0.3377,1,prj_6,AUBix + Core Scientific Data Center,proposals_unopposed,AL,16.0,-0.2782,0.7772,margin+log_mw,state+tercile+caliper,in_state
prj_9,Childersburg Data Center,AL,pending,no,500.0,-0.3377,2,prj_48,Bristol Data Center,proposals_unopposed,IN,,-0.3238,1.5139,margin,national+caliper,national_fallback
prj_9,Childersburg Data Center,AL,pending,no,500.0,-0.3377,3,prj_68,Project Pulse,proposals_unopposed,KY,,-0.3532,1.5155,margin,national+caliper,national_fallback
prj_11,Edged Energy Prichard Data Center,AL,pending,no,8.0,-0.1645,1,atl_00008,Meta Huntsville Data Center,atlas,AL,,-0.0897,0.7748,margin,state+tercile+caliper,in_state
prj_11,Edged Energy Prichard Data Center,AL,pending,no,8.0,-0.1645,2,atl_00342,George C. Wallace Alabama Supercomputer Center,atlas,AL,,-0.0897,0.7748,margin,state+tercile+caliper,in_state
prj_11,Edged Energy Prichard Data Center,AL,pending,no,8.0,-0.1645,3,atl_00827,SimpleHelix,atlas,AL,,-0.0897,0.7748,margin,state+tercile+caliper,in_state
prj_14,Stak Energy Center,AK,pending,no,3000.0,,1,prj_245,Homer City Energy + AI Campus,proposals_unopposed,PA,4500.0,-0.3912,1.6761,log_mw,national,national_fallback
prj_14,Stak Energy Center,AK,pending,no,3000.0,,2,prj_332,Monarch Compute Campus and Mountaineer Gigasystem,proposals_unopposed,WV,2000.0,-0.5804,1.6761,log_mw,national,national_fallback
prj_14,Stak Energy Center,AK,pending,no,3000.0,,3,prj_63,COPT Defense Properties Data Center,proposals_unopposed,IA,1000.0,-0.0475,1.9771,log_mw,national,national_fallback
prj_15,Prudhoe Bay Data Center,AK,advanced_confirmed,yes,120.0,,1,prj_187,Nakota Data Campus,proposals_unopposed,ND,120.0,-0.6812,1.5000,log_mw,national,national_fallback
prj_15,Prudhoe Bay Data Center,AK,advanced_confirmed,yes,120.0,,2,prj_204,Cologix Lewis Center Data Center,proposals_unopposed,OH,120.0,-0.0659,1.5000,log_mw,national,national_fallback
prj_15,Prudhoe Bay Data Center,AK,advanced_confirmed,yes,120.0,,3,prj_294,Sharon Keel Infrastructure Data Center Expansion,proposals_unopposed,PA,110.0,-0.3016,1.5378,log_mw,national,national_fallback
prj_16,Project Pyramid,AR,advanced_confirmed,yes,500.0,0.0228,1,prj_262,Smithfield Gateway Project,proposals_unopposed,PA,,-0.0078,1.5306,margin,national+caliper,national_fallback
prj_16,Project Pyramid,AR,advanced_confirmed,yes,500.0,0.0228,2,prj_246,Dauphin Highlands Golf Course sold for Data Center,proposals_unopposed,PA,,0.0592,1.5364,margin,national+caliper,national_fallback
prj_16,Project Pyramid,AR,advanced_confirmed,yes,500.0,0.0228,3,prj_272,South Hanover Township Data Center,proposals_unopposed,PA,,0.0592,1.5364,margin,national+caliper,national_fallback
prj_17,Clarksville Data Center,AR,advanced_confirmed,yes,,-0.5143,1,atl_00885,Searcy Information Technologies,atlas,AR,,-0.6120,0.7977,margin,state+tercile+caliper,in_state
prj_17,Clarksville Data Center,AR,advanced_confirmed,yes,,-0.5143,2,prj_306,Iron City No. 1 Power Generator and Compute Center,proposals_unopposed,PA,,-0.5153,1.5010,margin,national+caliper,national_fallback
prj_17,Clarksville Data Center,AR,advanced_confirmed,yes,,-0.5143,3,prj_301,Storage Data Center Project,proposals_unopposed,PA,,-0.5175,1.5032,margin,national+caliper,national_fallback
prj_19,Project Leo,AR,pending,no,150.0,0.2213,1,prj_29,Servpac Mililani Technology Park Data Center,proposals_unopposed,HI,,0.2165,1.5048,margin,national+caliper,national_fallback
prj_19,Project Leo,AR,pending,no,150.0,0.2213,2,prj_249,McKees Rocks Industrial Site Data Center,proposals_unopposed,PA,,0.2031,1.5182,margin,national+caliper,national_fallback
prj_19,Project Leo,AR,pending,no,150.0,0.2213,3,prj_145,Albany Kenwood Data Center,proposals_unopposed,NY,,0.2584,1.5371,margin,national+caliper,national_fallback
prj_20,Port of Little Rock Data Center,AR,pending,no,100.0,0.2213,1,prj_29,Servpac Mililani Technology Park Data Center,proposals_unopposed,HI,,0.2165,1.5048,margin,national+caliper,national_fallback
prj_20,Port of Little Rock Data Center,AR,pending,no,100.0,0.2213,2,prj_249,McKees Rocks Industrial Site Data Center,proposals_unopposed,PA,,0.2031,1.5182,margin,national+caliper,national_fallback
prj_20,Port of Little Rock Data Center,AR,pending,no,100.0,0.2213,3,prj_145,Albany Kenwood Data Center,proposals_unopposed,NY,,0.2584,1.5371,margin,national+caliper,national_fallback
prj_21,NE Edge Groton Data Center,CT,blocked_confirmed,yes,300.0,,1,prj_22,Wallingford Data Center,proposals_unopposed,CT,,,1.0000,no_shared_covariates,state,in_state
prj_21,NE Edge Groton Data Center,CT,blocked_confirmed,yes,300.0,,2,prj_23,Bloomfield Data Center Proposal,proposals_unopposed,CT,,,1.0000,no_shared_covariates,state,in_state
prj_21,NE Edge Groton Data Center,CT,blocked_confirmed,yes,300.0,,3,prj_24,Trumbull Data Center Investment,proposals_unopposed,CT,,,1.0000,no_shared_covariates,state,in_state
prj_26,Project Washington,DE,pending,no,1200.0,0.3256,1,prj_220,Morabito Slavic Village Data Center,proposals_unopposed,OH,,0.3147,1.5109,margin,national+caliper,national_fallback
prj_26,Project Washington,DE,pending,no,1200.0,0.3256,2,prj_10,Project Red Clay,proposals_unopposed,AL,,0.3731,1.5475,margin,national+caliper,national_fallback
prj_26,Project Washington,DE,pending,no,1200.0,0.3256,3,prj_145,Albany Kenwood Data Center,proposals_unopposed,NY,,0.2584,1.5672,margin,national+caliper,national_fallback
prj_28,Newark White Clay Creek Business Park Data Center,DE,pending,no,,0.3256,1,prj_220,Morabito Slavic Village Data Center,proposals_unopposed,OH,,0.3147,1.5109,margin,national+caliper,national_fallback
prj_28,Newark White Clay Creek Business Park Data Center,DE,pending,no,,0.3256,2,prj_10,Project Red Clay,proposals_unopposed,AL,,0.3731,1.5475,margin,national+caliper,national_fallback
prj_28,Newark White Clay Creek Business Park Data Center,DE,pending,no,,0.3256,3,prj_145,Albany Kenwood Data Center,proposals_unopposed,NY,,0.2584,1.5672,margin,national+caliper,national_fallback
prj_32,Project Rainier,IN,advanced_confirmed,yes,2400.0,0.0148,1,atl_01391,Learning GIS!,atlas,IN,,-0.0015,0.7163,margin,state+tercile+caliper,in_state
prj_32,Project Rainier,IN,advanced_confirmed,yes,2400.0,0.0148,2,atl_01392,Agricultural and Biological Engineering,atlas,IN,,-0.0015,0.7163,margin,state+tercile+caliper,in_state
prj_32,Project Rainier,IN,advanced_confirmed,yes,2400.0,0.0148,3,prj_262,Smithfield Gateway Project,proposals_unopposed,PA,,-0.0078,1.5226,margin,national+caliper,national_fallback
prj_33,Martindale Indianapolis Metrobloks Data Center,IN,pending,no,72.0,,1,prj_38,Pittsboro Middle Township Data Center,proposals_unopposed,IN,,-0.2150,1.0000,no_shared_covariates,state,in_state
prj_33,Martindale Indianapolis Metrobloks Data Center,IN,pending,no,72.0,,2,prj_40,Project Maize,proposals_unopposed,IN,,,1.0000,no_shared_covariates,state,in_state
prj_33,Martindale Indianapolis Metrobloks Data Center,IN,pending,no,72.0,,3,prj_44,JPG Data Center,proposals_unopposed,IN,,-0.3610,1.0000,no_shared_covariates,state,in_state
prj_34,Surge Development Knightstown Data Center,IN,advanced_confirmed,yes,,-0.4771,1,prj_47,Amazon Wheatfield,proposals_unopposed,IN,,-0.5431,0.0660,margin,state+tercile+caliper,in_state
prj_34,Surge Development Knightstown Data Center,IN,advanced_confirmed,yes,,-0.4771,2,prj_163,Forest City Data Center Campus,proposals_unopposed,NC,,-0.4781,1.5010,margin,national+caliper,national_fallback
prj_34,Surge Development Knightstown Data Center,IN,advanced_confirmed,yes,,-0.4771,3,prj_264,Klondike Data Center Project,proposals_unopposed,PA,218.0,-0.4792,1.5021,margin,national+caliper,national_fallback
