audit_order,universe_id,name,operator,state,county,source,lifecycle_outcome,announced_date,capacity_mw,search_protocol
1,prj_7,Tallassee Mill Data Center,Undisclosed Developer,AL,elmore,proposals_unopposed,blocked_confirmed,2026-04-01,10.0,Tallassee Mill Data Center AL | Tallassee Mill Data Center data center elmore AL | elmore AL data center opposition OR moratorium OR rezoning OR petition | Undisclosed Developer data center AL residents
2,prj_220,Morabito Slavic Village Data Center,500 ER-EBY Trust,OH,cuyahoga,proposals_unopposed,blocked_confirmed,2026-05-01,,Morabito Slavic Village Data Center OH | Morabito Slavic Village Data Center data center cuyahoga OH | cuyahoga OH data center opposition OR moratorium OR rezoning OR petition | 500 ER-EBY Trust data center OH residents
3,prj_296,Ransom Township Mudiita Data Center,Mudiita Group,PA,lackawanna,proposals_unopposed,blocked_confirmed,2026-07-01,750.0,Ransom Township Mudiita Data Center PA | Ransom Township Mudiita Data Center data center lackawanna PA | lackawanna PA data center opposition OR moratorium OR rezoning OR petition | Mudiita Group data center PA residents
4,prj_287,Renaissance Boulevard Data Center Campus,MLP Ventures,PA,montgomery,proposals_unopposed,blocked_confirmed,2026-03-01,,Renaissance Boulevard Data Center Campus PA | Renaissance Boulevard Data Center Campus data center montgomery PA | montgomery PA data center opposition OR moratorium OR rezoning OR petition | MLP Ventures data center PA residents
5,prj_77,Millinocket Data Center,Nautilus Data Technologies,ME,aroostook,proposals_unopposed,blocked_confirmed,2021-01-01,60.0,Millinocket Data Center ME | Millinocket Data Center data center aroostook ME | aroostook ME data center opposition OR moratorium OR rezoning OR petition | Nautilus Data Technologies data center ME residents
6,prj_289,3200 Horizon Drive Data Center,MLP Ventures,PA,montgomery,proposals_unopposed,blocked_confirmed,2026-05-01,,3200 Horizon Drive Data Center PA | 3200 Horizon Drive Data Center data center montgomery PA | montgomery PA data center opposition OR moratorium OR rezoning OR petition | MLP Ventures data center PA residents
7,prj_281,Newton Township Data Center,Popca LLC,PA,lackawanna,proposals_unopposed,blocked_confirmed,2026-02-01,,Newton Township Data Center PA | Newton Township Data Center data center lackawanna PA | lackawanna PA data center opposition OR moratorium OR rezoning OR petition | Popca LLC data center PA residents
8,prj_132,Nottingham Data Center,Nottingham Business Park LLC,NH,rockingham,proposals_unopposed,blocked_confirmed,2026-05-01,,Nottingham Data Center NH | Nottingham Data Center data center rockingham NH | rockingham NH data center opposition OR moratorium OR rezoning OR petition | Nottingham Business Park LLC data center NH residents
9,prj_288,600 River Road Data Center,MLP Ventures; Innovation River Run LLC,PA,montgomery,proposals_unopposed,blocked_confirmed,2026-05-01,,600 River Road Data Center PA | 600 River Road Data Center data center montgomery PA | montgomery PA data center opposition OR moratorium OR rezoning OR petition | MLP Ventures; Innovation River Run LLC data center PA residents
10,prj_127,Mo Lake Development Cross Creek Data Center,Mo Lake Development,MO,camden,proposals_unopposed,blocked_confirmed,2026-01-01,,Mo Lake Development Cross Creek Data Center MO | Mo Lake Development Cross Creek Data Center data center camden MO | camden MO data center opposition OR moratorium OR rezoning OR petition | Mo Lake Development data center MO residents
11,prj_68,Project Pulse,DC Devco LLC,KY,clark,proposals_unopposed,blocked_confirmed,2026-01-01,,Project Pulse KY | Project Pulse data center clark KY | clark KY data center opposition OR moratorium OR rezoning OR petition | DC Devco LLC data center KY residents
12,prj_18,Vilonia Cryptomine,Interstate Holdings Blockchain; Steve Landers Jr.,AR,faulkner,proposals_unopposed,blocked_confirmed,2025-01-01,,Vilonia Cryptomine AR | Vilonia Cryptomine data center faulkner AR | faulkner AR data center opposition OR moratorium OR rezoning OR petition | Interstate Holdings Blockchain; Steve Landers Jr. data center AR residents
13,prj_330,CleanSpark Mountain City Bitcoin Mine,CleanSpark,TN,johnson,proposals_unopposed,blocked_confirmed,2025-01-01,30.0,CleanSpark Mountain City Bitcoin Mine TN | CleanSpark Mountain City Bitcoin Mine data center johnson TN | johnson TN data center opposition OR moratorium OR rezoning OR petition | CleanSpark data center TN residents
14,prj_300,North Coventry Mall Data Center,PGOB Coventry Holdings; Pennmark Management Company Inc.,PA,chester,proposals_unopposed,blocked_confirmed,2026-08-25,,North Coventry Mall Data Center PA | North Coventry Mall Data Center data center chester PA | chester PA data center opposition OR moratorium OR rezoning OR petition | PGOB Coventry Holdings; Pennmark Management Company Inc. data center PA residents
15,prj_298,Swedeland Discovery Center Data Center Campus,MLP Ventures,PA,montgomery,proposals_unopposed,blocked_confirmed,2026-05-01,,Swedeland Discovery Center Data Center Campus PA | Swedeland Discovery Center Data Center Campus data center montgomery PA | montgomery PA data center opposition OR moratorium OR rezoning OR petition | MLP Ventures data center PA residents
16,prj_104,Project Splitrock,Randee LLC,MI,livingston,proposals_unopposed,blocked_confirmed,2025-09-01,,Project Splitrock MI | Project Splitrock data center livingston MI | livingston MI data center opposition OR moratorium OR rezoning OR petition | Randee LLC data center MI residents
17,prj_285,Linde Clinton Data Center,Linde Corporation,PA,wayne,proposals_unopposed,blocked_confirmed,2026-04-01,,Linde Clinton Data Center PA | Linde Clinton Data Center data center wayne PA | wayne PA data center opposition OR moratorium OR rezoning OR petition | Linde Corporation data center PA residents
18,prj_239,QTS Salem Data Center,Blackstone; QTS,PA,luzerne,proposals_unopposed,pending,2025-07-01,,QTS Salem Data Center PA | QTS Salem Data Center data center luzerne PA | luzerne PA data center opposition OR moratorium OR rezoning OR petition | Blackstone; QTS data center PA residents
19,prj_78,Yankee Nuclear Power Plant Data Center,,ME,lincoln,proposals_unopposed,pending,2025-01-01,,Yankee Nuclear Power Plant Data Center ME | Yankee Nuclear Power Plant Data Center data center lincoln ME | lincoln ME data center opposition OR moratorium OR rezoning OR petition
20,prj_257,Sugarloaf Township Data Center,LBT Investment Group LLC,PA,luzerne,proposals_unopposed,pending,2025-07-01,,Sugarloaf Township Data Center PA | Sugarloaf Township Data Center data center luzerne PA | luzerne PA data center opposition OR moratorium OR rezoning OR petition | LBT Investment Group LLC data center PA residents
21,aic_0009,Google New Albany,Google,OH,,ai_centers,,,407.0,Google New Albany OH | Google New Albany data center OH | OH data center opposition OR moratorium OR rezoning OR petition | Google data center OH residents
22,prj_4,DC BLOX Montgomery,DC BLOX; Alabama Power,AL,montgomery,proposals_unopposed,pending,2024-11-01,40.0,DC BLOX Montgomery AL | DC BLOX Montgomery data center montgomery AL | montgomery AL data center opposition OR moratorium OR rezoning OR petition | DC BLOX; Alabama Power data center AL residents
23,prj_269,Project Green Mountain,Green Mountain 6,PA,lackawanna,proposals_unopposed,pending,2026-01-01,,Project Green Mountain PA | Project Green Mountain data center lackawanna PA | lackawanna PA data center opposition OR moratorium OR rezoning OR petition | Green Mountain 6 data center PA residents
24,prj_293,Gravel Pike Data Center,"Hanover Development, LP",PA,montgomery,proposals_unopposed,pending,2026-06-01,,"Gravel Pike Data Center PA | Gravel Pike Data Center data center montgomery PA | montgomery PA data center opposition OR moratorium OR rezoning OR petition | Hanover Development, LP data center PA residents"
25,aic_0028,Stream Phoenix,,,,ai_centers,,,0.0,Stream Phoenix | Stream Phoenix data center | data center opposition OR moratorium OR rezoning OR petition
