project_id,project_name,outcome,label_blocked,n_opposition_events,n_opposition_groups,has_lawsuit,opposition_span_days,county_margin_2024,log10_capacity_mw,capacity_missing,petition_signatures_log1p,hyperscaler_involved,log1p_existing_dc_in_county,days_to_first_opposition,log1p_prior_state_opposition,mech_moratorium,mech_zoning_restriction,mech_lawsuit,mech_public_comment,mech_legislation,mech_ordinance,mech_regulatory_action,mech_petition
prj_3,Meta Platforms Montgomery Data Center,advanced_confirmed,0,1,1,0,0.0,0.3073,2.0,0,0.0,1,0.0,679,0.0,0,0,0,0,1,0,0,0
prj_5,DC BLOX Birmingham,advanced_confirmed,0,1,1,0,0.0,0.1044,1.6020599913279625,0,0.0,0,0.0,193,1.0986122886681096,0,0,0,0,0,0,0,0
prj_8,Columbiana Mining Facility and Data Center,advanced_confirmed,0,1,1,0,0.0,-0.4084,1.7403626894942439,0,0.0,0,0.0,1508,0.0,0,1,0,0,0,0,0,0
prj_15,Prudhoe Bay Data Center,advanced_confirmed,0,1,0,0,0.0,,2.0791812460476247,0,0.0,0,0.0,,0.0,0,1,0,0,0,1,0,0
prj_16,Project Pyramid,advanced_confirmed,0,1,2,0,0.0,0.0228,2.6989700043360187,0,0.0,1,0.0,0,1.3862943611198906,0,0,0,1,0,0,0,0
prj_17,Clarksville Data Center,advanced_confirmed,0,1,1,0,0.0,-0.5143,2.5024271199844326,0,5.662960480135946,0,0.0,328,0.6931471805599453,0,0,0,1,0,0,0,0
prj_21,NE Edge Groton Data Center,blocked_confirmed,1,2,3,0,573.0,,2.4771212547196626,0,0.0,0,0.0,0,0.6931471805599453,1,1,0,0,0,0,0,0
prj_32,Project Rainier,advanced_confirmed,0,1,0,0,0.0,0.0148,3.380211241711606,0,0.0,1,0.0,584,1.3862943611198906,0,0,0,1,0,0,0,0
prj_34,Surge Development Knightstown Data Center,advanced_confirmed,0,1,1,0,0.0,-0.4771,,1,7.80057265467065,0,0.0,119,2.3978952727983707,0,0,0,1,0,0,0,0
prj_36,Project Louie,advanced_confirmed,0,1,3,1,0.0,-0.5433,3.0791812460476247,0,7.9102237070973445,1,0.0,181,1.6094379124341003,0,0,1,0,0,0,0,0
prj_37,Hancock County MegaSite,blocked_confirmed,1,2,1,0,301.0,-0.3371,,1,6.803505257608338,0,0.0,61,1.6094379124341003,0,1,0,0,1,0,0,0
prj_39,Pike Township Data Center,blocked_confirmed,1,1,2,0,0.0,0.2768,0.6020599913279624,0,0.0,0,0.0,397,1.6094379124341003,0,1,0,0,0,0,0,0
prj_41,Hobart Tech Park,advanced_confirmed,0,2,2,0,31.0,0.0564,,1,8.024534871605695,1,0.0,273,1.6094379124341003,0,0,0,1,0,0,0,0
prj_42,Microsoft La Porte Data Center,advanced_confirmed,0,2,1,0,35.0,-0.1414,2.7307822756663893,0,0.0,1,0.0,833,0.6931471805599453,0,1,0,1,0,0,0,0
prj_43,Project Domino,advanced_confirmed,0,1,2,0,0.0,-0.1601,3.0,0,7.8567067930958405,1,0.0,273,1.3862943611198906,0,1,0,1,0,0,0,0
prj_46,Project Flo,blocked_confirmed,1,1,2,0,0.0,0.2768,2.6020599913279625,0,9.009080614161977,1,0.0,205,1.6094379124341003,0,0,0,0,0,0,0,0
prj_49,Project Zodiac,advanced_confirmed,0,1,1,0,0.0,-0.1247,,1,0.0,1,0.0,0,0.6931471805599453,0,0,0,1,0,0,0,0
prj_50,Google Cedar Rapids,advanced_confirmed,0,2,2,0,106.0,0.0991,2.7520484478194387,0,0.0,1,0.0,730,0.0,0,1,0,0,0,0,0,0
prj_52,Meta Davenport Data Center,advanced_confirmed,0,1,1,0,0.0,-0.039,,1,0.0,1,0.0,0,0.6931471805599453,0,0,0,1,0,0,0,0
prj_56,Google Council Bluffs,advanced_confirmed,0,2,0,0,35.0,-0.1997,,1,0.0,0,0.0,861,0.0,1,0,0,0,0,0,0,0
prj_58,Project Alluvion,advanced_confirmed,0,1,0,0,0.0,0.1089,,1,0.0,0,0.0,,0.0,0,1,0,0,0,0,0,0
prj_71,Maysville Data Center,advanced_confirmed,0,1,4,1,0.0,-0.4369,3.342422680822206,0,7.1853870155804165,0,0.0,238,1.0986122886681096,0,1,1,1,0,0,0,0
prj_73,PowerHouse Louisville,advanced_confirmed,0,3,4,0,242.0,0.1655,2.720159303405957,0,0.0,0,0.0,253,0.0,1,0,0,1,0,0,0,0
prj_75,Bates Mill No. 3. Data Center,blocked_confirmed,1,1,3,0,0.0,-0.0609,1.380211241711606,0,0.0,0,0.0,349,0.0,0,1,0,0,0,0,0,0
