PlanApplicationDate,PlanDescription,PlanName,PlanNumber,PlanStatus,PlanType
2026-08-21,"Craig J. Blakeley, Esq. of Alliance Law Group LLC, on behalf of Isahm & Nelia Diab submitted an appeal to ZCOR-2026-0152 dated July 23, 2026 of vested rights for Tuscarora Crossing, Land Bay 3 to develop a data center and major utility uses by-right.",,APPL-2026-0005,Submitted,Appeal
2023-08-23,FSM Hydraulic Design Criteria Waiver Request,IAD 12 & IAD 13 Data Center,BDCOR-2023-0009,Approved,Building and Development Correspondence
2017-01-20,"ACC-10 DATA CENTER LOUDOUN CENTER : REQUEST APPROVAL OF A BOUNDARY LINE ADJUSTMENT PLAT (BLAD) BETWEEN TWO(2) PARCELS, IN THE PLANNED DEVELOPMENT-OFFICE PARK (PDOP) ZONING     DISTRICT.                                                             HV",ACC-10 DATA CENTER LOUDOUN CENTER,BLAD-2017-0005,Approved,Plat
2022-04-26,"VANTAGE DATA CENTERS VA2 LLC : REQUEST APPROVAL OF A BOUNDARY LINE ADJUSTMENT PLAT (BLAD) BETWEEN (5)FIVE LOTS, IN THE (PDIP) PLANNED DEVELOPMENT-INDUSTRIAL PARK ZONING   DISTRICT.                                                             SDM",VANTAGE DATA CENTERS VA2 LLC,BLAD-2022-0015,Approved,Plat
2023-01-19,"H5 DATA CENTER : REQUEST APPROVAL OF A BOUNDARY LINE ADJUSTMENT PLAT(BLAD) AND         CONSOLIDATION OF THREE (3) LOTS INTO ONE (1) LOT, IN THE PLANNED      DEVELOPMENT - INDUSTRIAL PARK (PDIP) ZONING DISTRICT.                 EK",H5 DATA CENTER,BLAD-2023-0002,Approved,Plat
2023-01-30,"VANTAGE DATA CENTERS VA2 : REQUEST APPROVAL OF A BOUNDARY LINE ADJUSTMENT PLAT                   (BLAD)/CONSOLIDATION, IN THE PLANNED DEVELOPMENT INDUSTRIAL PARK      (PDIP) ZONING DISTRICT.                                               DS",VANTAGE DATA CENTERS VA2,BLAD-2023-0004,Approved,Plat
2023-03-30,"MANEKIN DATA CENTER : REQUEST APPROVAL OF A BOUNDARY LINE ADJUSTMENT PLAT (BLAD) FOR        CONSOLIDATION OF FIVE (5) PARCELS INTO ONE (1), IN THE PLANNED        DEVELOPMENT INDUSTRIAL PARK (PDIP) ZONING DISTRICT.                   EK",Manekin Plaza,BLAD-2023-0015,Approved,Plat
2023-12-13,"See LEGI-2023-0090 for all documents, timelines and workflow - RACEFIELD SUBSTATION : A Commission Permit for a Utility Substation to serve planned data center and an existing data center on property.",RACEFIELD SUBSTATION,CMPT-2022-0007,Approved,Commission Permit
2025-07-09,"LOUDOUN BUSINESS PARK: A Special Exception for data center use, a Special Exception to increase the FAR up to 0.8, a Special Exception for each utility substation (3), and a Commission Permit to permit substation use.",Loudoun Business Park,CMPT-2025-0008,In Review,Commission Permit
2026-03-05,"LOUDOUN BUSINESS PARK

CMPT-2026-0010: A Commission Permit to permit a public utility.

CMPT-2025-0008: A Commission Permit to permit a public utility.

SPEX-2025-0061: A Special Exception to permit a data center in the Industrial Park (IP) Zoning District.

SPEX-2025-0072: A Special Exception to permit up to 0.8 floor area ratio (FAR) of data centers uses.

SPEX-2025-0073: A Special Exception to permit a utility substation in the IP Zoning District (Landbay A).

(WITHDRAWN) SPEX-2025-0077: A Special Exception to permit a utility substation in the IP Zoning District (Landbay B).

SPEX-2025-0097: A Special Exception to permit a utility substation in the IP Zoning District (Landbay C).",Loudoun Business Park,CMPT-2026-0010,In Review,Commission Permit
2024-01-31,Comprehensive Plan Amendment Data Centers Standards and Locations Phase 1,Data Center Standards and Locations Phase 1,CPAM-2024-0001,Approved,Comprehensive Plan Amendment
2025-09-19,Comprehensive Plan Amendment Data Centers Standards and Locations Phase 2,Data Center Standards and Locations Phase 2,CPAM-2025-0001,In Review,Comprehensive Plan Amendment
2017-08-18,"TRUE NORTH DATA- SYCOLIN RD : REQUEST APPROVAL OF CONSTRUCTION PLANS AND PROFILES TO WIDEN SYCOLIN  ROAD TO ACCOMODATE A LEFT AND RIGHT TURN LANE AND ENTRANCE, IN THE    TRANSITIONAL RESIDENTIAL- 10 (TR10) ZONING DISTRICT.                  HV",TRUE NORTH DATA- SYCOLIN RD,CPAP-2017-0021,Approved,Engineering Plan
2018-01-26,"606 DATA CENTER : REQUEST APPROVAL OF A CONSTRUCTION PLAN AND PROFILES (CPAP)TO PERFORM SITE GRADING, AS WELL AS CONSTRUCT STORMWATER MANAGEMENT FACILITIES   AND RELATED INFRASTRUCTURE FOR FUTURE DEVELOPMENT IN A PLANNED        DEVELOPMENT GENERAL INDUSTRIAL (PDGI) ZONING DISTRICT.                SMK",606 DATA CENTER,CPAP-2018-0002,Approved,Engineering Plan
2018-03-26,TRUE NORTH DATA - SWM : REQUEST APPROVAL OF A CONSTRUCTION PLANS AND PROFILES (CPAP) FOR THE  CONSTRUCTION OF A STORM WATER MANAGEMENT (SWM) POND AND ASSOCIATED    LIMITS OF CLEARING IN A PLANNED DEVELOPMENT OFFICE PARK (PDOP) ZONING DISTRICT.                                                             SMK,TRUE NORTH DATA - SWM,CPAP-2018-0005,Approved,Engineering Plan
2021-02-25,"AREP BEAUMEADE DATA CENTER : REQUEST APPROVAL OF CONSTRUCTION PLANS AND PROFILES (CPAP) TO DEMOLISHAN EXISTING BUILDING, PARKING ISLES, SIDEWALKS, AS WELL AS ON-SITE    UTILITIES TO BE REPLACED WITH PROPOSED UTLITIES AND FUTURE BUILDING   PAD, IN THE (PDIP) PLANNED DEVELOPMENT INDUSTRIAL PARK ZONING         DISTRICT.                                                             SDM",AREP BEAUMEADE DATA CENTER,CPAP-2021-0010,Approved,Engineering Plan
2018-05-01,"606 DATA CENTER : REQUEST APPROVAL OF CONSTRUCTION PLANS AND PROFILES REVISION (CPAR) TOTHE PREVIOUSLY APPROVED CPAP-2015-0025 TO MORE THE ENTRANCE NORTH     ALONG WITH ASSOCIATED STORM DRAINAGE PIPES, TRAFFIC BARRICADES, AND   FIRE HYDRANT, IN THE PLANNED DEVELOPMENT- GENERAL INDUSTRIAL (PDGI)   ZONING DISTRICT.                                                      HV",606 DATA CENTER,CPAR-2018-0009,Approved,Engineering Plan
2018-12-07,"606 DATA CENTER : REQUEST APPROVAL OF CONSTRUCTION PLANS AND PROFILES REVISION (CPAR) TOPREVIOUSLY APPROVED CPAP-2018-0002 TO MODIFY ROUGH GRADING AND EROSIONAND SEDIMENT CONTROLS TO ACCOMMODATE FUTURE DEVELOPMENT, IN THE       PLANNED DEVELOPMENT- GENERAL INDUSTRIAL (PDGI) ZONING DISTRICT.       HV",606 DATA CENTER,CPAR-2018-0027,Approved,Engineering Plan
2021-12-14,"AREP BEAUMEADE DATA CENTER : REQUEST APPROVAL OF CONSTRUCTION PLANS AND PROFILES REVISION (CPAR) TOTHE PREVIOUSLY APPROVED CPAP-2021-0010 FOR CHANGES TO ASSOCIATED WITH SITE STORM SEWER INFRASTRUCTURE, IN THE PLANNED DEVELOPMENT-          INDUSTRIAL PARK (PDIP) ZONING DISTRICT.                               HV",AREP BEAUMEADE DATA CENTER,CPAR-2021-0022,Approved,Engineering Plan
2015-02-05,LOUDOUN METRO DATA CENTERS LM3 & LM4 : REQUEST APPROVAL OF A DEDICATION PLAT (DEDI) WITH EASEMENTS ASSOCIATEDWITH STPL-2014-0024.                                                  MCC,LOUDOUN METRO DATA CENTERS LM3 & LM4,DEDI-2015-0003,Approved,Plat
2015-05-18,"WAXPOOL INTXN IMPRO ASB ASHBRN DATA CEN : REQUEST APPROVAL OF A DEDICATION (DEDI) FOR THE RIGHT-OF-WAY AND      VACATION AND CREATION OF VARIOUS EASEMENTS ON THE LAND OF ASB ASHBURN DATA CENTER IN CONJUNCTION WITH CRCP-2014-0003, IN AN OFFICE PARK     ZONING DISTRICT.                                                      SMK",WAXPOOL INTXN IMPRO ASB ASHBRN DATA CEN,DEDI-2015-0023,Approved,Plat
2022-03-02,"DARVISH DATA CENTER : REQUEST APPROVAL OF A DEDICATION PLAT (DEDI) FOR THE PROPOSED RIGHT OFWAY DEDICATION AND ON SITE EASEMENTS ASSOCIATED WITH STMP-2021-0020,  IN THE PLANNED DEVELOPMENT INDUSTRIAL PARK (PDIP) ZONING DISTRICT.    AM",DARVISH DATA CENTER,DEDI-2022-0004,In Review,Plat
2023-07-21,"RIDGETOP DATA CENTER : REQUEST APPROVAL OF A DEDICATION PLAT (DEDI) FOR DEDICATION OF VDOT   RIGHT-OF-WAY, IN THE PLANNED DEVELOPMENT - INDUSTRIAL PARK (PDIP)     ZONING DISTRICT.                                                      DS",RIDGETOP DATA CENTER,DEDI-2023-0043,In Review,Plat
