place,place_norm,state,county,fips,source
Adair,adair,IA,Adair,19001,repo_records
Adairsville area (Bartow County),adairsville area,GA,Bartow,13015,repo_records
Ahwatukee (Phoenix),ahwatukee,AZ,Maricopa,04013,repo_records
Akron,akron,IN,Fulton,18049,repo_records
Akron,akron,OH,Fulton,39051,repo_records
Town of Alabama (Genesee County),alabama,NY,Genesee,36037,repo_records
Alachua,alachua,FL,Alachua,12001,repo_records
Albany,albany,GA,Dougherty,13095,repo_records
Albany,albany,NY,Albany,36001,repo_records
Aliquippa,aliquippa,PA,Beaver,42007,repo_records
Allen Township,allen,PA,Northampton,42095,repo_records
Allen County / Fort Wayne,allen county fort wayne,IN,Allen,18003,repo_records
Allen Park,allen park,MI,Wayne,26163,repo_records
Allentown,allentown,PA,Lehigh,42077,repo_records
"City of Allentown (Bill 20 data center zoning tabled after marathon hearing), PA",allentown pa,PA,Lehigh,42077,repo_records
Altoona,altoona,IA,Polk,19153,repo_records
"Americus / Lyon County (Flint Hills Digital Campus), KS",americus lyon county ks,KS,Lyon,20111,repo_records
Ames,ames,IA,Story,19169,repo_records
Amwell Township,amwell,PA,Washington,42125,repo_records
Anchorage,anchorage,AK,Anchorage,02020,repo_records
"Anderson County (2-year moratorium on data centers, crypto mining, battery storage), TN",anderson county tn,TN,Anderson,47001,repo_records
Andover Township,andover,NJ,Sussex,34037,repo_records
"Andover Township Committee (Sussex County — ban announced after viral tense meeting at former Newton/Jump airport site), NJ",andover township committee nj,NJ,Sussex,34037,repo_records
Ankeny,ankeny,IA,Polk,19153,repo_records
Ann Arbor Township,ann arbor,MI,Washtenaw,26161,repo_records
Anthony Township,anthony,PA,Montour,42093,repo_records
Town of Apex,apex,NC,Wake,37183,repo_records
Apple Valley,apple valley,MN,Dakota,27037,repo_records
Archbald,archbald,PA,Lackawanna,42069,repo_records
Ardmore,ardmore,OK,Carter,40019,repo_records
Armada Township,armada,MI,Macomb,26099,repo_records
Army Corps of Engineers (Google Little Rock),army corps of engineers,AR,Pulaski,05119,repo_records
City of Asbury Park,asbury park,NJ,Monmouth,34025,repo_records
Ashville (Pickaway County),ashville,OH,Pickaway,39129,repo_records
City of Atlanta,atlanta,GA,Fulton,13121,repo_records
Auburn,auburn,AL,Lee,01081,repo_records
Augusta,augusta,GA,Richmond,13245,repo_records
Augusta Charter Township,augusta,MI,Washtenaw,26161,repo_records
Baltimore,baltimore,MD,Baltimore,24005,repo_records
Baltimore City (Baltimore Peninsula TIF ban),baltimore,MD,Baltimore City,24510,repo_records
Bangor,bangor,ME,Penobscot,23019,repo_records
Banks Township; Packer Township,banks township packer,PA,Carbon,42025,repo_records
Barberton,barberton,OH,Summit,39153,repo_records
Barrington Hills,barrington hills,IL,Cook,17031,repo_records
Beaver Dam,beaver dam,WI,Dodge,55027,repo_records
City of Becker,becker,MN,Sherburne,27141,repo_records
Bedington,bedington,WV,Berkeley,54003,repo_records
Town of Beloit,beloit,WI,Rock,55105,repo_records
Benton Charter Township,benton,MI,Berrien,26021,repo_records
Bernards Township,bernards,NJ,Somerset,34035,repo_records
Bessemer,bessemer,AL,Jefferson,01073,repo_records
Bethel Township,bethel,PA,Lebanon,42075,repo_records
Big Beaver Borough,big beaver,PA,Beaver,42007,repo_records
"Big Beaver Borough (Switch $1.4B campus town hall amid opposition), PA",big beaver borough pa,PA,Beaver,42007,repo_records
Big Rapids Township,big rapids,MI,Mecosta,26107,repo_records
Birmingham,birmingham,AL,Jefferson,01073,repo_records
"Birmingham (amended class action alleging city-developer conspiracy to evade DC moratorium), AL",birmingham al,AL,Jefferson,01073,repo_records
Blakely (Early County),blakely,GA,Early,13099,repo_records
Blakely,blakely,PA,Lackawanna,42069,repo_records
Blanchard (North Caddo Parish),blanchard,LA,Caddo,22017,repo_records
Blanchester,blanchester,OH,Clinton,39027,repo_records
Blumenthal-Hawley GRID Act (federal),blumenthal hawley grid act,DC,District of Columbia,11001,repo_records
Boardman,boardman,OR,Morrow,41049,repo_records
Boiling Spring Lakes,boiling spring lakes,NC,Brunswick,37019,repo_records
Bonner (Missoula County),bonner,MT,Missoula,30063,repo_records
Town of Boone,boone,NC,Watauga,37189,repo_records
"Boone County Area Plan Commission (moratorium recommendation), IN",boone county area plan commission in,IN,Boone,18011,repo_records
Botkins,botkins,OH,Shelby,39149,repo_records
Boulder City,boulder,NV,Clark,32003,repo_records
"Boulder City, NV (Townsite Solar 2 Data Center — second town hall + ballot initiative)",boulder city nv,NV,Clark,32003,repo_records
Bourbon County Commission,bourbon county commission,KS,Bourbon,20011,repo_records
Bowling Green,bowling green,KY,Warren,21227,repo_records
"Box Elder County Commission (Stratos/MIDA partnership approval; referendum filed May 6), UT",box elder county commission ut,UT,Box Elder,49003,repo_records
"Box Elder County / MIDA (civil-rights lawsuit over Stratos project), UT",box elder county mida ut,UT,Box Elder,49003,repo_records
"Box Elder County (Stratos opponents sue to force a referendum on MIDA resolutions), UT",box elder county ut,UT,Box Elder,49003,repo_records
"Boyd County (TeraWulf ""Muskie"" data campus opposition), KY",boyd county ky,KY,Boyd,21019,repo_records
Brandon,brandon,MS,Rankin,28121,repo_records
"City of Brawley (data center moratorium passed 3-2), CA",brawley ca,CA,Imperial,06025,repo_records
Brentwood,brentwood,MO,St. Louis,29189,repo_records
Briar Creek Township,briar creek,PA,Columbia,42037,repo_records
City of Bristol,bristol,TN,Sullivan,47163,repo_records
Broadview,broadview,MT,Yellowstone,30111,repo_records
Broken Arrow,broken arrow,OK,Tulsa,40143,repo_records
Broken Bow,broken bow,NE,Custer,31041,repo_records
"Town of Brookhaven (Yaphank — 18-month data center moratorium hearing set), NY",brookhaven ny,NY,Suffolk,36103,repo_records
Brookings,brookings,SD,Brookings,46011,repo_records
Brookwood,brookwood,AL,Tuscaloosa,01125,repo_records
"Brown County (committee declines countywide data center moratorium), WI",brown county wi,WI,Brown,55009,repo_records
"Town of Brunswick (180-day data center moratorium), ME",brunswick me,ME,Cumberland,23005,repo_records
Bryan,bryan,TX,Brazos,48041,repo_records
Buck Creek Township,buck creek,IN,Hancock,18059,repo_records
Buckeye,buckeye,AZ,Maricopa,04013,repo_records
Buffalo,buffalo,WV,Putnam,54079,repo_records
"Bulloch County Commissioners (5-0 moratorium extension through Dec 31; 5-0 to draft permanent prohibition), GA",bulloch county commissioners ga,GA,Bulloch,13031,repo_records
Bulls Gap,bulls gap,TN,Hawkins,47073,repo_records
Burgettstown,burgettstown,PA,Washington,42125,repo_records
Burgin City Council (annexation for hyperscale data center),burgin city council,KY,Mercer,21167,repo_records
Burkville,burkville,AL,Lowndes,01085,repo_records
Town of Burns Harbor,burns harbor,IN,Porter,18127,repo_records
Butler Township,butler,PA,Schuylkill,42107,repo_records
Butler County Fiscal Court,butler county fiscal court,KY,Butler,21031,repo_records
Butte,butte,MT,Silver Bow,30093,repo_records
Cache County Council,cache county council,UT,Cache,49005,repo_records
