opp_id,project_id,project_name,match_tier,signals,distance_km,company_jaccard,name_jaccard,county_match,opp_incident,opp_date,opp_type,opp_state,opp_county
opp_f8d57486f721,prj_17,Millstone Nuclear Power Station Data Center,geo_company,geo:8.6km; company:0.33; county,8.6,0.33,0.00,yes,Town of Groton,2022-06-15,moratorium,CT,new london
opp_660194b23c81,prj_17,Millstone Nuclear Power Station Data Center,geo_company,geo:5.9km; company:0.33; county,5.9,0.33,0.00,yes,Waterford / East Lyme,2024-01-09,zoning_restriction,CT,new london
opp_fc900da0efeb,prj_46,Applied Digital Adair,geo_company,geo:19.4km; company:1.00; county,19.4,1.00,0.25,yes,Adair County,2024-04-24,zoning_restriction,IA,adair
opp_ee3e55ec561f,prj_321,Harper Road Technology Park,geo_company,geo:0.1km; company:1.00; name:1.00; county,0.1,1.00,1.00,yes,City of Peculiar,2024-10-01,zoning_restriction,MO,cass
opp_20b5ac3fa00e,prj_73,Westfield Data Center Campus,geo_company,geo:3.8km; company:1.00; name:1.00; county,3.8,1.00,1.00,yes,Westfield,2024-11-01,project_withdrawal,MA,hampden
opp_566cc762af35,prj_312,Applied Digital Oliver County,geo_company,geo:1.1km; company:0.18; name:0.50; county,1.1,0.18,0.50,yes,Oliver County,2024-12-12,moratorium,ND,oliver
opp_f218f9644211,prj_124,STAMP Data Center,geo_company,geo:12.1km; company:1.00; name:1.00; county,12.1,1.00,1.00,yes,Genesee County (STAMP),2025-02-01,lawsuit; public_comment,NY,genesee
opp_5ebb98c62ead,prj_117,Princeton Nurseries Data Center,geo_company,geo:6.9km; company:0.14; county,6.9,0.14,0.00,yes,South Brunswick,2025-03-01,public_comment,NJ,middlesex
opp_db269fd6710c,prj_35,Hancock County MegaSite,geo_company,geo:9.3km; company:1.00; name:1.00; county,9.3,1.00,1.00,yes,Hancock County,2025-06-01,zoning_restriction,IN,hancock
opp_1704aa7c2eb5,prj_12,Project Leo,geo_company,geo:15.2km; company:1.00; name:1.00; county,15.2,1.00,1.00,yes,Little Rock,2025-06-01,zoning_restriction,AR,pulaski
opp_577c1410331e,prj_81,Ypsilanti University of Michigan × Los Alamos Supercomputing Research Center,geo_company,geo:5.6km; company:0.27; county,5.6,0.27,0.10,yes,Ypsilanti Township,2025-06-01,public_comment,MI,washtenaw
opp_26baf5c8d1fa,prj_57,Project Lincoln,geo_company,geo:3.0km; company:1.00; name:1.00; county,3.0,1.00,1.00,yes,City of La Grange,2025-06-02,moratorium,KY,oldham
opp_b4471ed4359e,prj_34,Project Louie,geo_company,geo:2.5km; company:1.00; county,2.5,1.00,0.00,yes,Monrovia (Morgan County),2025-07-01,lawsuit,IN,morgan
opp_3d94fe3695b1,prj_322,Province Group Perry Village Data Center Campus,geo_company,geo:0.7km; company:1.00; county,0.7,1.00,0.14,yes,Perry Township,2025-07-01,zoning_restriction,OH,lake
opp_2b6be26aa1f0,prj_57,Project Lincoln,geo_company,geo:4.0km; company:1.00; name:0.50; county,4.0,1.00,0.50,yes,Oldham County,2025-07-02,moratorium,KY,oldham
