fips,county_name,state,label_state,evidence_grade,families_checked,families_covered,independence_classes,sources_clear,sources_hit,sources_unreachable,last_checked,staleness_days,probe_status,in_force_as_of,evidence_url_primary,conflict,needs_recheck
01001,"Autauga County, Alabama",AL,unverified,U,,,,0,0,0,,,never_probed,,,,1
01003,"Baldwin County, Alabama",AL,unverified,U,,,,0,0,0,,,never_probed,,,,1
01005,"Barbour County, Alabama",AL,unverified,U,,,,0,0,0,,,never_probed,,,,1
01007,"Bibb County, Alabama",AL,unverified,U,,,,0,0,0,,,never_probed,,,,1
01009,"Blount County, Alabama",AL,unverified,U,,,,0,0,0,,,never_probed,,,,1
01011,"Bullock County, Alabama",AL,unverified,U,,,,0,0,0,,,never_probed,,,,1
01013,"Butler County, Alabama",AL,unverified,U,,,,0,0,0,,,never_probed,,,,1
01015,"Calhoun County, Alabama",AL,unverified,U,,,,0,0,0,,,never_probed,,,,1
01017,"Chambers County, Alabama",AL,unverified,U,,,,0,0,0,,,never_probed,,,,1
01019,"Cherokee County, Alabama",AL,unverified,U,,,,0,0,0,,,never_probed,,,,1
01021,"Chilton County, Alabama",AL,unverified,U,,,,0,0,0,,,never_probed,,,,1
01023,"Choctaw County, Alabama",AL,unverified,U,,,,0,0,0,,,never_probed,,,,1
01025,"Clarke County, Alabama",AL,unverified,U,,,,0,0,0,,,never_probed,,,,1
01027,"Clay County, Alabama",AL,unverified,U,,,,0,0,0,,,never_probed,,,,1
01029,"Cleburne County, Alabama",AL,unverified,U,,,,0,0,0,,,never_probed,,,,1
01031,"Coffee County, Alabama",AL,unverified,U,,,,0,0,0,,,never_probed,,,,1
01033,"Colbert County, Alabama",AL,unverified,U,,,,0,0,0,,,never_probed,,,,1
01035,"Conecuh County, Alabama",AL,unverified,U,,,,0,0,0,,,never_probed,,,,1
01037,"Coosa County, Alabama",AL,unverified,U,,,,0,0,0,,,never_probed,,,,1
01039,"Covington County, Alabama",AL,unverified,U,,,,0,0,0,,,never_probed,,,,1
01041,"Crenshaw County, Alabama",AL,unverified,U,,,,0,0,0,,,never_probed,,,,1
01043,"Cullman County, Alabama",AL,asserted_restrictive,U,,,,0,0,0,,,never_probed,,,label_positive_no_support,1
01045,"Dale County, Alabama",AL,unverified,U,,,,0,0,0,,,never_probed,,,,1
01047,"Dallas County, Alabama",AL,unverified,U,,,,0,0,0,,,never_probed,,,,1
01049,"DeKalb County, Alabama",AL,unverified,U,,,,0,0,0,,,never_probed,,,,1
01051,"Elmore County, Alabama",AL,unverified,U,,,,0,0,0,,,never_probed,,,,1
01053,"Escambia County, Alabama",AL,unverified,U,,,,0,0,0,,,never_probed,,,,1
01055,"Etowah County, Alabama",AL,unverified,U,,,,0,0,0,,,never_probed,,,,1
