fips,county_name,state,conflict,label_state,evidence_grade,detail,source_id,source_url,observed_at
18033,"DeKalb County, Indiana",IN,label_negative_source_hit,unverified,D,moratorium (active),external_restriction_census,"moratorium-nation:in-dekalb-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",2026-09-19
37039,"Cherokee County, North Carolina",NC,label_negative_source_hit,unverified,D,moratorium (active),external_restriction_census,"https://www.law360.com/articles/2511658 (hawthorn-tva-review-2026-08-21: date and precise ordinance status uncertain across sources, see review note)",2026-09-19
42093,"Montour County, Pennsylvania",PA,label_negative_source_hit,unverified,D,moratorium (active),external_restriction_census,"moratorium-nation:pa-montour-county-2025 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",2026-09-19
05139,"Union County, Arkansas",AR,label_negative_upstream_hit,unverified,D,moratorium (active),external_restriction_census_delta,"moratorium-nation:ar-union-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",2026-09-19
08007,"Archuleta County, Colorado",CO,label_negative_upstream_hit,unverified,D,moratorium (active),external_restriction_census_delta,"moratorium-nation:co-archuleta-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",2026-09-19
08029,"Delta County, Colorado",CO,label_negative_upstream_hit,unverified,D,moratorium (active),external_restriction_census_delta,"moratorium-nation:co-delta-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",2026-09-19
08059,"Jefferson County, Colorado",CO,label_negative_upstream_hit,unverified,D,moratorium (active),external_restriction_census_delta,"moratorium-nation:co-jefferson-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",2026-09-19
12053,"Hernando County, Florida",FL,label_negative_upstream_hit,unverified,D,moratorium (active),external_restriction_census_delta,"moratorium-nation:fl-hernando-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",2026-09-19
12079,"Madison County, Florida",FL,label_negative_upstream_hit,unverified,D,moratorium (active),external_restriction_census_delta,"moratorium-nation:fl-madison-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",2026-09-19
12099,"Palm Beach County, Florida",FL,label_negative_upstream_hit,unverified,D,moratorium (active),external_restriction_census_delta,"moratorium-nation:fl-palm-beach-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",2026-09-19
12101,"Pasco County, Florida",FL,label_negative_upstream_hit,unverified,D,moratorium (active),external_restriction_census_delta,"moratorium-nation:fl-pasco-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",2026-09-19
12113,"Santa Rosa County, Florida",FL,label_negative_upstream_hit,unverified,D,moratorium (active),external_restriction_census_delta,"moratorium-nation:fl-santa-rosa-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",2026-09-19
12115,"Sarasota County, Florida",FL,label_negative_upstream_hit,unverified,D,moratorium (active),external_restriction_census_delta,"moratorium-nation:fl-sarasota-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",2026-09-19
13045,"Carroll County, Georgia",GA,label_negative_upstream_hit,unverified,D,moratorium (extended),external_restriction_census_delta,"moratorium-nation:ga-carroll-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",2026-09-19
13147,"Hart County, Georgia",GA,label_negative_upstream_hit,unverified,D,moratorium (active),external_restriction_census_delta,"moratorium-nation:ga-hart-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",2026-09-19
13177,"Lee County, Georgia",GA,label_negative_upstream_hit,unverified,D,moratorium (extended),external_restriction_census_delta,"moratorium-nation:ga-lee-county-undated (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",2026-09-19
13223,"Paulding County, Georgia",GA,label_negative_upstream_hit,unverified,D,moratorium (active),external_restriction_census_delta,"moratorium-nation:ga-paulding-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",2026-09-19
13257,"Stephens County, Georgia",GA,label_negative_upstream_hit,unverified,D,moratorium (extended),external_restriction_census_delta,"moratorium-nation:ga-stephens-county-undated (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",2026-09-19
