Incident,City,Date,Entity,Location,Opposition Type,Severity,Source URL,State,County,Scope,Issue Category,Objective,Authority Level,Status,Community Outcome,Hyperscaler,Company,Project Name,Investment Million USD,Megawatts,Acreage,Sponsors,Opposition Groups,Summary,Sources,Opposition Website,Opposition Facebook,Opposition Instagram,Petition URL,Petition Signatures,data_source,lat,lon,_worklist_priority,_worklist_note,_fips
Humboldt County moratorium,,2026-07-06,,"Humboldt County, NV",moratorium,,,NV,Humboldt County,county,,,,active,,,,,,,,,,,"moratorium-nation:nv-humboldt-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",,,,,,coverage_audit_worklist,,,2,,32013
Nye County moratorium,,2026-06-02,,"Nye County, NV",moratorium,,,NV,Nye County,county,,,,active,,,,,,,,,,,"moratorium-nation:nv-nye-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",,,,,,coverage_audit_worklist,,,2,,32023
Nodaway County moratorium,,2026-07-21,,"Nodaway County, MO",moratorium,,,MO,Nodaway County,county,,,,active,,,,,,,,,,,"moratorium-nation:mo-nodaway-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",,,,,,coverage_audit_worklist,,,2,,29147
Webster County moratorium,,2026-06-16,,"Webster County, MO",moratorium,,,MO,Webster County,county,,,,active,,,,,,,,,,,"moratorium-nation:mo-webster-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",,,,,,coverage_audit_worklist,,,2,,29225
Delta County moratorium,,2026-07-07,,"Delta County, CO",moratorium,,,CO,Delta County,county,,,,active,,,,,,,,,,,"moratorium-nation:co-delta-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",,,,,,coverage_audit_worklist,,,2,,08029
Jefferson County moratorium,,2026-05-19,,"Jefferson County, CO",moratorium,,,CO,Jefferson County,county,,,,active,,,,,,,,,,,"moratorium-nation:co-jefferson-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",,,,,,coverage_audit_worklist,,,2,,08059
Le Sueur County moratorium,,2026-05-26,,"Le Sueur County, MN",moratorium,,,MN,Le Sueur County,county,,,,active,,,,,,,,,,,"moratorium-nation:mn-le-sueur-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",,,,,,coverage_audit_worklist,,,2,,27079
Skagit County moratorium,,2026-06-01,,"Skagit County, WA",moratorium,,,WA,Skagit County,county,,,,active,,,,,,,,,,,"moratorium-nation:wa-skagit-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",,,,,,coverage_audit_worklist,,,2,,53057
Boyle County moratorium,,2026-06-09,,"Boyle County, KY",moratorium,,,KY,Boyle County,county,,,,active,,,,,,,,,,,"moratorium-nation:ky-boyle-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",,,,,,coverage_audit_worklist,,,2,,21021
Edmonson County moratorium,,2026-06-08,,"Edmonson County, KY",moratorium,,,KY,Edmonson County,county,,,,active,,,,,,,,,,,"moratorium-nation:ky-edmonson-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",,,,,,coverage_audit_worklist,,,2,,21061
Nelson County moratorium,,2026-07-07,,"Nelson County, KY",moratorium,,,KY,Nelson County,county,,,,active,,,,,,,,,,,"moratorium-nation:ky-nelson-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",,,,,,coverage_audit_worklist,,,2,,21179
Chesterfield County moratorium,,2026-06-01,,"Chesterfield County, SC",moratorium,,,SC,Chesterfield County,county,,,,active,,,,,,,,,,,"moratorium-nation:sc-chesterfield-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",,,,,,coverage_audit_worklist,,,2,,45025
Green County moratorium,,2026-07-14,,"Green County, WI",moratorium,,,WI,Green County,county,,,,active,,,,,,,,,,,"moratorium-nation:wi-green-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",,,,,,coverage_audit_worklist,,,2,,55045
Monroe County moratorium,,2026-07-21,,"Monroe County, WI",moratorium,,,WI,Monroe County,county,,,,active,,,,,,,,,,,"moratorium-nation:wi-monroe-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",,,,,,coverage_audit_worklist,,,2,,55081
Audubon County moratorium,,2026-05-05,,"Audubon County, IA",moratorium,,,IA,Audubon County,county,,,,active,,,,,,,,,,,"moratorium-nation:ia-audubon-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",,,,,,coverage_audit_worklist,,,2,,19009
Des Moines County moratorium,,2026-05-19,,"Des Moines County, IA",moratorium,,,IA,Des Moines County,county,,,,active,,,,,,,,,,,"moratorium-nation:ia-des-moines-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",,,,,,coverage_audit_worklist,,,2,,19057
Lee County moratorium,,2026-06-16,,"Lee County, IA",moratorium,,,IA,Lee County,county,,,,active,,,,,,,,,,,"moratorium-nation:ia-lee-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",,,,,,coverage_audit_worklist,,,2,,19111
Palo Alto County moratorium,,2026-07-08,,"Palo Alto County, IA",moratorium,,,IA,Palo Alto County,county,,,,active,,,,,,,,,,,"moratorium-nation:ia-palo-alto-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",,,,,,coverage_audit_worklist,,,2,,19147
Plymouth County moratorium,,2026-06-16,,"Plymouth County, IA",moratorium,,,IA,Plymouth County,county,,,,active,,,,,,,,,,,"moratorium-nation:ia-plymouth-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",,,,,,coverage_audit_worklist,,,2,,19149
Sioux County moratorium,,2026-06-16,,"Sioux County, IA",moratorium,,,IA,Sioux County,county,,,,active,,,,,,,,,,,"moratorium-nation:ia-sioux-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",,,,,,coverage_audit_worklist,,,2,,19167
Cherry County moratorium,,2026-07-14,,"Cherry County, NE",moratorium,,,NE,Cherry County,county,,,,active,,,,,,,,,,,"moratorium-nation:ne-cherry-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",,,,,,coverage_audit_worklist,,,2,,31031
Wayne County moratorium,,2026-07-08,,"Wayne County, UT",moratorium,,,UT,Wayne County,county,,,,active,,,,,,,,,,,"moratorium-nation:ut-wayne-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",,,,,,coverage_audit_worklist,,,2,,49055
Washington County moratorium,,2026-06-30,,"Washington County, MD",moratorium,,,MD,Washington County,county,,,,active,,,,,,,,,,,"moratorium-nation:md-washington-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",,,,,,coverage_audit_worklist,,,2,,24043
Cherokee County moratorium,,,,"Cherokee County, NC",moratorium,,,NC,Cherokee County,county,,,,active,,,,,,,,,,,"https://www.law360.com/articles/2511658 (hawthorn-tva-review-2026-08-21: date and precise ordinance status uncertain across sources, see review note)",,,,,,coverage_audit_worklist,,,2,,37039
Pasquotank County moratorium,,2026-05-18,,"Pasquotank County, NC",moratorium,,,NC,Pasquotank County,county,,,,active,,,,,,,,,,,"moratorium-nation:nc-pasquotank-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",,,,,,coverage_audit_worklist,,,2,,37139
Barnes County moratorium,,2026-05-19,,"Barnes County, ND",moratorium,,,ND,Barnes County,county,,,,active,,,,,,,,,,,"moratorium-nation:nd-barnes-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",,,,,,coverage_audit_worklist,,,2,,38003
Geary County moratorium,,2026-06-22,,"Geary County, KS",moratorium,,,KS,Geary County,county,,,,active,,,,,,,,,,,"moratorium-nation:ks-geary-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",,,,,,coverage_audit_worklist,,,2,,20061
Cumberland County moratorium,,2026-06-15,,"Cumberland County, TN",moratorium,,,TN,Cumberland County,county,,,,active,,,,,,,,,,,"moratorium-nation:tn-cumberland-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",,,,,,coverage_audit_worklist,,,2,,47035
Hart County moratorium,,2026-05-26,,"Hart County, GA",moratorium,,,GA,Hart County,county,,,,active,,,,,,,,,,,"moratorium-nation:ga-hart-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",,,,,,coverage_audit_worklist,,,2,,13147
Paulding County moratorium,,2026-07-28,,"Paulding County, GA",moratorium,,,GA,Paulding County,county,,,,active,,,,,,,,,,,"moratorium-nation:ga-paulding-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",,,,,,coverage_audit_worklist,,,2,,13223
Miami County moratorium,,2026-05-04,,"Miami County, IN",moratorium,,,IN,Miami County,county,,,,active,,,,,,,,,,,"moratorium-nation:in-miami-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",,,,,,coverage_audit_worklist,,,2,,18103
