run_date,window_days,candidates,already_in_database,filtered_out_of_scope,headline_vocab_flags
2026-07-24,7,249,1,0,0
2026-07-24,7,249,1,0,0
2026-07-24,7,0,0,0,0
2026-07-25,7,483,3,0,0
2026-07-25,7,0,0,0,0
2026-07-26,7,317,0,0,0
2026-07-26,7,447,2,0,0
2026-07-27,7,410,3,0,1
2026-07-27,7,600,1,0,0
2026-07-27,7,83,0,0,0
2026-07-28,7,0,0,0,0
2026-07-28,7,294,1,0,1
2026-07-29,7,250,0,0,2
2026-07-29,7,489,0,0,2
2026-07-30,7,92,0,0,1
2026-07-30,7,250,0,0,2
2026-07-31,7,338,0,0,3
2026-07-31,7,358,5,0,2
2026-08-01,7,108,1,0,1
2026-08-01,7,247,3,0,0
2026-08-02,7,0,0,0,0
2026-08-02,7,0,0,0,0
2026-08-03,7,0,0,0,0
2026-08-03,7,497,8,0,3
2026-08-04,7,0,0,0,0
2026-08-04,7,0,0,0,0
2026-08-05,7,0,0,0,0
2026-08-05,7,352,3,0,1
2026-08-06,7,183,0,0,0
2026-08-06,7,0,0,0,0
2026-08-07,7,457,0,0,12
2026-08-07,7,247,0,0,10
2026-08-08,7,248,0,0,10
2026-08-08,7,249,0,0,3
2026-08-09,7,179,0,0,0
2026-08-09,7,372,0,0,12
2026-08-10,7,249,0,0,2
2026-08-10,7,246,0,0,6
2026-08-11,7,0,0,0,0
2026-08-11,7,0,0,0,0
2026-08-12,7,527,0,0,2
2026-08-12,7,250,0,0,0
2026-08-13,7,250,0,0,2
2026-08-13,7,634,0,0,6
2026-08-14,7,376,0,0,2
2026-08-14,7,0,0,0,0
2026-08-15,7,388,0,0,6
2026-08-15,7,205,0,0,0
2026-08-16,7,389,0,0,6
2026-08-16,7,249,0,0,6
2026-08-17,7,387,0,0,6
2026-08-17,7,177,0,0,0
2026-08-18,7,404,0,0,7
2026-08-18,7,357,0,0,6
2026-08-19,7,0,0,0,0
2026-08-19,7,166,0,0,2
2026-08-20,7,0,0,0,0
2026-08-20,7,248,0,0,0
2026-08-21,7,244,5,0,0
2026-08-21,7,0,0,0,0
2026-08-22,7,0,0,0,0
2026-08-22,7,145,7,0,3
2026-08-23,7,236,10,0,1
2026-08-23,7,238,11,0,0
2026-08-24,7,239,10,0,1
2026-08-24,7,231,15,0,1
2026-08-25,7,0,0,0,0
2026-08-25,7,228,22,0,0
2026-08-26,7,240,6,0,1
2026-08-26,7,412,24,0,1
2026-08-27,7,235,7,0,0,5
2026-08-27,7,618,46,0,1,10
2026-08-28,7,576,23,0,1,5
2026-08-28,7,0,0,0,0,0
2026-08-29,7,240,9,0,0,1
2026-08-29,7,227,17,0,1,5
2026-08-30,7,297,15,0,0,2
2026-08-30,7,285,23,0,1,4
2026-08-31,7,345,35,0,0,9
2026-08-31,7,402,35,0,1,6
2026-09-01,7,345,31,0,0,10
2026-09-01,7,227,22,0,0,8
2026-09-02,7,380,32,0,1,4
2026-09-02,7,367,47,0,1,5
2026-09-03,7,370,34,0,1,5
2026-09-03,7,359,56,0,2,1
2026-09-04,7,285,19,0,1,3
2026-09-04,7,180,30,0,0,1
2026-09-05,7,0,0,0,0,0
