opp_id,project_id,match_probability,match_weight,rule_status,manual_action,opp_incident,opp_date,opp_state,project_name,gamma_state,gamma_county,gamma_city,gamma_name_norm,gamma_company_tokens,gamma_name_tokens,gamma_lat_lon,gamma_name_in_summary
opp_8674462ce4e8,prj_110,1.000000,40.8168,rule_confirmed,,Pacific,2026-02-25,MO,Meramec Valley Technology Park,1,1,3,4,2,3,2,1
opp_33aa29e22df3,prj_311,1.000000,39.6863,rule_confirmed,,Harwood,2025-08-25,ND,Polaris Forge 2,1,1,3,4,2,2,2,1
opp_8ea61ba234be,prj_258,1.000000,39.4161,rule_confirmed,,North Coventry Township,2026-02-23,PA,North Coventry Township Data Center,1,1,3,3,2,3,3,1
opp_dddb87d7233c,prj_120,1.000000,39.4161,rule_confirmed,,East Greenwich Township,2026-04-21,NJ,East Greenwich Township Data Center,1,1,3,3,2,3,3,1
opp_6719b620e318,prj_265,1.000000,39.4161,rule_confirmed,,South Annville Township,2026-05-13,PA,South Annville Township Data Center,1,1,3,3,2,3,3,1
opp_65a4db626460,prj_297,1.000000,38.0306,rule_confirmed,,Chattanooga (Hamilton County),2026-01-01,TN,Jailhouse Studios,1,1,1,4,2,2,3,1
opp_1704aa7c2eb5,prj_12,1.000000,36.0373,rule_confirmed,,Little Rock,2025-06-01,AR,Project Leo,1,1,3,4,2,1,2,1
opp_43db08a54206,prj_2,1.000000,36.0373,rule_confirmed,,Bessemer,2026-07-13,AL,Project Marvel,1,1,3,4,2,1,2,1
opp_24a68fe9d847,prj_232,1.000000,35.3348,rule_confirmed,,Dickson City,2026-02-13,PA,Dickson City Data Centers,1,1,3,2,2,2,3,1
opp_77983677a720,prj_222,1.000000,35.3348,rule_confirmed,,Hollenback Township,2026-03-02,PA,Hollenback Township Data Center Development Zoning Application,1,1,3,2,2,2,3,1
opp_7f43ef5e9f13,prj_237,1.000000,35.3348,rule_confirmed,,Ransom Township,2026-02-27,PA,Ransom Township Data Center,1,1,3,2,2,2,3,1
opp_d7b014beb2ea,prj_268,1.000000,35.3348,rule_confirmed,,Watts Township,2026-04-01,PA,Watts Township Data Center,1,1,3,2,2,2,3,1
opp_a7fbd0f64633,prj_249,1.000000,34.9673,rule_confirmed,,Dorrance Township,2026-05-06,PA,Dorrance Township Data Center Zoning Ordinance Challenge,1,1,3,2,2,2,2,1
opp_945600d23a7d,prj_249,1.000000,34.9673,rule_confirmed,,Dorrance Township,2025-08-11,PA,Dorrance Township Data Center Zoning Ordinance Challenge,1,1,3,2,2,2,2,1
opp_817a1cbf96bd,prj_75,1.000000,34.7752,rule_confirmed,,Van Buren Township,2026-06-17,MI,Project Cannoli,1,1,3,4,1,1,3,1
opp_84d00120eb6f,prj_13,1.000000,34.4077,rule_confirmed,,West Memphis,2025-10-01,AR,Project Pyramid,1,1,3,4,1,1,2,1
opp_448c558fcee6,prj_115,1.000000,34.0141,rule_confirmed,,St. Charles (Permanent Ban),2026-05-19,MO,Project Cumulus,1,1,1,4,2,1,2,1
opp_702f24f08f0d,prj_36,1.000000,33.0515,rule_confirmed,,Franklin Township (Indianapolis),2025-09-22,IN,Project Flo,1,1,1,4,1,1,2,2
opp_7612f64a4a41,prj_238,1.000000,32.9826,rule_confirmed,,South Whitehall Township,2026-01-20,PA,Atlas Industrial / South Whitehall Township Hyperscale Data Center Campus,1,1,3,0,2,3,3,1
opp_708e57f81080,prj_30,1.000000,32.7520,rule_confirmed,,New Carlisle (Olive Township),2026-07-08,IN,Project Rainier,1,1,1,4,1,1,3,1
opp_a7143b0091c7,prj_193,1.000000,32.1746,rule_confirmed,,Mt. Orab,2026-02-04,OH,Mt. Orab Mega Site,1,1,3,4,1,3,3,0
opp_c511720b75b1,prj_240,1.000000,31.7094,rule_confirmed,,Shippingport,2026-01-28,PA,Project Phoenix,1,1,3,4,0,1,3,1
opp_20b5ac3fa00e,prj_73,1.000000,31.6859,rule_confirmed,,Westfield,2024-11-01,MA,Westfield Data Center Campus,1,1,3,2,2,1,3,1
opp_8f0f994b05eb,prj_275,1.000000,31.6859,rule_confirmed,,Smithfield,2026-04-01,RI,Smithfield Data Center,1,1,3,2,2,1,3,1
opp_dcf38bd69fc7,prj_190,1.000000,31.6859,rule_confirmed,,Urbana,2026-06-17,OH,Urbana Data Center,1,1,3,2,2,1,3,1
opp_db269fd6710c,prj_35,1.000000,31.6096,rule_confirmed,,Hancock County,2025-06-01,IN,Hancock County MegaSite,1,1,0,4,1,3,2,2
opp_6b3fb33f15de,prj_308,1.000000,31.4845,rule_confirmed,,Sioux Falls,2025-12-01,SD,Gemini Sioux Falls Data Center,1,1,3,0,2,2,2,1
opp_ee3e55ec561f,prj_321,1.000000,31.3101,rule_confirmed,,City of Peculiar,2024-10-01,MO,Harper Road Technology Park,1,1,0,4,1,3,3,1
opp_b153f592db90,prj_331,1.000000,30.6394,rule_confirmed,,Howell Township,2025-11-20,MI,Howell Township Data Center (Project Splitrock),1,1,3,2,0,2,3,1
opp_7d9978b076ae,prj_119,1.000000,30.6394,rule_confirmed,,New Brunswick,2026-02-19,NJ,New Brunswick Data Center,1,1,3,2,0,2,3,1
opp_f60e4a1ca6fa,prj_101,1.000000,30.5379,rule_confirmed,,Joplin,2025-10-01,MO,Wildwood Ranch AI Data Center,1,1,3,3,2,2,2,0
opp_f05c5219c03a,prj_246,1.000000,30.2719,rule_confirmed,,Tobyhanna Township,2026-03-03,PA,Tobyhanna Township / Blakeslee Data Center,1,1,3,2,0,2,2,1
