person_key,person_name,person_id,level,state,fips,county_name,office,chamber,office_class,party,n_positions,n_directional,n_bills,supported_restriction,opposed_restriction,supported_industry_incentive,opposed_industry_incentive,supported_disclosure,opposed_disclosure,sponsored_restriction,sponsored_industry_incentive,sponsored_disclosure,recorded_vote_no_direction,did_not_vote,stated_priority,record,record_basis,first_evidence,last_evidence,example_source_url
ocd-person/c6a181c7-b58e-4c2a-aa2d-9ca31fc6548f|AZ,Aaron Márquez,ocd-person/c6a181c7-b58e-4c2a-aa2d-9ca31fc6548f,state,AZ,,,State legislator,lower,legislator,,8,4,5,0,4,0,0,0,0,0,0,0,4,0,0,consistently_industry_side,4 of 4 on the industry side,2026-02-23,2026-06-01,https://openstates.org/az/bills/57th-2nd-regular/HB2756/
ocd-person/102ffcb1-3028-401f-b74f-6f45db25e05e|AZ,Alexander Kolodin,ocd-person/102ffcb1-3028-401f-b74f-6f45db25e05e,state,AZ,,,State legislator,lower,legislator,,8,4,5,2,2,0,0,0,0,0,0,0,4,0,0,mixed,"2 restriction side, 2 industry side",2026-02-23,2026-06-01,https://openstates.org/az/bills/57th-2nd-regular/HB2756/
ocd-person/6dba6afa-b274-4273-b8c6-270d27214eee|AZ,Alma Hernandez,ocd-person/6dba6afa-b274-4273-b8c6-270d27214eee,state,AZ,,,State legislator,lower,legislator,,8,3,5,1,2,0,0,0,0,0,0,0,4,1,0,mixed,"1 restriction side, 2 industry side",2026-02-23,2026-06-01,https://openstates.org/az/bills/57th-2nd-regular/HB2756/
ocd-person/87e6206a-c16e-4038-a86f-0d5c88b993e3|AZ,Analise Ortiz,ocd-person/87e6206a-c16e-4038-a86f-0d5c88b993e3,state,AZ,,,State legislator,upper,legislator,,4,1,3,1,0,0,0,0,0,0,0,0,3,0,0,single_act,one directional act on file,2026-04-08,2026-06-10,https://openstates.org/az/bills/57th-2nd-regular/HB2795/
ocd-person/2e9c0206-d392-48a3-a599-7f6d226527b7|AZ,Anna Abeytia,ocd-person/2e9c0206-d392-48a3-a599-7f6d226527b7,state,AZ,,,State legislator,lower,legislator,,8,4,5,0,4,0,0,0,0,0,0,0,4,0,0,consistently_industry_side,4 of 4 on the industry side,2026-02-23,2026-06-01,https://openstates.org/az/bills/57th-2nd-regular/HB2756/
ocd-person/81d12f3a-b635-4111-be8d-a71d2f7565f2|AZ,Betty J Villegas,ocd-person/81d12f3a-b635-4111-be8d-a71d2f7565f2,state,AZ,,,State legislator,lower,legislator,,8,4,5,0,4,0,0,0,0,0,0,0,4,0,0,consistently_industry_side,4 of 4 on the industry side,2026-02-23,2026-06-01,https://openstates.org/az/bills/57th-2nd-regular/HB2756/
ocd-person/77be0e97-4c93-4332-a9f9-9348560fdf98|AZ,Beverly Pingerelli,ocd-person/77be0e97-4c93-4332-a9f9-9348560fdf98,state,AZ,,,State legislator,lower,legislator,,8,4,5,3,1,0,0,0,0,0,0,0,4,0,0,mixed,"3 restriction side, 1 industry side",2026-02-23,2026-06-01,https://openstates.org/az/bills/57th-2nd-regular/HB2756/
ocd-person/5425612b-fb2c-4857-8f75-31523345eb2b|AZ,Brian Fernandez,ocd-person/5425612b-fb2c-4857-8f75-31523345eb2b,state,AZ,,,State legislator,upper,legislator,,4,1,3,1,0,0,0,0,0,0,0,0,3,0,0,single_act,one directional act on file,2026-04-08,2026-06-10,https://openstates.org/az/bills/57th-2nd-regular/HB2795/
ocd-person/c13f449f-0423-4ad5-836b-69913aad6600|AZ,Brian Garcia,ocd-person/c13f449f-0423-4ad5-836b-69913aad6600,state,AZ,,,State legislator,lower,legislator,,8,4,5,0,4,0,0,0,0,0,0,0,4,0,0,consistently_industry_side,4 of 4 on the industry side,2026-02-23,2026-06-01,https://openstates.org/az/bills/57th-2nd-regular/HB2756/
ocd-person/051cb7cf-e965-49a7-844a-a8830447df0c|AZ,Carine Werner,ocd-person/051cb7cf-e965-49a7-844a-a8830447df0c,state,AZ,,,State legislator,upper,legislator,,4,1,3,1,0,0,0,0,0,0,0,0,3,0,0,single_act,one directional act on file,2026-04-08,2026-06-10,https://openstates.org/az/bills/57th-2nd-regular/HB2795/
ocd-person/6241112b-910b-4ad8-9c0d-9caad318874f|AZ,Catherine Miranda,ocd-person/6241112b-910b-4ad8-9c0d-9caad318874f,state,AZ,,,State legislator,upper,legislator,,4,1,3,1,0,0,0,0,0,0,0,0,3,0,0,single_act,one directional act on file,2026-04-08,2026-06-10,https://openstates.org/az/bills/57th-2nd-regular/HB2795/
ocd-person/b1da595a-8c97-42f8-ae58-694c17efa3f3|AZ,Cesar Aguilar,ocd-person/b1da595a-8c97-42f8-ae58-694c17efa3f3,state,AZ,,,State legislator,lower,legislator,,8,4,5,0,4,0,0,0,0,0,0,0,4,0,0,consistently_industry_side,4 of 4 on the industry side,2026-02-23,2026-06-01,https://openstates.org/az/bills/57th-2nd-regular/HB2756/
ocd-person/9128a4e7-1464-483c-8642-0d878da05619|AZ,Chris Lopez,ocd-person/9128a4e7-1464-483c-8642-0d878da05619,state,AZ,,,State legislator,lower,legislator,,8,4,5,4,0,0,0,0,0,0,0,0,4,0,0,consistently_restrictive,4 of 4 on the restriction side,2026-02-23,2026-06-01,https://openstates.org/az/bills/57th-2nd-regular/HB2756/
ocd-person/b2ed48a3-b9ae-42be-a2c8-22a47477acfd|AZ,Christopher Mathis,ocd-person/b2ed48a3-b9ae-42be-a2c8-22a47477acfd,state,AZ,,,State legislator,lower,legislator,,8,4,5,0,4,0,0,0,0,0,0,0,4,0,0,consistently_industry_side,4 of 4 on the industry side,2026-02-23,2026-06-01,https://openstates.org/az/bills/57th-2nd-regular/HB2756/
ocd-person/367990a3-3e02-455b-97b3-6b8dc34d9bbf|AZ,Cody Reim,ocd-person/367990a3-3e02-455b-97b3-6b8dc34d9bbf,state,AZ,,,State legislator,lower,legislator,,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,single_act,one directional act on file,2026-06-01,2026-06-01,https://openstates.org/az/bills/57th-2nd-regular/HB2756/
ocd-person/0a4e4b0a-a16e-475b-8aa1-75088657d8c1|AZ,Consuelo Hernandez,ocd-person/0a4e4b0a-a16e-475b-8aa1-75088657d8c1,state,AZ,,,State legislator,lower,legislator,,8,2,5,2,0,0,0,0,0,0,0,0,1,5,0,consistently_restrictive,2 of 2 on the restriction side,2026-02-23,2026-06-01,https://openstates.org/az/bills/57th-2nd-regular/HB2756/
ocd-person/263ebe9c-566a-4b5c-bfbc-ea1f1d0dc3f2|AZ,David C. Farnsworth,ocd-person/263ebe9c-566a-4b5c-bfbc-ea1f1d0dc3f2,state,AZ,,,State legislator,upper,legislator,,4,1,3,1,0,0,0,0,0,0,0,0,3,0,0,single_act,one directional act on file,2026-04-08,2026-06-10,https://openstates.org/az/bills/57th-2nd-regular/HB2795/
ocd-person/51520de4-0e87-475b-91d2-99aa18addf72|AZ,David Gowan,ocd-person/51520de4-0e87-475b-91d2-99aa18addf72,state,AZ,,,State legislator,upper,legislator,,4,1,3,1,0,0,0,0,0,0,0,0,3,0,0,single_act,one directional act on file,2026-04-08,2026-06-10,https://openstates.org/az/bills/57th-2nd-regular/HB2795/
ocd-person/6e8f2c0d-c9d3-4cb5-ae59-5264cb6d61a7|AZ,David Livingston,ocd-person/6e8f2c0d-c9d3-4cb5-ae59-5264cb6d61a7,state,AZ,,,State legislator,lower,legislator,,8,3,5,3,0,0,0,0,0,0,0,0,4,1,0,consistently_restrictive,3 of 3 on the restriction side,2026-02-23,2026-06-01,https://openstates.org/az/bills/57th-2nd-regular/HB2756/
ocd-person/8bc6f450-7fc4-4258-bf5a-86465e85b9fb|AZ,"David Marshall, Sr.",ocd-person/8bc6f450-7fc4-4258-bf5a-86465e85b9fb,state,AZ,,,State legislator,lower,legislator,,7,3,5,3,0,0,0,0,0,0,0,0,4,0,0,consistently_restrictive,3 of 3 on the restriction side,2026-02-23,2026-03-03,https://openstates.org/az/bills/57th-2nd-regular/HB2756/
ocd-person/f0175b18-52a0-407d-af38-c1fe118e209d|AZ,Denise “Mitzi” Epstein,ocd-person/f0175b18-52a0-407d-af38-c1fe118e209d,state,AZ,,,State legislator,upper,legislator,,4,1,3,0,1,0,0,0,0,0,0,0,3,0,0,single_act,one directional act on file,2026-04-08,2026-06-10,https://openstates.org/az/bills/57th-2nd-regular/HB2795/
ocd-person/93db82ca-c8b1-43e4-98ce-ba52f4d0f635|AZ,Elda Luna-Nájera,ocd-person/93db82ca-c8b1-43e4-98ce-ba52f4d0f635,state,AZ,,,State legislator,lower,legislator,,8,4,5,2,2,0,0,0,0,0,0,0,4,0,0,mixed,"2 restriction side, 2 industry side",2026-02-23,2026-06-01,https://openstates.org/az/bills/57th-2nd-regular/HB2756/
ocd-person/e1cd66fa-a0de-45fd-ae53-a4db7d178d21|AZ,Eva Diaz,ocd-person/e1cd66fa-a0de-45fd-ae53-a4db7d178d21,state,AZ,,,State legislator,upper,legislator,,4,1,3,0,1,0,0,0,0,0,0,0,3,0,0,single_act,one directional act on file,2026-04-08,2026-06-10,https://openstates.org/az/bills/57th-2nd-regular/HB2795/
ocd-person/36cc8d88-e944-4889-b8ab-cf5610f3f03e|AZ,Flavio Bravo,ocd-person/36cc8d88-e944-4889-b8ab-cf5610f3f03e,state,AZ,,,State legislator,upper,legislator,,4,1,3,1,0,0,0,0,0,0,0,0,1,2,0,single_act,one directional act on file,2026-04-08,2026-06-10,https://openstates.org/az/bills/57th-2nd-regular/HB2795/
ocd-person/faca0001-6681-450b-9577-6185f4f49a3d|AZ,Frank Carroll,ocd-person/faca0001-6681-450b-9577-6185f4f49a3d,state,AZ,,,State legislator,upper,legislator,,4,1,3,1,0,0,0,0,0,0,0,0,3,0,0,single_act,one directional act on file,2026-04-08,2026-06-10,https://openstates.org/az/bills/57th-2nd-regular/HB2795/
