position_id,level,state,fips,county_name,jurisdiction,person_name,person_id,office,office_class,party,stance,stance_basis,bill_key,bill_identifier,vote_option,vote_result,vote_motion,vote_chamber,evidence_date,evidence_summary,source_url,confidence,qc_status,qc_flags
body-9c2d0e228f11,body,AK,,,Alaska (statewide),,,State legislature,state_legislature,,governing_body_action,governing_body_action,,,,dead,legislation,,2026-01-01,Alaska HB 259 (introduced January 2026 by Rep. Donna Mears) would require large energy facilities (peak demand ≥20 MW) to enter community benefit agreements with the host municipality and pay for at least 80% of contracted power amount regardless of actual pur,https://www.adn.com/alaska-news/anchorage/2026/03/27/anchorage-assembly-preemptively-adopts-data-center-regulations/,tracker_coded,published,county_unresolved
body-733df1de5d66,body,AK,02020,Anchorage Municipality,Anchorage,,,City council,city_council,,governing_body_action,governing_body_action,,,,passed,zoning_restriction,,2026-03-27,"The Anchorage Assembly adopted Ordinance AO 2026-27 on March 27, 2026, establishing a new land use and permitting framework for data centers before receiving any large-scale applications. Data centers are defined as facilities requiring 20+ MW at peak operatio",https://www.dwt.com/blogs/energy--environmental-law-blog/2026/04/anchorage-adopts-data-center-framework,tracker_coded,published,
body-022766ba833d,body,AL,,,Alabama (statewide SB 270),,,State legislature,state_legislature,,governing_body_action,governing_body_action,,,,passed,legislation,,2026-02-05,"Alabama Senate Bill 270 (Alabama Affordability Protection Act), sponsored by Sen. Lance Bell, requires the Public Service Commission to review contracts between utilities and data centers using 150+ MW to ensure costs are not passed to residential ratepayers. ",https://aldailynews.com/lawmakers-aim-to-address-affordability-with-restrictions-on-power-providers-changes-to-utility-governance/,tracker_coded,published,county_unresolved
body-59022c5ade98,body,AL,,,Alabama,,,State legislature,state_legislature,,governing_body_action,governing_body_action,,,,passed,legislation,,2026-02-12,"Alabama HB 399, sponsored by Rep. Hulsey (R-Helena), is the House companion to SB 265. Limits tax abatements for data center projects over $200M to 20 years, down from the current 30-year maximum. Requires data centers consuming 100+ MW to pay state sales and ",https://legiscan.com/AL/bill/HB399/2026,tracker_coded,published,county_unresolved
body-3d4d6e747f9f,body,AL,01117,Shelby County,Columbiana (Shelby County),,,City council,city_council,,governing_body_action,governing_body_action,,,,passed,zoning_restriction,,2026-02-17,"Columbiana City Council unanimously approved a new ordinance imposing zoning restrictions on future data centers, becoming the first Alabama municipality to pass such restrictions ($200M). Requirements include: 60 ft max height (including rooftop equipment), 3",https://www.wbrc.com/2026/02/18/columbiana-passes-new-zoning-restrictions-data-centers/,tracker_coded,published,
body-5b227a0016d7,body,AL,01073,Jefferson County,Birmingham,,,City council,city_council,,governing_body_action,governing_body_action,,,,passed,moratorium,,2026-03-03,"Birmingham City Council unanimously approved a 270-day moratorium on applications for new or expanding hyperscale data centers on March 3, 2026. Facilities under 20 megawatts are exempt. Two existing projects (Nebius Oxmoor AI Factory at 300MW and one other) t",https://www.birminghamal.gov/news/city-birmingham-proposes-temporary-pause-new-data-center-applications,tracker_coded,published,
body-22dc4eb99c24,body,AL,,,Alabama (Statewide),,,State legislature,state_legislature,,governing_body_action,governing_body_action,,,,passed,legislation,,2026-03-13,"The Alabama Senate passed SB270 on March 13, 2026, sponsored by Sen. Lance Bell (R-Pell City). The bill requires the Public Service Commission to review contracts between utilities and large-scale data centers (150+ MW) to ensure they are 'in the public intere",https://www.alreporter.com/2026/03/13/alabama-senate-passes-bill-to-rein-in-data-center-tax-incentives/,tracker_coded,published,county_unresolved
body-54918eb57246,body,AL,01043,Cullman County,Cullman City Council,,,City council,city_council,,governing_body_action,governing_body_action,,,,passed,moratorium,,2026-06-22,Cullman City Council unanimously passed a 1-year moratorium on data centers and directed staff to draft a potential outright prohibition.,https://www.wbrc.com/2026/06/26/cullman-city-council-unanimously-passes-12-month-temporary-moratorium-data-centers/,tracker_coded,published,
body-2da8384ad8fe,body,AL,01073,Jefferson County,Bessemer,,,City council,city_council,,governing_body_action,governing_body_action,,,,approved,zoning_restriction,,2026-07-13,"Bessemer City Council voted 5-2 on November 18, 2025 to approve the Project Marvel data center on ~700 acres. The decision followed extensive community opposition. [Update 2026-07-14]: The Southern Environmental Law Center and Alabama Rivers Alliance obtained ",https://insideclimatenews.org/news/25092025/naacp-opposes-massive-alabama-data-center/,tracker_coded,published,
body-2e7b2af7e481,body,AR,05009,Boone County,City of Harrison,,,City council,city_council,,governing_body_action,governing_body_action,,,,cancelled,moratorium,,2023-05-25,"Harrison passed a moratorium on data centers and crypto mining on May 25, 2023 after hundreds of residents objected to a Green Digital LLC crypto facility (a subsidiary with Chinese Communist Party ownership ties). The moratorium was actively removed on Nov 28","https://harrisondaily.com/stories/more-about-moratorium-on-crypto,204197",tracker_coded,published,
