fips,county_name,state,jurisdiction,name,office,office_class,party,term_start,term_end,contact_email,contact_phone,contact_address,relevance_note,relevance_source_url,source_url
04013,"Maricopa County, Arizona",AZ,Maricopa County Board of Supervisors,Kate Brophy McGee,"Chair, Maricopa County Board of Supervisors (Supervisor, District 3)",county_board,Republican,2026-01-05,n.a.,n.a.,602-506-7563,"301 W Jefferson, 10th Floor, Phoenix, AZ 85003","Chair's 2026 agenda identifies county responsibility for ensuring developments have necessary water, roads and drainage, plus a streamlined and centralized permitting process, a modernized zoning ordinance, and Infrastructure Readiness Assessments for unincorporated areas.",https://www.maricopa.gov/CivicAlerts.aspx?AID=3564&ARC=5911,https://www.maricopa.gov/CivicAlerts.aspx?AID=3564&ARC=5911
04013,"Maricopa County, Arizona",AZ,Maricopa County government,Jen Pokorski,County Manager,county_admin,n.a.,2023,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,https://www.maricopa.gov/5413/Meet-Your-County-Manager
04013,"Maricopa County, Arizona",AZ,City of Phoenix,Kate Gallego,Mayor of Phoenix,mayor,nonpartisan,n.a.,n.a.,mayor.gallego@phoenix.gov,602-262-7111,n.a.,n.a.,n.a.,https://www.phoenix.gov/administration/mayor.html
06037,"Los Angeles County, California",CA,Los Angeles County Board of Supervisors,Hilda L. Solis,"Chair, Board of Supervisors (First District Supervisor)",county_board,nonpartisan,2014,2026-12-07,n.a.,(213) 974-4111,"500 West Temple Street, Los Angeles, CA 90012","On April 14, 2026, the Los Angeles County Board of Supervisors adopted a motion directing the Department of Regional Planning and Department of Public Health to provide findings on health, environmental and safety impacts of data centers and on impacts to electrical and water resources, and recommendations including code amendments for data center developments in unincorporated Los Angeles County.",https://planning.lacounty.gov/long-range-planning/data-centers/,https://file.lacounty.gov/SDSInter/bos/sop/transcripts/1208103_042826.pdf
06037,"Los Angeles County, California",CA,Los Angeles County,Joseph M. Nicchitta,Chief Executive Officer of Los Angeles County,county_admin,n.a.,2026,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,https://ceo.lacounty.gov/meet-joseph-m-nicchitta/
06037,"Los Angeles County, California",CA,City of Los Angeles,Karen Bass,Mayor,mayor,n.a.,2022-12-11,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,https://mayor.lacity.gov/
06085,"Santa Clara County, California",CA,Santa Clara County Board of Supervisors,Otto Lee,"Board President; Member, Board of Supervisors, District 3",county_board,nonpartisan,n.a.,n.a.,n.a.,(408) 299-5030,"County of Santa Clara Board of Supervisors, 70 West Hedding Street, East Wing, 10th Floor, San Jose, CA 95110","The Board of Supervisors has adopted policy and guideline documents governing how development occurs on private land throughout unincorporated Santa Clara County, implementing the County General Plan.",https://plandev.santaclaracounty.gov/services/planning-services/policies-and-guidelines,https://vote.santaclaracounty.gov/board-supervisors-district-3
06085,"Santa Clara County, California",CA,County of Santa Clara,James R. Williams,County Executive,county_admin,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,https://ceo.santaclaracounty.gov/home
06085,"Santa Clara County, California",CA,City of San Jose,Matt Mahan,Mayor,mayor,nonpartisan,n.a.,2028-12-31,n.a.,408-535-4800,"200 E. Santa Clara St., San Jose, CA 95113",n.a.,n.a.,https://www.sanjoseca.gov/your-government/departments-offices/mayor-and-city-council
13121,"Fulton County, Georgia",GA,Fulton County Board of Commissioners,Robb Pitts,"Chairman, Fulton County Board of Commissioners",county_board,n.a.,2023-01-01,2026-12-31,n.a.,n.a.,n.a.,"At its August 5, 2026 regular meeting the Fulton County Board of Commissioners approved a resolution opposing tax abatements or other financial incentives from any development authority within Fulton County for data center projects and urging the Development Authority of Fulton County to decline such incentives; the same county page states zoning and land use decisions for data centers rest with the 15 cities within Fulton County.",https://www.fultoncountyga.gov/News/2026/08/10/Fulton-County-Opposes-Local-Incentives-For-Data-Centers,https://www.fultoncountyga.gov/commissioners/robb-pitts
13121,"Fulton County, Georgia",GA,"Fulton County, Georgia","Richard ""Dick"" Anderson",County Manager,county_admin,n.a.,2015-03,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,https://www.fultoncountyga.gov/inside-fulton-county/county-manager-and-team/county-manager
13121,"Fulton County, Georgia",GA,City of Atlanta,Andre Dickens,Mayor,mayor,n.a.,2022,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,https://www.atlantaga.gov/government/mayor-s-office/meet-the-mayor
17031,"Cook County, Illinois",IL,Cook County Board of Commissioners,Toni Preckwinkle,"President, Cook County Board of Commissioners",county_board,n.a.,2010,2026-12-07,n.a.,(312) 603-4600,n.a.,"The President presides over meetings of the County Board, directly supervises departments providing services to residents, prepares and submits the annual county budget, and appoints members of boards and commissions with Board consent.",https://www.cookcountyil.gov/agency/office-president,https://www.cookcountyil.gov/all-people/toni-preckwinkle
