recheck_priority,priority_reason,State,County,fips,Incident,Date,days_stale,threshold_days,overdue_ratio,qc_mechanism,status_clean,outcome_defensible,county_label,label_moving,project_id,Source URL
1,restrictive instrument past its threshold in a county not yet labelled enacted; a confirmed enactment moves the county label,TX,Tarrant County,48439,Fort Worth,2025-01-01,606,180,3.37,conditional_zoning,pending,pending,0,1,fort_worth_tx,https://fortworthreport.org/2026/02/11/10b-data-center-hits-wall-after-fort-worth-leaders-cite-resources-land-usage-concerns/
1,restrictive instrument past its threshold in a county not yet labelled enacted; a confirmed enactment moves the county label,VA,Prince William County,51153,Prince William County (Ashton/Amazon),2025-01-08,599,180,3.33,conditional_zoning,pending,mixed,0,1,prince_william_county_va,https://www.datacenterdynamics.com/en/news/prince-william-county-supervisors-shelve-amazon-data-center-proposal-indefinitely/
1,restrictive instrument past its threshold in a county not yet labelled enacted; a confirmed enactment moves the county label,VA,Orange County,51137,Orange County,2025-09-01,363,180,2.02,conditional_zoning,approved,mixed,0,1,orange_county_va,https://www.pecva.org/region/orange/orange-county-proposes-new-technology-zoning-district/
1,restrictive instrument past its threshold in a county not yet labelled enacted; a confirmed enactment moves the county label,TX,Bastrop County,48021,Bastrop County (Cedar Creek),2026-01-01,241,120,2.01,moratorium,active,pending,0,1,bastrop_county_tx,https://communityimpact.com/austin/bastrop-cedar-creek/development/2025/08/01/data-center-slated-for-construction-in-cedar-creek/
1,restrictive instrument past its threshold in a county not yet labelled enacted; a confirmed enactment moves the county label,VA,Albemarle County,51003,Albemarle County,2025-10-01,333,180,1.85,conditional_zoning,pending,mixed,0,1,albemarle_county_va,https://www.crozetgazette.com/2025/10/03/county-supervisors-consider-data-center-regulations/
1,restrictive instrument past its threshold in a county not yet labelled enacted; a confirmed enactment moves the county label,KS,Miami County,20121,Osawatomie,2026-02-18,193,120,1.61,moratorium,active,pending,0,1,osawatomie_ks,https://www.kshb.com/news/local-news/kansas/miami-county/rural-miami-county-kansas-residents-respond-to-1-billion-data-center-proposal
1,restrictive instrument past its threshold in a county not yet labelled enacted; a confirmed enactment moves the county label,TN,Moore County,47127,Moore County,2026-03-01,182,120,1.52,moratorium,pending,pending,0,1,moore_county_tn,https://mcobserver.news/news/metro-council-to-consider-data-center-moratorium/
1,restrictive instrument past its threshold in a county not yet labelled enacted; a confirmed enactment moves the county label,MI,Delta County,26041,Delta County,2026-03-03,180,120,1.5,moratorium,pending,pending,0,1,delta_county_mi,https://www.uppermichiganssource.com/2026/03/03/delta-county-could-prevent-data-center-development-year/
1,restrictive instrument past its threshold in a county not yet labelled enacted; a confirmed enactment moves the county label,MI,Huron County,26063,Huron County,2026-04-01,151,120,1.26,moratorium,pending,pending,0,1,huron_county_mi,https://writing.strisker.com/data-centers-daily-notes-april-2-2026/
1,restrictive instrument past its threshold in a county not yet labelled enacted; a confirmed enactment moves the county label,AL,Talladega County,01121,Childersburg,2026-01-23,219,180,1.22,conditional_zoning,pending,advanced_unverified,0,1,childersburg_al,https://insideclimatenews.org/news/23012026/this-small-alabama-town-was-part-of-the-manhattan-project-now-it-may-host-a-hyperscale-data-center/
1,restrictive instrument past its threshold in a county not yet labelled enacted; a confirmed enactment moves the county label,OH,Portage County,39133,Ravenna,2026-04-10,142,120,1.18,moratorium,pending,pending,0,1,ravenna_oh,https://theportager.com/ravenna-city-council-rushes-to-block-potential-data-center-proposal
1,restrictive instrument past its threshold in a county not yet labelled enacted; a confirmed enactment moves the county label,IN,DeKalb County,18033,DeKalb County (Auburn),2026-04-14,138,120,1.15,moratorium,pending,pending,0,1,dekalb_county_in,https://www.kpcnews.com/thestar/article_a68d5dcb-09aa-46bf-9158-a17661e990e6.html
1,restrictive instrument past its threshold in a county not yet labelled enacted; a confirmed enactment moves the county label,NC,Harnett County,37085,Harnett County,2026-04-21,131,120,1.09,moratorium,pending,pending,0,1,harnett_county_nc,https://sandhills.news/2026/04/21/harnett-moratorium-on-data-centers-public-hearing-scheduled/
1,restrictive instrument past its threshold in a county not yet labelled enacted; a confirmed enactment moves the county label,VA,New Kent County,51127,New Kent County,2026-02-17,194,180,1.08,conditional_zoning,pending,pending,0,1,new_kent_county_va,https://www.newkent-va.us/m/NewsFlash/Home/Detail/538
1,restrictive instrument past its threshold in a county not yet labelled enacted; a confirmed enactment moves the county label,FL,Polk County,12105,Fort Meade (Polk County),2026-02-25,186,180,1.03,conditional_zoning,approved,pending,0,1,fort_meade_fl,https://www.fox13news.com/news/residents-fort-meade-protest-proposed-data-center-developers-respond-questions
1,restrictive instrument past its threshold in a county not yet labelled enacted; a confirmed enactment moves the county label,NC,Brunswick County,37019,Leland,2026-02-27,184,180,1.02,conditional_zoning,pending,pending,0,1,leland_nc,https://portcitydaily.com/latest-news/2026/02/27/leland-braces-for-ai-surge-with-strict-proposed-data-center-rules/
