action,state,county,fips,in_frame_basis,census_status,census_date,gap_class,label_check,model_label,label_divergence,tracker_restrictive_records,tracker_nonterminal_records,stale_nonterminal_records,latest_tracker_date,adjacency_priority,enacted_neighbors,census_source
ingest_missing_census_enacted,NC,Cherokee County,37039,state_expansion,active,,missing,label_false_negative,0,0,0,0,0,,,,"https://www.law360.com/articles/2511658 (hawthorn-tva-review-2026-08-21: date and precise ordinance status uncertain across sources, see review note)"
reverify_stale_nonterminal_restrictive,AL,Talladega County,01121,state_expansion,,,,,0,0,1,1,1,2026-01-23,4,1,
reverify_stale_nonterminal_restrictive,GA,Brooks County,13027,state_expansion,active,2026-02-02,covered_unconfirmed,agree,1,0,1,1,1,2026-02-02,,,"moratorium-nation:ga-brooks-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
reverify_stale_nonterminal_restrictive,GA,Clayton County,13063,state_expansion,extended,2025-09-03,covered_unconfirmed,agree,1,0,1,1,1,2025-09-01,,,"moratorium-nation:ga-clayton-county-2025 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
reverify_stale_nonterminal_restrictive,GA,Cobb County,13067,state_expansion,active,2026-02-24,covered_unconfirmed,agree,1,0,2,2,1,2026-07-08,,,"moratorium-nation:ga-cobb-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
reverify_stale_nonterminal_restrictive,GA,Decatur County,13087,state_expansion,active,2026-04-14,covered_unconfirmed,agree,1,0,1,1,1,2026-04-14,,,"moratorium-nation:ga-decatur-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
reverify_stale_nonterminal_restrictive,GA,Douglas County,13097,state_expansion,expired,2025,covered_unconfirmed,agree,1,0,1,1,1,2025-10-22,,,"moratorium-nation:ga-douglas-county-2025 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
reverify_stale_nonterminal_restrictive,GA,Early County,13099,state_expansion,,,,,1,0,1,1,1,2026-03-01,,,
reverify_stale_nonterminal_restrictive,GA,Fayette County,13113,state_expansion,,,,,1,0,2,1,1,2026-03-18,,,
reverify_stale_nonterminal_restrictive,GA,Hall County,13139,state_expansion,active,2026-02-26,covered_unconfirmed,agree,1,0,1,1,1,2026-02-26,,,"moratorium-nation:ga-hall-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
reverify_stale_nonterminal_restrictive,GA,Henry County,13151,state_expansion,,,,,1,0,1,1,1,2026-01-06,,,
reverify_stale_nonterminal_restrictive,GA,Lamar County,13171,state_expansion,active,2025-09,covered_unconfirmed,agree,1,0,1,1,1,2025-09-01,,,"moratorium-nation:ga-lamar-county-2025 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
reverify_stale_nonterminal_restrictive,GA,Lowndes County,13185,state_expansion,,,,,1,0,1,1,1,2026-02-17,,,
reverify_stale_nonterminal_restrictive,GA,Pike County,13231,state_expansion,active,2025-09,covered_unconfirmed,agree,1,0,2,2,1,2025-09-01,,,"moratorium-nation:ga-pike-county-2025 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
reverify_stale_nonterminal_restrictive,GA,Polk County,13233,state_expansion,active,2026-03-03,covered_unconfirmed,agree,1,0,1,1,1,2026-03-03,,,"moratorium-nation:ga-polk-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
reverify_stale_nonterminal_restrictive,GA,Troup County,13285,state_expansion,expired,2025-09-16,covered_unconfirmed,agree,1,0,3,3,3,2025-11-26,,,"moratorium-nation:ga-troup-county-2025 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
reverify_stale_nonterminal_restrictive,GA,Walton County,13297,state_expansion,,,,,1,0,1,1,1,2025-09-18,,,
reverify_stale_nonterminal_restrictive,KY,Breckinridge County,21027,state_expansion,active,2025-12-05,covered_unconfirmed,agree,1,0,1,1,1,2025-11-17,,,"moratorium-nation:ky-breckinridge-county-2025 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
reverify_stale_nonterminal_restrictive,KY,Hancock County,21091,state_expansion,,,,,1,0,1,1,1,2026-02-02,,,
reverify_stale_nonterminal_restrictive,KY,Meade County,21163,state_expansion,active,2026-01-13,covered_confirmed,agree,1,0,2,1,1,2026-01-13,,,"moratorium-nation:ky-meade-county-fiscal-court-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
reverify_stale_nonterminal_restrictive,KY,Oldham County,21185,state_expansion,extended,2025-06-26,covered_confirmed,agree,1,0,3,2,2,2026-07-01,,,"moratorium-nation:ky-oldham-county-fiscal-court-2025 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
reverify_stale_nonterminal_restrictive,NC,Brunswick County,37019,state_expansion,,,,,0,0,3,3,1,2026-07-16,,,
reverify_stale_nonterminal_restrictive,NC,Buncombe County,37021,state_expansion,,,,,1,0,1,1,1,2023-05-02,,,
reverify_stale_nonterminal_restrictive,NC,Chatham County,37037,state_expansion,active,2026-02-11,covered_unconfirmed,agree,1,0,2,2,1,2026-05-08,,,"moratorium-nation:nc-chatham-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
reverify_stale_nonterminal_restrictive,NC,Cleveland County,37045,state_expansion,,,,,1,0,1,1,1,2026-02-26,,,
reverify_stale_nonterminal_restrictive,NC,Cumberland County,37051,state_expansion,,,,,1,0,3,2,2,2026-06-15,,,
reverify_stale_nonterminal_restrictive,NC,Harnett County,37085,state_expansion,,,,,0,0,1,1,1,2026-04-21,1,4,
