rank_score,row_key,verification_status,outlet,headline,suggested_mechanism,suggested_county,suggested_state,location_confidence,existing_coverage,resolved_url,resolved_domain,resolve_status,promote_ready,redirect_url
7.5,710aab3ead,headline_only,Arkansas Advocate,"Arkansas’ most populous county approves data center moratorium, but with exemption",moratorium,Arkansas,AR,high,none_found,,,not_attempted,no,https://news.google.com/rss/articles/CBMivgFBVV95cUxNZVFTZ1VndFFyaFdieW1VMFFINFJPNGp1RFZJdVNfVTd6VTJMRGVkQWZOT09ROFRKZXhITHJ5M0w3TElvUmRVcUVBTmdhSk1EcFFYWU9vMnRQOUoyZmdaWFdGOTNWMkN6MFZmZ0JEOEp2ZmxNX1AtSUVoTWZWd0p1RkdtYV95U2EtSV9UdFdvamNQYWJGSmVvWmtGaWVQaXo5WUZIRTJEbmNscm9ocHlGaWV1VDJtVmoxVEFzc2hn?oc=5
7.5,484fa463c0,headline_only,The MSU Exponent,Yellowstone County Dems are seeking two-year moratorium on large data centers in Montana,moratorium,Yellowstone,MT,high,none_found,,,not_attempted,no,https://news.google.com/rss/articles/CBMiiAJBVV95cUxNcml1SkJWMHI3NVRlV1N0dVJDcHdaSGNibkhHbHRvSU5salRHSzBwLW9hdWJ1cElYNVpvYnFKNFF1NUdVQXNSZGxWU05iX1p5QlQ4RmtNdC05dXZQOXNESFFBal9QNU5sNlY5dFhSRHZoNjFlTk8xaHloYlhhRzhDZi11QlpwRmFzeHc1Nm85dHhVNjhZV0NSdy10LVY5ZURUaXJadGwyUExrSHRra1hhME5QU0RRWFJuUEJBbUpuUzdSTlRJSHlweG83dnMwNm8wMDdhM2U5bTNzamVHcF90SGY5dlUtcFNZWERXQWxNSThlOEZGMUpEZ2ZuY2l4eUU1RG40WldlNTE?oc=5
6.0,69f1f91b26,headline_only,Axios,Pasco County weighs moratorium on AI data centers,moratorium,Pasco,FL,medium,none_found,,,not_attempted,no,https://news.google.com/rss/articles/CBMinwFBVV95cUxQTlZncGNIQ05BdWRDOUtnNU1uZnNDaFAwSVZFWGhxUmU2OVJJcUdULW5kVFRWakF0eTkxeTZaQVdJcWpEa2lERzNjaTlUd29Bc21fVHY0SnQ1SEc3TUl1dE84d243cnNsSjU0NlREZzc5TFpaQy1LU1VRMWpRRlFWN0hvS3hVUmJoT3FfZnpHZDFfQVVqRXlWeGdVZ1dmUjA?oc=5
6.0,4916d1af1e,headline_only,Barron's,New York Imposes First Statewide Data Center Moratorium as AI Faces Growing Opposition,moratorium,New York,NY,high,possible_duplicate,,,not_attempted,no,https://news.google.com/rss/articles/CBMijwFBVV95cUxQd280dGJ0YmdHMjh0S0pVMVNJclRyeEV1VFZNaDNiQTVmRkdCeUk5TEdTN2lvcUp2VG9zWjN0eDU4RDNqLTVSNGJ1Q1VXZkdoV1hrN1lBZkY0U1pfbUFDVDJ3OHJVd00yVTdxN25PYUJ6Q0MwNmNkQnVIQ2hYQ2R0SWc5aW5TQ0xpc1lydXoyUQ?oc=5
6.0,582a26941d,headline_only,Broadband Breakfast,Socorro County Officials in New Mexico Agree to Vote on Data Center Moratorium,moratorium,Socorro,NM,high,possible_duplicate,,,not_attempted,no,https://news.google.com/rss/articles/CBMirwFBVV95cUxNN1JNQU9kbU5sOWFyS0VvcUtQbV90T1pwZGNlV3RTVmtFeV8zLUYtbUI2VXE1TzI5S295WEVPUmFoRTBJUmlEd2ZIVUp3VDRWUVd0WUJGMWFrRGZWZUxEZjgtajRWX3ZtcjBMX3BuUFZuRGZRVERoZDgta09PU3RIaTVUZ2hhM0dKX214M2dOSGN1aGk1VkZDZlhvLWhTbVpyX3RNdFdmV2RwT3JRTjlV?oc=5
6.0,d8a586db16,headline_only,Business Insider,New York enacts nation's first statewide moratorium on AI data centers,moratorium,New York,NY,high,possible_duplicate,,,not_attempted,no,https://news.google.com/rss/articles/CBMimAFBVV95cUxPa3JqN25fUWtscV9nQ29kV2lqMzJ1b1k4cXk5ajNzVXdkay00YTNuWVhwZFZpSHUtbGNFQXhtUXRnQThKNlZVeGRYMVRhSXFDQkc4a25xNEs5YnVMclNIS0l0WlBuQ1pET1VuRTlWb3M4bFRpRzYzQWc4dHV2UkxVRHIwcnl0Y0Mta2N3eWhUVjRLQXV6SmdQcw?oc=5
6.0,aec7a4cac5,headline_only,CRE Daily,New York Data Center Moratorium Threatens $10B Pipeline,moratorium,New York,NY,high,possible_duplicate,,,not_attempted,no,https://news.google.com/rss/articles/CBMikAFBVV95cUxPODUzaWxpZWh6QjUxUnhUYnpEQmZCaFlCUExHa3oxOHppaDV6dTJwNWdmVkpNaXlZbUZuZElNVzdYWnl5b2JqZHltT1BsdDIzTlJ4MHhack1kRi11S1dFejFLX0VBNHdKdnRSTG84NVZIVWdRdXlaaEx1bmJ3ODU5MlpfMkpVYUtZU3V1bGVXRGo?oc=5
6.0,c389b035ba,headline_only,Data Center Dynamics,"New York state legislature passes data center moratorium, awaits governor Hochul's approval",moratorium; legislation,New York,NY,high,possible_duplicate,,,not_attempted,no,https://news.google.com/rss/articles/CBMizgFBVV95cUxQc2JzcmphdS1GWklLcVRPSnhQa2lrR29EOXVXem94VEl0azVkWXJNNURzQzd3alI0bEpBNVFkOWhWc2tBSGoyQ3lud0VsMFRRYlZ4RVJVMHZTb1NYREdQVWhEMTQyNU1XWmFjWnJJWGZ3Tk81ZUZGdFg3ZzByUzNsclhMXzBrb0ZMeURRanlsQ1RFbWUySF9HNTJHSVJTdkhJaWgwdHJoY0lRQlZEaTBzaXhfODNCSEFNa0JfS2xEYlFZcWNlbjJoeVVXLVZhQQ?oc=5
6.0,5fda580e0a,headline_only,FlaglerLive,Palm Coast Joins Flagler County in Considering 1-Year Moratorium on New Data Centers to Rewrite Rules,moratorium,Flagler,FL,medium,none_found,,,not_attempted,no,https://news.google.com/rss/articles/CBMiXEFVX3lxTE1VaGotaU9QdWplMlFXWFQwaEZqRUlNZUxta2d0M0ZJeHJzTll6YWRWZTZfX2FIM1lTRDNzNU5sblAyQkx2bFBZMWpGZWhmZzBlaTZ5R25keUhocm5H?oc=5
6.0,75e83d6410,headline_only,Fox 59,‘Common-sense protections’: Rep. André Carson introduces AI data center moratorium bill,moratorium; legislation,Carson,TX,medium,none_found,,,not_attempted,no,https://news.google.com/rss/articles/CBMitwFBVV95cUxQVi1SWjR0SnNLbVF2TG1wbnowNHJ4Njc2WlRPTTVicTkybUIwdzctTjZFaVVLcTJ4SC1aXzFWYmVuRFFOVFNhSlFYeHJ1S0NSV2dZNWVHdXNuMnRHZmlTa1hNT0s4Mjd3b1ZsVFZ6dGdEMWpsVWpGNkM4eFZqV3M0X3ZleXBjTGNOV1NNUWhBLWtPeWZNWk5fTVl6SUpTcUU4N0o2c1M0R20tTWE4eGVYTXB0N1ZSUGfSAbwBQVVfeXFMTjZrUEhPWlA0V0g1YmN4alkzdlh0RkpTZnlKNDFRMXM0SHpyQ2pEeENzZEVGRjZjbjNublotd29rUWF6VnJhb0Q0SjY2RFMwLTlQR2VoS0J6WTNUZ01Yck42WGlsc1RKaGV2RDIxY1ZVUy0wNndVUUtoLXlnUElHUDBJOEVnODU1Q1QwelVIVXlHaWRTcWd2ZWlyS2FNZW1VazJxSnJUcmJGTGx0ZHFOMFVNdjd0LWIwZ3kzTUs?oc=5
