Incident,State,recovered_date,method,Source URL
Socorro County commissioners approve one-year mora,,,requires_redirect_resolution,https://news.google.com/rss/articles/CBMiigFBVV95cUxQT2dUTVpRaDJvWmtXdkJXSV9RS1JUZW9BZjhrUmE2MVBGZEVmSlo4ejUyOGU1VEFnVnI1QVJkcmhrY0V4aGtoSXhhOThNNHZoODR3WldkVE9mZFFSb1RyaDdtR2lXVENCN0FHYWdkWkw3d0NQcWcyREJqS1JjQU1pN2tISlI5S1RJdXc?oc=5
Lexington City Council unanimously passes a morato,,,requires_redirect_resolution,https://news.google.com/rss/articles/CBMisgFBVV95cUxPakJsd1d6NWtrR3FIeU5RVFkyWi00YmI0QV9namt2Ri0wREtIUlp5ajJSeURUUXI1T0lCNndmTmhSd0J5M215RzVtUlZuUGtKWUpEc29oTG9aQ2g2S3VweTd5aVVIUnoxNzM4M2QwTzh1UDJ4M0dEemlOZTZGQmRoejdIMXFHX1NiWGVRWmNuZ05WeXlsamRBc19rZWZkMjd3bHF3eXctNFJZT1pXMHo1OWVR?oc=5
Carlton County residents seek moratorium on data c,,,requires_redirect_resolution,https://news.google.com/rss/articles/CBMimwFBVV95cUxOd1BLLUJDblE3VHVnbWhZLVVaVENxUllqZFlzM2tKeUhiUTdMVE4xMHYyNlpqUmNKMTlWQWtnbExSWVJqYkRKVjMtLW9palh3YVJoNWNkZDBMUUZjZFhuQjhMUHprNXk2cDhPeWItY1lQRnlwUkxjLUg5UnFFSG9ra3RuTno0aEVOckl6VTNqOU9SemxUN0dmTkpjcw?oc=5
Reno extends its data center moratorium into 2027:,Nevada,,requires_redirect_resolution,https://news.google.com/rss/articles/CBMisgFBVV95cUxOZnpJWW1mNThhZmpZUUxiSC1ySHdMbmxCb0ppWFNnWHhVUm9vc1NsVlNyMlpRTkVLdTZoS2NxMVpXMXgxaWk2TnBGbUY4cldHNndHcjJFNktxeVdLei1DY1JPODc1Wlo4eGlUT0pZVlRHTWpBdlVTVXRMNzJtWVQzT3pTWHZNSnhkQUpESlp0b3FMUFNqdnpxS3dyVlBQNkhsTFFzTmUxS3hxbzRiR3llNTNn?oc=5
Flint City Council passes 12-month moratorium on d,,,requires_redirect_resolution,https://news.google.com/rss/articles/CBMiugFBVV95cUxQYndVTFQ0Rlo3bVBxd3U0bFN3SGUzQ1F1SklvZ3JYN1pGMG5mLThSLTc1a0VGV3BRTFNobzBuQk5qSlpyRDk2MDVVUVRpZUw2dUY1MC05SlBiQUowX1dwcDczYmxxYUFDcS1GeWVsOGtWUDBESmJmVzIwUEl5NGEwQkhHU09CakJ0MjMwcHBFRUJjc01WaF9WOFp6ak1GM1VTSUxnNmxhSzNkb1hPTUR5dU1yWU9CcTUxb1E?oc=5
"Facing a Federal Lawsuit, Hill County Repeals Blan",,,requires_redirect_resolution,https://news.google.com/rss/articles/CBMiugFBVV95cUxON0x5MGtRZnlVanBLREJ5cnQwTktUQ08tQVFwZy1aaDZKXzZCZ0E3cUpVaW8tMTIybUtIZzg0T3dTS2wyNDcwbVo1Q2pBMWhlcW9hS0E4RVFiOGt5X3NTM3lUMHN0UzBaZDgxUXBDWDlVNEV3Y3ZSU2lIYlNEaVpRcWdpcndGN213cldIaERTdFpUR3V6RmFOQ1ZiOVhXNS1MUFozc3VQYm9DbVRiYkFOdVlRS3NsU1pZNWfSAboBQVVfeXFMTjdMeTBrUWZ5VWpwS0RCeXJ0ME5LVENPLUFRcGctWmg2Sl82QmdBN3FKVWlvLTEyMm1LSGc4NE93U0tsMjQ3MG1aNUNqQTFoZXFvYUtBOEVRYjhreV9zUzN5VDBzdFMwWmQ4MVFwQ1g5VTRFd2N2UlNpSGJTRGlaUXFnaXJ3Rjdtd3JXSGhEU3RaVEd1ekZhTkNWYjlYVzUtTFBaM3N1UGJvQ21UYmJBTnVZUUtzbFNaWTVn?oc=5
Socorro County approves 1-year moratorium on data ,,,requires_redirect_resolution,https://news.google.com/rss/articles/CBMipAFBVV95cUxQakpMOXdpeVNKVHpwcFNjX1ZIUVRYMldzRUdOY0dhM3o5V3k1bk5PZDdnamJXZFVHZUZBMDdVVWpKMnpwdV9kUDJpQm4zRHNMRlJrVFNUeUg3YkZPc2d4ZjRzRWJOcEFGVFAtSzVUZFhmZWNDVTJqelRJb0gwUjRuV2RlR3ZDOHh6dGRMdlVCZ0ltUmN4MnpOTDdMVGVGX1c3T2pqYQ?oc=5
"Here’s who supports, opposes statewide data center",Kansas,,requires_redirect_resolution,https://news.google.com/rss/articles/CBMifkFVX3lxTE1TYXpxVmJEOERnTTFjY0lydFdMcm5mX1B6WlIxd1hBWlgwMGNEamZvMk5oWlpnbVB2MTlFaFhZZzlybUxSZmpXTVg2MDJyOG1FcWVJZG1WbTRxYy1zMlN1UHRzWGRBd19RWFJYZjU2MTBiNjJFaW5KOFROZkNId9IBfkFVX3lxTFBYUFdsN2NMazRQcDNTX3lZay1vS05tTnp5NUNWcEtTRXBMYUpkbFFwdlhpUnJ6UFlPeHdPanU1MFpqQVJLNXA0RS1OUmVLSU1CcU9Ec2RnUWUzeVBCTXktajFqQkg0b0FMRTRVOVRnaUdBSDY2blVGbHFNV2ZXQQ?oc=5
Lawrence City Commission interested in a moratoriu,,,requires_redirect_resolution,https://news.google.com/rss/articles/CBMi0wFBVV95cUxOdnQ0X29zbThaWGozYVVteTl0OFBfeWg3S1lvQmpuNkIzSnF2SzkwZWdYRzVVZm5fRHd3dGFGZlAxcmNZRnhmbGdpZU5lMmlheVVSWThtSzZLUVRuQ2hxaTYwSzJ4LWJ0bzRuaWE0WnZRVjFFdEIwSlBrSm9GN1JYLWwzSmpGM3BEdDV2V2lwOHkyV0FTOTlzMlNjVlgzWmpOMmhMdDU1NktWVEFIaXFIY0VWYjNfR2xlUW80VUZPbGFpbGdJaVdmVWNKQlN5Q2JrWG04?oc=5
"Reno City Council extends data center moratorium, ",Nevada,,requires_redirect_resolution,https://news.google.com/rss/articles/CBMiuwFBVV95cUxQZGR0TDVYaHJfNDl6V2YzQXNsRVFMOXNEQjdSNFJxTUdPOTFITnJiaHVnbjRhSngxV3hwVlU5UGNyNy1sdVNjeThkNWw5VU0tbXFVWnJpaWRuV3FhRFQyTWtuaDdVaU15YzdHRzJHeC1YYjFpaWVueVpQVnRJQkpLVDIyVFYtYWpRQzFEQ2ZNRmpCUTRaU1JxaFpEbW5wUmgycHdVUS1hNmtqR05rM2xocDBIUTl0U0JKMDhV?oc=5
