anchor,window_days,registered_window,n,n_blocked,n_not_blocked,floors_met,ceiling_n,ceiling_blocked,ceiling_not_blocked,ceiling_floors_met,pending_scoreable
anchor_opp,30,yes,6,4,2,no,51,5,46,no,93
anchor_opp,60,yes,3,2,1,no,46,3,43,no,91
anchor_opp,90,yes,1,1,0,no,42,2,40,no,87
anchor_opp,120,yes,1,1,0,no,41,2,39,no,83
anchor_opp,180,yes,1,1,0,no,33,1,32,no,66
anchor_opp_no_outcome,30,yes,4,2,2,no,4,2,2,no,0
anchor_opp_no_outcome,60,yes,1,1,0,no,1,1,0,no,0
anchor_opp_no_outcome,90,yes,0,0,0,no,0,0,0,no,0
anchor_opp_no_outcome,120,yes,0,0,0,no,0,0,0,no,0
anchor_opp_no_outcome,180,yes,0,0,0,no,0,0,0,no,0
anchor_ann,30,yes,24,18,6,no,70,19,51,yes,93
anchor_ann,60,yes,19,13,6,no,65,14,51,yes,91
anchor_ann,90,yes,18,13,5,no,64,14,50,yes,87
anchor_ann,120,yes,15,11,4,no,61,12,49,yes,83
anchor_ann,180,yes,12,8,4,no,57,9,48,no,66
anchor_ann,270,no,7,4,3,no,41,4,37,no,43
anchor_ann,365,no,3,2,1,no,32,2,30,no,32
